date,value
2016-02-19,846.500000
2016-02-22,879.000000
2016-02-23,876.000000
2016-02-24,865.000000
2016-02-25,891.500000
2016-02-26,903.000000
2016-02-29,924.000000
2016-03-01,842.500000
2016-03-02,850.500000
2016-03-03,864.500000
2016-03-04,902.500000
2016-03-07,896.000000
2016-03-08,861.500000
2016-03-09,852.500000
2016-03-10,785.000000
2016-03-11,785.000000
2016-03-14,815.000000
2016-03-15,816.000000
2016-03-16,835.000000
2016-03-17,855.000000
2016-03-18,876.500000
2016-03-21,872.500000
2016-03-22,878.500000
2016-03-23,860.500000
2016-03-24,825.000000
2016-03-29,850.500000
2016-03-30,870.000000
2016-03-31,864.000000
2016-04-01,857.500000
2016-04-04,845.000000
2016-04-05,825.500000
2016-04-06,834.500000
2016-04-07,832.000000
2016-04-08,840.000000
2016-04-11,842.000000
2016-04-12,817.000000
2016-04-13,849.000000
2016-04-14,848.500000
2016-04-15,814.500000
2016-04-18,817.000000
2016-04-19,846.500000
2016-04-20,859.500000
2016-04-21,891.000000
2016-04-22,890.000000
2016-04-25,914.000000
2016-04-26,918.000000
2016-04-27,925.000000
2016-04-28,924.500000
2016-04-29,907.500000
2016-05-03,893.500000
2016-05-04,892.000000
2016-05-05,886.500000
2016-05-06,877.000000
2016-05-09,873.000000
2016-05-10,888.000000
2016-05-11,897.500000
2016-05-12,884.500000
2016-05-13,876.500000
2016-05-16,876.500000
2016-05-17,927.500000
2016-05-18,961.500000
2016-05-19,945.500000
2016-05-20,965.500000
2016-05-23,973.500000
2016-05-24,964.000000
2016-05-25,975.500000
2016-05-26,982.000000
2016-05-27,986.000000
2016-05-31,976.000000
2016-06-01,961.000000
2016-06-02,979.500000
2016-06-03,977.500000
2016-06-06,985.500000
2016-06-07,988.500000
2016-06-08,986.000000
2016-06-09,980.500000
2016-06-10,959.500000
2016-06-13,957.000000
2016-06-14,985.500000
2016-06-15,998.000000
2016-06-16,960.000000
2016-06-17,994.000000
2016-06-20,1023.000000
2016-06-21,1037.000000
2016-06-22,1035.000000
2016-06-23,1045.000000
2016-06-24,1033.000000
2016-06-27,975.000000
2016-06-28,1008.000000
2016-06-29,1050.000000
2016-06-30,1064.000000
2016-07-01,1079.000000
2016-07-04,1068.000000
2016-07-05,1054.000000
2016-07-06,1035.000000
2016-07-07,1058.000000
2016-07-08,1086.000000
2016-07-11,1121.000000
2016-07-12,1126.000000
2016-07-13,1115.000000
2016-07-14,1110.000000
2016-07-15,1130.000000
2016-07-18,1119.000000
2016-07-19,1120.000000
2016-07-20,1128.000000
2016-07-21,1185.000000
2016-07-22,1170.000000
2016-07-25,1192.000000
2016-07-26,1185.000000
2016-07-27,1209.000000
2016-07-28,1190.000000
2016-07-29,1196.000000
2016-08-01,1178.000000
2016-08-02,1168.000000
2016-08-03,1152.000000
2016-08-04,1176.000000
2016-08-05,1197.000000
2016-08-08,1201.000000
2016-08-09,1204.000000
2016-08-10,1217.000000
2016-08-11,1222.000000
2016-08-12,1226.000000
2016-08-15,1245.000000
2016-08-16,1232.000000
2016-08-17,1228.000000
2016-08-18,1229.000000
2016-08-19,1206.000000
2016-08-22,1215.000000
2016-08-23,1243.000000
2016-08-24,1240.000000
2016-08-25,1257.000000
2016-08-26,1255.000000
2016-08-30,1277.000000
2016-08-31,1265.000000
2016-09-01,1268.000000
2016-09-02,1284.000000
2016-09-05,1272.000000
2016-09-06,1258.000000
2016-09-07,1300.000000
2016-09-08,1290.000000
2016-09-09,1233.000000
2016-09-12,1219.000000
2016-09-13,1204.000000
2016-09-14,1211.000000
2016-09-15,1234.000000
2016-09-16,1229.000000
2016-09-19,1238.000000
2016-09-20,1216.000000
2016-09-21,1182.000000
2016-09-22,1198.000000
2016-09-23,1230.000000
2016-09-26,1201.000000
2016-09-27,1219.000000
2016-09-28,1233.000000
2016-09-29,1249.000000
2016-09-30,1271.000000
2016-10-03,1287.000000
2016-10-04,1301.000000
2016-10-05,1308.000000
2016-10-06,1308.000000
2016-10-07,1322.000000
2016-10-10,1347.000000
2016-10-11,1333.000000
2016-10-12,1329.000000
2016-10-13,1347.000000
2016-10-14,1315.000000
2016-10-17,1304.000000
2016-10-18,1315.000000
2016-10-19,1322.000000
2016-10-20,1343.000000
2016-10-21,1325.000000
2016-10-24,1310.000000
2016-10-25,1305.000000
2016-10-26,1275.000000
2016-10-27,1270.000000
2016-10-28,1263.000000
2016-10-31,1278.000000
2016-11-01,1259.000000
2016-11-02,1235.000000
2016-11-03,1234.000000
2016-11-04,1217.000000
2016-11-07,1232.000000
2016-11-08,1242.000000
2016-11-09,1385.000000
2016-11-10,1420.000000
2016-11-11,1385.000000
2016-11-14,1430.000000
2016-11-15,1434.000000
2016-11-16,1411.000000
2016-11-17,1413.000000
2016-11-18,1407.000000
2016-11-21,1420.000000
2016-11-22,1446.000000
2016-11-23,1460.000000
2016-11-24,1496.000000
2016-11-25,1500.000000
2016-11-28,1485.000000
2016-11-29,1511.000000
2016-11-30,1567.000000
2016-12-01,1550.000000
2016-12-02,1535.000000
2016-12-05,1540.000000
2016-12-06,1556.000000
2016-12-07,1617.000000
2016-12-08,1610.000000
2016-12-09,1640.000000
2016-12-12,1644.000000
2016-12-13,1625.000000
2016-12-14,1609.000000
2016-12-15,1616.000000
2016-12-16,1611.000000
2016-12-19,1534.000000
2016-12-20,1560.000000
2016-12-21,1581.000000
2016-12-22,1581.000000
2016-12-23,1567.000000
2016-12-28,1609.000000
2016-12-29,1572.000000
2016-12-30,1580.000000
2017-01-03,1597.000000
2017-01-04,1592.000000
2017-01-05,1601.000000
2017-01-06,1592.000000
2017-01-09,1583.000000
2017-01-10,1601.000000
2017-01-11,1620.000000
2017-01-12,1596.000000
2017-01-13,1600.000000
2017-01-16,1614.000000
2017-01-17,1589.000000
2017-01-18,1593.000000
2017-01-19,1570.000000
2017-01-20,1575.000000
2017-01-23,1565.000000
2017-01-24,1564.000000
2017-01-25,1594.000000
2017-01-26,1649.000000
2017-01-27,1639.000000
2017-01-30,1601.000000
2017-01-31,1606.000000
2017-02-01,1628.000000
2017-02-02,1619.000000
2017-02-03,1622.000000
2017-02-06,1641.000000
2017-02-07,1633.000000
2017-02-08,1622.000000
2017-02-09,1623.000000
2017-02-10,1644.000000
2017-02-13,1655.000000
2017-02-14,1666.000000
2017-02-15,1708.000000
2017-02-16,1712.000000
2017-02-17,1704.000000
2017-02-20,1703.000000
2017-02-21,1723.000000
2017-02-22,1710.000000
2017-02-23,1683.000000
2017-02-24,1635.000000
2017-02-27,1649.000000
2017-02-28,1656.000000
2017-03-01,1751.000000
2017-03-02,1725.000000
2017-03-03,1721.000000
2017-03-06,1744.000000
2017-03-07,1710.000000
2017-03-08,1694.000000
2017-03-09,1659.000000
2017-03-10,1678.000000
2017-03-13,1698.000000
2017-03-14,1709.000000
2017-03-15,1703.000000
2017-03-16,1706.000000
2017-03-17,1684.000000
2017-03-20,1684.000000
2017-03-21,1649.000000
2017-03-22,1608.000000
2017-03-23,1649.000000
2017-03-24,1609.000000
2017-03-27,1589.000000
2017-03-28,1604.000000
2017-03-29,1638.000000
2017-03-30,1678.000000
2017-03-31,1653.000000
2017-04-03,1642.000000
2017-04-04,1670.000000
2017-04-05,1682.000000
2017-04-06,1679.000000
2017-04-07,1691.000000
