date,value
2016-02-19,505.500000
2016-02-22,510.000000
2016-02-23,508.500000
2016-02-24,503.500000
2016-02-25,512.500000
2016-02-26,512.000000
2016-02-29,513.000000
2016-03-01,511.000000
2016-03-02,504.500000
2016-03-03,499.700012
2016-03-04,507.000000
2016-03-07,500.500000
2016-03-08,496.700012
2016-03-09,501.000000
2016-03-10,494.100006
2016-03-11,496.500000
2016-03-14,497.500000
2016-03-15,497.200012
2016-03-16,502.000000
2016-03-17,506.000000
2016-03-18,497.100006
2016-03-21,497.600006
2016-03-22,498.799988
2016-03-23,506.000000
2016-03-24,498.500000
2016-03-29,507.000000
2016-03-30,512.000000
2016-03-31,509.000000
2016-04-01,501.500000
2016-04-04,501.500000
2016-04-05,492.500000
2016-04-06,493.799988
2016-04-07,491.600006
2016-04-08,498.100006
2016-04-11,499.000000
2016-04-12,501.500000
2016-04-13,504.000000
2016-04-14,510.500000
2016-04-15,512.000000
2016-04-18,510.000000
2016-04-19,517.500000
2016-04-20,510.500000
2016-04-21,498.600006
2016-04-22,489.399994
2016-04-25,489.899994
2016-04-26,484.299988
2016-04-27,488.100006
2016-04-28,484.000000
2016-04-29,477.299988
2016-05-03,476.200012
2016-05-04,478.500000
2016-05-05,480.600006
2016-05-06,489.000000
2016-05-09,491.100006
2016-05-10,490.899994
2016-05-11,490.399994
2016-05-12,487.799988
2016-05-13,487.799988
2016-05-16,490.100006
2016-05-17,486.299988
2016-05-18,481.700012
2016-05-19,477.899994
2016-05-20,483.500000
2016-05-23,479.700012
2016-05-24,482.899994
2016-05-25,481.200012
2016-05-26,482.299988
2016-05-27,483.000000
2016-05-31,483.600006
2016-06-01,488.000000
2016-06-02,492.799988
2016-06-03,490.899994
2016-06-06,491.600006
2016-06-07,494.000000
2016-06-08,492.899994
2016-06-09,485.500000
2016-06-10,479.500000
2016-06-13,476.299988
2016-06-14,475.000000
2016-06-15,477.600006
2016-06-16,475.399994
2016-06-17,478.799988
2016-06-20,494.799988
2016-06-21,496.000000
2016-06-22,502.500000
2016-06-23,504.000000
2016-06-24,480.799988
2016-06-27,468.899994
2016-06-28,483.399994
2016-06-29,505.500000
2016-06-30,524.000000
2016-07-01,530.000000
2016-07-04,528.500000
2016-07-05,533.000000
2016-07-06,526.500000
2016-07-07,530.000000
2016-07-08,537.500000
2016-07-11,545.500000
2016-07-12,541.000000
2016-07-13,542.000000
2016-07-14,539.500000
2016-07-15,537.000000
2016-07-18,534.000000
2016-07-19,540.500000
2016-07-20,542.000000
2016-07-21,536.000000
2016-07-22,532.500000
2016-07-25,533.000000
2016-07-26,534.500000
2016-07-27,539.500000
