date,value
2016-02-19,3830.000000
2016-02-22,3863.500000
2016-02-23,3843.000000
2016-02-24,3834.000000
2016-02-25,3877.500000
2016-02-26,3915.000000
2016-02-29,3925.500000
2016-03-01,4000.000000
2016-03-02,3968.500000
2016-03-03,3958.000000
2016-03-04,4044.500000
2016-03-07,4008.500000
2016-03-08,4012.500000
2016-03-09,4045.000000
2016-03-10,3984.500000
2016-03-11,4076.500000
2016-03-14,4101.000000
2016-03-15,4128.000000
2016-03-16,4117.000000
2016-03-17,4042.000000
2016-03-18,3977.000000
2016-03-21,3976.000000
2016-03-22,3983.000000
2016-03-23,4044.000000
2016-03-24,3995.500000
2016-03-29,3995.500000
2016-03-30,4075.000000
2016-03-31,4090.000000
2016-04-01,4083.500000
2016-04-04,4098.000000
2016-04-05,4118.000000
2016-04-06,4124.500000
2016-04-07,4148.500000
2016-04-08,4190.000000
2016-04-11,4193.500000
2016-04-12,4167.500000
2016-04-13,4186.500000
2016-04-14,4210.000000
2016-04-15,4232.000000
2016-04-18,4280.500000
2016-04-19,4281.000000
2016-04-20,4264.500000
2016-04-21,4175.000000
2016-04-22,4133.000000
2016-04-25,4162.500000
2016-04-26,4144.500000
2016-04-27,4162.000000
2016-04-28,4186.000000
2016-04-29,4170.000000
2016-05-03,4156.000000
2016-05-04,4141.500000
2016-05-05,4191.000000
2016-05-06,4199.000000
2016-05-09,4213.500000
2016-05-10,4241.500000
2016-05-11,4245.000000
2016-05-12,4210.500000
2016-05-13,4224.500000
2016-05-16,4235.000000
2016-05-17,4189.000000
2016-05-18,4165.500000
2016-05-19,4086.000000
2016-05-20,4147.000000
2016-05-23,4116.000000
2016-05-24,4170.500000
2016-05-25,4182.000000
2016-05-26,4185.000000
2016-05-27,4205.500000
2016-05-31,4198.000000
2016-06-01,4167.000000
2016-06-02,4142.500000
2016-06-03,4206.000000
2016-06-06,4271.500000
2016-06-07,4279.500000
2016-06-08,4276.500000
2016-06-09,4272.500000
2016-06-10,4218.500000
2016-06-13,4147.500000
2016-06-14,4072.000000
2016-06-15,4100.000000
2016-06-16,4145.500000
2016-06-17,4116.500000
2016-06-20,4235.000000
2016-06-21,4247.500000
2016-06-22,4254.500000
2016-06-23,4275.500000
2016-06-24,4385.000000
2016-06-27,4455.000000
2016-06-28,4555.500000
2016-06-29,4694.000000
2016-06-30,4843.000000
2016-07-01,4879.000000
2016-07-04,4904.500000
2016-07-05,5035.000000
2016-07-06,4900.000000
2016-07-07,4947.500000
2016-07-08,4898.000000
2016-07-11,4919.500000
2016-07-12,4839.500000
2016-07-13,4814.500000
2016-07-14,4780.500000
2016-07-15,4835.000000
2016-07-18,4776.500000
2016-07-19,4789.000000
2016-07-20,4800.000000
2016-07-21,4772.000000
2016-07-22,4813.500000
2016-07-25,4803.000000
2016-07-26,4782.000000
2016-07-27,4746.500000
2016-07-28,4782.500000
2016-07-29,4824.500000
2016-08-01,4798.500000
2016-08-02,4820.500000
2016-08-03,4703.000000
2016-08-04,4812.500000
2016-08-05,4831.500000
2016-08-08,4759.500000
2016-08-09,4800.000000
2016-08-10,4858.500000
2016-08-11,4985.000000
2016-08-12,4971.000000
2016-08-15,4981.000000
2016-08-16,4968.000000
2016-08-17,4947.000000
2016-08-18,4834.000000
2016-08-19,4872.500000
2016-08-22,4889.000000
2016-08-23,4850.500000
2016-08-24,4800.500000
2016-08-25,4816.000000
2016-08-26,4810.000000
2016-08-30,4754.500000
2016-08-31,4725.000000
2016-09-01,4713.500000
2016-09-02,4866.000000
2016-09-05,4803.500000
2016-09-06,4774.000000
2016-09-07,4818.500000
2016-09-08,4782.500000
2016-09-09,4695.500000
2016-09-12,4698.000000
2016-09-13,4708.500000
2016-09-14,4674.000000
2016-09-15,4733.000000
2016-09-16,4713.000000
2016-09-19,4762.500000
2016-09-20,4812.500000
2016-09-21,4796.000000
2016-09-22,4863.000000
2016-09-23,4939.000000
2016-09-26,4885.000000
2016-09-27,4898.000000
2016-09-28,4943.500000
2016-09-29,4946.500000
2016-09-30,4930.000000
2016-10-03,4983.000000
2016-10-04,5042.000000
2016-10-05,4881.000000
2016-10-06,4863.000000
2016-10-07,4873.500000
2016-10-10,4858.500000
2016-10-11,4883.500000
2016-10-12,4839.000000
2016-10-13,4882.000000
2016-10-14,4886.500000
2016-10-17,4817.500000
2016-10-18,4798.000000
2016-10-19,4777.000000
2016-10-20,4803.000000
2016-10-21,4666.000000
2016-10-24,4678.500000
2016-10-25,4718.500000
2016-10-26,4583.000000
2016-10-27,4611.000000
2016-10-28,4707.500000
2016-10-31,4691.500000
2016-11-01,4621.000000
2016-11-02,4588.500000
2016-11-03,4567.000000
2016-11-04,4520.000000
2016-11-07,4545.000000
2016-11-08,4576.000000
2016-11-09,4480.000000
2016-11-10,4258.500000
2016-11-11,4307.000000
2016-11-14,4281.000000
2016-11-15,4300.500000
2016-11-16,4278.000000
2016-11-17,4311.000000
2016-11-18,4359.500000
2016-11-21,4357.500000
2016-11-22,4368.000000
2016-11-23,4368.500000
2016-11-24,4372.000000
2016-11-25,4421.000000
2016-11-28,4448.500000
2016-11-29,4454.500000
2016-11-30,4393.500000
2016-12-01,4309.500000
2016-12-02,4347.000000
2016-12-05,4343.000000
2016-12-06,4320.000000
2016-12-07,4352.500000
2016-12-08,4373.000000
2016-12-09,4420.000000
2016-12-12,4366.000000
2016-12-13,4452.500000
2016-12-14,4468.500000
2016-12-15,4513.000000
2016-12-16,4506.500000
2016-12-19,4551.500000
2016-12-20,4556.000000
2016-12-21,4560.500000
2016-12-22,4546.500000
2016-12-23,4558.000000
2016-12-28,4567.000000
2016-12-29,4596.500000
2016-12-30,4621.500000
2017-01-03,4612.000000
2017-01-04,4591.500000
2017-01-05,4580.000000
2017-01-06,4574.000000
2017-01-09,4675.000000
2017-01-10,4672.000000
2017-01-11,4713.000000
2017-01-12,4705.000000
2017-01-13,4729.500000
2017-01-16,4762.500000
2017-01-17,4580.000000
2017-01-18,4634.000000
2017-01-19,4734.000000
2017-01-20,4760.000000
2017-01-23,4767.000000
2017-01-24,4800.000000
2017-01-25,4894.000000
2017-01-26,4929.500000
2017-01-27,4920.500000
2017-01-30,4896.500000
2017-01-31,4899.500000
2017-02-01,4865.500000
2017-02-02,4910.000000
2017-02-03,4963.000000
2017-02-06,4985.000000
2017-02-07,4981.500000
2017-02-08,5025.000000
2017-02-09,5021.000000
2017-02-10,5008.000000
2017-02-13,4992.000000
2017-02-14,4930.000000
2017-02-15,4964.500000
2017-02-16,4976.500000
2017-02-17,5004.000000
2017-02-20,4982.500000
2017-02-21,4993.000000
2017-02-22,5000.000000
2017-02-23,5060.000000
2017-02-24,5070.000000
2017-02-27,5092.000000
2017-02-28,5080.000000
2017-03-01,5161.000000
2017-03-02,5155.000000
2017-03-03,5107.000000
2017-03-06,5082.000000
2017-03-07,5108.000000
2017-03-08,5102.000000
2017-03-09,5100.000000
2017-03-10,5108.000000
2017-03-13,5139.000000
2017-03-14,5171.000000
2017-03-15,5185.000000
2017-03-16,5149.000000
2017-03-17,5192.000000
2017-03-20,5188.000000
2017-03-21,5188.000000
2017-03-22,5180.000000
2017-03-23,5174.000000
2017-03-24,5277.000000
2017-03-27,5228.000000
2017-03-28,5219.000000
2017-03-29,5318.000000
2017-03-30,5310.000000
2017-03-31,5300.000000
2017-04-03,5290.000000
2017-04-04,5290.000000
2017-04-05,5318.000000
2017-04-06,5291.000000
2017-04-07,5357.000000
2017-04-10,5345.000000
2017-04-11,5392.000000
2017-04-12,5382.000000
2017-04-13,5383.000000
2017-04-18,5263.000000
2017-04-19,5185.000000
2017-04-20,5218.000000
2017-04-21,5200.000000
2017-04-24,5328.000000
2017-04-25,5290.000000
2017-04-26,5307.000000
2017-04-27,5236.000000
2017-04-28,5215.000000
2017-05-02,5266.000000
2017-05-03,5233.000000
2017-05-04,5239.000000
2017-05-05,5287.000000
2017-05-08,5320.000000
2017-05-09,5310.000000
2017-05-10,5317.000000
2017-05-11,5339.000000
2017-05-12,5408.000000
2017-05-15,5394.000000
2017-05-16,5505.000000
2017-05-17,5480.000000
2017-05-18,5386.000000
2017-05-19,5401.000000
2017-05-22,5467.000000
2017-05-23,5420.000000
2017-05-24,5432.000000
2017-05-25,5495.000000
2017-05-26,5591.000000
2017-05-30,5501.000000
2017-05-31,5530.000000
2017-06-01,5508.000000
2017-06-02,5578.000000
2017-06-05,5580.000000
2017-06-06,5643.000000
2017-06-07,5583.000000
2017-06-08,5507.000000
2017-06-09,5518.000000
2017-06-12,5462.000000
2017-06-13,5414.000000
2017-06-14,5446.000000
2017-06-15,5440.000000
2017-06-16,5499.000000
2017-06-19,5567.000000
2017-06-20,5563.000000
2017-06-21,5553.000000
2017-06-22,5485.000000
2017-06-23,5482.000000
2017-06-26,5494.310059
2017-06-27,5445.359863
2017-06-28,5351.000000
2017-06-29,5235.000000
2017-06-30,5234.000000
2017-07-03,5236.000000
2017-07-04,5177.000000
2017-07-05,5257.000000
2017-07-06,5184.000000
2017-07-07,5219.000000
2017-07-10,5210.000000
2017-07-11,5180.000000
2017-07-12,5278.000000
2017-07-13,5290.000000
2017-07-14,5277.000000
2017-07-17,5305.000000
2017-07-18,5237.000000
2017-07-19,5288.000000
2017-07-20,5425.000000
2017-07-21,5485.000000
2017-07-24,5413.000000
2017-07-25,5283.000000
2017-07-26,5323.000000
2017-07-27,5322.000000
2017-07-28,4960.000000
2017-07-31,4713.500000
2017-08-01,4832.000000
2017-08-02,4854.000000
2017-08-03,5004.000000
2017-08-04,5057.000000
2017-08-07,5055.000000
2017-08-08,4990.000000
2017-08-09,4976.500000
2017-08-10,4903.000000
2017-08-11,4855.500000
2017-08-14,4845.500000
2017-08-15,4907.500000
2017-08-16,4929.000000
2017-08-17,4832.000000
2017-08-18,4752.000000
2017-08-21,4777.000000
2017-08-22,4773.000000
2017-08-23,4728.500000
2017-08-24,4840.000000
2017-08-25,4835.000000
2017-08-29,4752.500000
2017-08-30,4754.000000
2017-08-31,4831.000000
2017-09-01,4815.500000
2017-09-04,4808.500000
2017-09-05,4776.500000
2017-09-06,4812.000000
2017-09-07,4903.500000
2017-09-08,4917.000000
2017-09-11,4897.500000
2017-09-12,4798.500000
2017-09-13,4813.000000
2017-09-14,4692.500000
2017-09-15,4741.000000
2017-09-18,4704.000000
2017-09-19,4648.500000
2017-09-20,4606.000000
2017-09-21,4565.000000
2017-09-22,4611.000000
2017-09-25,4585.000000
2017-09-26,4650.000000
2017-09-27,4704.500000
2017-09-28,4650.000000
2017-09-29,4672.000000
2017-10-02,4717.000000
2017-10-03,4704.000000
2017-10-04,4736.500000
2017-10-05,4705.000000
2017-10-06,4781.500000
2017-10-09,4819.500000
2017-10-10,4888.500000
2017-10-11,4916.500000
2017-10-12,4881.500000
2017-10-13,4858.000000
2017-10-16,4848.500000
2017-10-17,4865.000000
2017-10-18,4870.500000
2017-10-19,4828.000000
2017-10-20,4849.500000
2017-10-23,4867.000000
2017-10-24,4825.000000
2017-10-25,4843.500000
2017-10-26,4966.000000
2017-10-27,5022.000000
2017-10-30,4917.000000
2017-10-31,4871.000000
2017-11-01,4891.000000
2017-11-02,4970.000000
2017-11-03,4995.500000
2017-11-06,4959.000000
2017-11-07,4932.000000
2017-11-08,4956.000000
2017-11-09,4950.500000
2017-11-10,4910.000000
2017-11-13,4937.000000
2017-11-14,4900.000000
2017-11-15,4891.000000
2017-11-16,4955.000000
2017-11-17,4983.500000
2017-11-20,5002.000000
2017-11-21,5091.000000
2017-11-22,5029.000000
2017-11-23,5049.000000
2017-11-24,5004.000000
2017-11-27,4967.500000
2017-11-28,4969.000000
2017-11-29,4802.000000
2017-11-30,4689.000000
2017-12-01,4784.500000
2017-12-04,4795.500000
2017-12-05,4850.000000
2017-12-06,5028.000000
2017-12-07,4958.500000
2017-12-08,4939.000000
2017-12-11,5002.000000
2017-12-12,5044.000000
2017-12-13,5045.149902
2017-12-14,4924.500000
2017-12-15,4967.000000
2017-12-18,4960.000000
2017-12-19,4995.000000
2017-12-20,4920.000000
2017-12-21,5013.000000
2017-12-22,4970.000000
2017-12-27,5005.000000
2017-12-28,4955.500000
2017-12-29,5018.000000
2018-01-02,4940.000000
2018-01-03,4936.500000
2018-01-04,4914.500000
2018-01-05,4970.000000
2018-01-08,4925.000000
2018-01-09,4959.500000
2018-01-10,4965.000000
2018-01-11,5050.000000
2018-01-12,4968.000000
2018-01-15,5015.000000
2018-01-16,5033.000000
2018-01-17,5003.000000
2018-01-18,4950.000000
2018-01-19,5062.000000
2018-01-22,5042.000000
2018-01-23,5100.000000
2018-01-24,4976.000000
2018-01-25,4870.000000
2018-01-26,4939.000000
2018-01-29,4875.000000
2018-01-30,4831.500000
2018-01-31,4819.000000
2018-02-01,4824.000000
2018-02-02,4760.000000
2018-02-05,4632.500000
2018-02-06,4519.500000
2018-02-07,4645.000000
2018-02-08,4497.500000
2018-02-09,4412.500000
2018-02-12,4465.000000
2018-02-13,4381.500000
2018-02-14,4440.000000
2018-02-15,4423.500000
2018-02-16,4451.500000
2018-02-19,4440.000000
2018-02-20,4493.000000
