date,value
2016-02-19,374.700012
2016-02-22,378.200012
2016-02-23,377.200012
2016-02-24,373.500000
2016-02-25,384.299988
2016-02-26,388.799988
2016-02-29,388.600006
2016-03-01,409.600006
2016-03-02,407.799988
2016-03-03,399.000000
2016-03-04,398.700012
2016-03-07,395.399994
2016-03-08,392.000000
2016-03-09,394.899994
2016-03-10,358.600006
2016-03-11,366.500000
2016-03-14,366.600006
2016-03-15,365.799988
2016-03-16,372.399994
2016-03-17,375.200012
2016-03-18,375.500000
2016-03-21,376.799988
2016-03-22,380.200012
2016-03-23,375.500000
2016-03-24,369.899994
2016-03-29,371.600006
2016-03-30,373.000000
2016-03-31,370.200012
2016-04-01,364.100006
2016-04-04,364.500000
2016-04-05,359.500000
2016-04-06,364.200012
2016-04-07,360.500000
2016-04-08,360.700012
2016-04-11,355.299988
2016-04-12,363.799988
2016-04-13,367.700012
2016-04-14,366.899994
2016-04-15,362.799988
2016-04-18,360.000000
2016-04-19,359.399994
2016-04-20,355.500000
2016-04-21,347.600006
2016-04-22,345.299988
2016-04-25,348.000000
2016-04-26,348.500000
2016-04-27,352.200012
2016-04-28,359.100006
2016-04-29,361.899994
2016-05-03,368.299988
2016-05-04,371.000000
2016-05-05,372.200012
2016-05-06,377.000000
2016-05-09,380.000000
2016-05-10,379.500000
2016-05-11,378.799988
2016-05-12,373.500000
2016-05-13,367.399994
2016-05-16,369.500000
2016-05-17,369.000000
2016-05-18,369.600006
2016-05-19,365.899994
2016-05-20,368.000000
2016-05-23,367.299988
2016-05-24,374.000000
2016-05-25,370.100006
2016-05-26,369.200012
2016-05-27,371.799988
2016-05-31,375.299988
2016-06-01,375.000000
2016-06-02,374.000000
2016-06-03,375.299988
2016-06-06,375.600006
2016-06-07,369.000000
2016-06-08,361.500000
2016-06-09,358.500000
2016-06-10,352.000000
2016-06-13,349.799988
2016-06-14,342.200012
2016-06-15,343.399994
2016-06-16,340.799988
2016-06-17,345.399994
2016-06-20,357.700012
2016-06-21,363.799988
2016-06-22,371.799988
2016-06-23,374.100006
2016-06-24,351.200012
2016-06-27,333.299988
2016-06-28,338.000000
2016-06-29,343.899994
2016-06-30,344.799988
2016-07-01,351.399994
2016-07-04,348.299988
2016-07-05,339.200012
2016-07-06,334.600006
2016-07-07,337.299988
2016-07-08,339.200012
2016-07-11,341.899994
2016-07-12,346.000000
2016-07-13,345.000000
2016-07-14,345.100006
2016-07-15,339.500000
2016-07-18,345.000000
2016-07-19,344.100006
2016-07-20,348.000000
2016-07-21,342.000000
2016-07-22,342.000000
2016-07-25,344.500000
2016-07-26,343.799988
2016-07-27,349.100006
2016-07-28,347.899994
2016-07-29,350.200012
2016-08-01,355.100006
2016-08-02,399.899994
2016-08-03,391.000000
2016-08-04,394.100006
2016-08-05,395.000000
2016-08-08,393.799988
2016-08-09,392.299988
2016-08-10,393.000000
2016-08-11,377.000000
2016-08-12,377.200012
2016-08-15,379.100006
2016-08-16,374.299988
2016-08-17,373.100006
2016-08-18,371.299988
2016-08-19,368.700012
2016-08-22,370.500000
2016-08-23,372.899994
2016-08-24,371.799988
2016-08-25,366.399994
2016-08-26,366.799988
2016-08-30,363.399994
2016-08-31,369.000000
2016-09-01,372.299988
2016-09-02,380.500000
2016-09-05,379.899994
2016-09-06,378.600006
2016-09-07,376.399994
2016-09-08,377.100006
2016-09-09,368.200012
2016-09-12,366.500000
2016-09-13,363.200012
2016-09-14,364.700012
2016-09-15,371.500000
2016-09-16,370.799988
2016-09-19,378.500000
2016-09-20,381.700012
2016-09-21,384.100006
2016-09-22,382.500000
2016-09-23,378.399994
2016-09-26,371.799988
2016-09-27,368.600006
2016-09-28,370.399994
2016-09-29,369.500000
2016-09-30,364.799988
2016-10-03,369.000000
2016-10-04,372.799988
2016-10-05,367.399994
2016-10-06,363.000000
2016-10-07,356.200012
2016-10-10,352.299988
2016-10-11,351.000000
2016-10-12,362.600006
2016-10-13,358.100006
2016-10-14,359.399994
2016-10-17,351.600006
2016-10-18,358.899994
2016-10-19,357.200012
2016-10-20,354.799988
2016-10-21,350.700012
2016-10-24,351.600006
2016-10-25,351.299988
2016-10-26,347.899994
2016-10-27,348.600006
2016-10-28,346.200012
2016-10-31,346.100006
2016-11-01,351.899994
2016-11-02,351.200012
2016-11-03,353.000000
2016-11-04,344.600006
2016-11-07,349.899994
2016-11-08,353.200012
2016-11-09,363.700012
2016-11-10,360.000000
2016-11-11,355.600006
2016-11-14,357.500000
2016-11-15,354.500000
2016-11-16,351.299988
2016-11-17,353.299988
2016-11-18,355.299988
2016-11-21,346.500000
2016-11-22,356.000000
2016-11-23,348.399994
2016-11-24,358.299988
2016-11-25,355.100006
2016-11-28,352.899994
2016-11-29,352.100006
2016-11-30,347.200012
2016-12-01,343.600006
2016-12-02,347.299988
2016-12-05,351.399994
2016-12-06,354.799988
2016-12-07,361.600006
2016-12-08,357.700012
2016-12-09,355.899994
2016-12-12,347.399994
2016-12-13,349.799988
2016-12-14,348.500000
2016-12-15,355.799988
2016-12-16,356.399994
2016-12-19,357.299988
2016-12-20,358.200012
2016-12-21,359.600006
2016-12-22,363.600006
2016-12-23,367.799988
2016-12-28,362.500000
2016-12-29,367.200012
2016-12-30,369.399994
2017-01-03,372.899994
2017-01-04,373.000000
2017-01-05,366.000000
2017-01-06,364.700012
2017-01-09,368.000000
2017-01-10,357.000000
2017-01-11,352.200012
2017-01-12,346.700012
2017-01-13,348.600006
2017-01-16,350.000000
2017-01-17,347.000000
2017-01-18,348.899994
2017-01-19,347.200012
2017-01-20,345.299988
2017-01-23,344.899994
2017-01-24,346.200012
2017-01-25,352.600006
2017-01-26,352.600006
2017-01-27,354.899994
2017-01-30,355.299988
2017-01-31,355.000000
2017-02-01,353.899994
2017-02-02,353.000000
2017-02-03,356.399994
2017-02-06,353.100006
2017-02-07,360.000000
2017-02-08,360.799988
2017-02-09,363.200012
2017-02-10,368.000000
2017-02-13,360.700012
2017-02-14,359.200012
2017-02-15,357.000000
2017-02-16,357.000000
2017-02-17,353.899994
2017-02-20,361.899994
2017-02-21,358.500000
2017-02-22,356.100006
2017-02-23,362.899994
2017-02-24,364.600006
2017-02-27,338.500000
2017-02-28,343.500000
2017-03-01,349.700012
2017-03-02,346.399994
2017-03-03,345.899994
2017-03-06,348.399994
2017-03-07,338.200012
2017-03-08,335.500000
2017-03-09,340.799988
2017-03-10,345.000000
2017-03-13,347.500000
2017-03-14,344.399994
2017-03-15,346.299988
2017-03-16,333.799988
2017-03-17,334.399994
2017-03-20,340.100006
2017-03-21,340.000000
2017-03-22,334.899994
2017-03-23,336.000000
2017-03-24,337.600006
2017-03-27,336.799988
2017-03-28,338.600006
2017-03-29,335.899994
2017-03-30,341.000000
2017-03-31,347.399994
2017-04-03,347.200012
2017-04-04,348.000000
2017-04-05,348.899994
2017-04-06,345.299988
2017-04-07,344.399994
2017-04-10,344.600006
2017-04-11,344.799988
2017-04-12,341.799988
2017-04-13,343.799988
2017-04-18,339.399994
2017-04-19,338.899994
2017-04-20,340.200012
2017-04-21,337.899994
2017-04-24,344.100006
2017-04-25,348.299988
2017-04-26,348.700012
2017-04-27,346.000000
2017-04-28,349.200012
2017-05-02,355.700012
2017-05-03,359.200012
2017-05-04,361.600006
2017-05-05,356.399994
2017-05-08,356.700012
2017-05-09,357.899994
2017-05-10,358.299988
2017-05-11,354.100006
2017-05-12,356.600006
2017-05-15,350.700012
2017-05-16,347.700012
2017-05-17,350.200012
2017-05-18,350.500000
2017-05-19,351.700012
2017-05-22,347.299988
2017-05-23,342.100006
2017-05-24,347.399994
2017-05-25,349.000000
2017-05-26,345.399994
2017-05-30,348.399994
2017-05-31,348.600006
2017-06-01,347.299988
2017-06-02,346.600006
2017-06-05,345.899994
2017-06-06,343.000000
2017-06-07,347.299988
2017-06-08,346.000000
2017-06-09,354.200012
2017-06-12,352.000000
2017-06-13,353.899994
2017-06-14,364.299988
2017-06-15,360.600006
2017-06-16,370.000000
2017-06-19,366.500000
2017-06-20,367.600006
2017-06-21,363.799988
2017-06-22,356.899994
2017-06-23,360.500000
2017-06-26,363.571991
2017-06-27,354.744995
2017-06-28,354.799988
2017-06-29,356.700012
2017-06-30,355.399994
2017-07-03,358.100006
2017-07-04,359.299988
2017-07-05,360.399994
2017-07-06,361.600006
2017-07-07,363.399994
2017-07-10,363.700012
2017-07-11,361.200012
2017-07-12,367.299988
2017-07-13,369.000000
2017-07-14,365.000000
2017-07-17,365.100006
2017-07-18,363.100006
2017-07-19,365.700012
2017-07-20,373.700012
2017-07-21,375.700012
2017-07-24,367.799988
2017-07-25,371.100006
2017-07-26,371.000000
2017-07-27,374.100006
2017-07-28,371.200012
2017-07-31,374.600006
2017-08-01,395.000000
2017-08-02,396.500000
2017-08-03,403.299988
2017-08-04,404.000000
2017-08-07,406.100006
2017-08-08,411.299988
2017-08-09,406.600006
2017-08-10,400.200012
2017-08-11,396.500000
2017-08-14,398.299988
2017-08-15,395.700012
2017-08-16,386.299988
2017-08-17,388.799988
2017-08-18,385.100006
2017-08-21,385.399994
2017-08-22,385.100006
2017-08-23,384.899994
2017-08-24,385.299988
2017-08-25,386.000000
2017-08-29,381.899994
2017-08-30,379.799988
2017-08-31,380.100006
2017-09-01,379.600006
2017-09-04,377.799988
2017-09-05,375.299988
2017-09-06,371.600006
2017-09-07,379.600006
2017-09-08,383.000000
2017-09-11,385.500000
2017-09-12,382.899994
2017-09-13,381.600006
2017-09-14,378.000000
2017-09-15,371.500000
2017-09-18,374.000000
2017-09-19,372.399994
2017-09-20,372.899994
2017-09-21,370.500000
2017-09-22,369.500000
2017-09-25,363.799988
2017-09-26,361.299988
2017-09-27,356.899994
2017-09-28,361.399994
2017-09-29,363.600006
2017-10-02,361.200012
2017-10-03,358.100006
2017-10-04,358.500000
2017-10-05,355.700012
2017-10-06,364.299988
2017-10-09,366.399994
2017-10-10,370.700012
2017-10-11,370.100006
2017-10-12,376.100006
2017-10-13,376.500000
2017-10-16,375.600006
2017-10-17,376.200012
2017-10-18,376.000000
2017-10-19,377.299988
2017-10-20,379.700012
2017-10-23,378.000000
2017-10-24,372.399994
2017-10-25,369.000000
2017-10-26,373.899994
2017-10-27,369.399994
2017-10-30,369.700012
2017-10-31,371.700012
2017-11-01,371.600006
2017-11-02,369.100006
2017-11-03,365.500000
2017-11-06,367.000000
2017-11-07,355.899994
2017-11-08,355.799988
2017-11-09,357.200012
2017-11-10,355.700012
2017-11-13,354.000000
2017-11-14,358.600006
2017-11-15,357.700012
2017-11-16,356.799988
2017-11-17,355.600006
2017-11-20,355.299988
2017-11-21,356.700012
2017-11-22,356.000000
2017-11-23,356.399994
