date,value
2016-02-19,1162.000000
2016-02-22,1184.000000
2016-02-23,1164.000000
2016-02-24,1150.000000
2016-02-25,1168.000000
2016-02-26,1172.000000
2016-02-29,1183.000000
2016-03-01,1204.000000
2016-03-02,1194.000000
2016-03-03,1190.000000
2016-03-04,1203.000000
2016-03-07,1202.000000
2016-03-08,1193.000000
2016-03-09,1201.000000
2016-03-10,1184.000000
2016-03-11,1206.000000
2016-03-14,1215.000000
2016-03-15,1211.000000
2016-03-16,1208.000000
2016-03-17,1208.000000
2016-03-18,1206.000000
2016-03-21,1202.000000
2016-03-22,1205.000000
2016-03-23,1220.000000
2016-03-24,1213.000000
2016-03-29,1229.000000
2016-03-30,1246.000000
2016-03-31,1245.000000
2016-04-01,1251.000000
2016-04-04,1265.000000
2016-04-05,1250.000000
2016-04-06,1266.000000
2016-04-07,1255.000000
2016-04-08,1239.000000
2016-04-11,1233.000000
2016-04-12,1232.000000
2016-04-13,1239.000000
2016-04-14,1251.000000
2016-04-15,1253.000000
2016-04-18,1259.000000
2016-04-19,1290.000000
2016-04-20,1288.000000
2016-04-21,1277.000000
2016-04-22,1256.000000
2016-04-25,1259.000000
2016-04-26,1260.000000
2016-04-27,1266.000000
2016-04-28,1271.000000
2016-04-29,1251.000000
2016-05-03,1265.000000
2016-05-04,1266.000000
2016-05-05,1267.000000
2016-05-06,1251.000000
2016-05-09,1258.000000
2016-05-10,1270.000000
2016-05-11,1265.000000
2016-05-12,1258.000000
2016-05-13,1253.000000
2016-05-16,1258.000000
2016-05-17,1267.000000
2016-05-18,1275.000000
2016-05-19,1257.000000
2016-05-20,1265.000000
2016-05-23,1272.000000
2016-05-24,1288.000000
2016-05-25,1271.000000
2016-05-26,1287.000000
2016-05-27,1291.000000
2016-05-31,1306.000000
2016-06-01,1293.000000
2016-06-02,1296.000000
2016-06-03,1296.000000
2016-06-06,1307.000000
2016-06-07,1318.000000
2016-06-08,1328.000000
2016-06-09,1300.000000
2016-06-10,1282.000000
2016-06-13,1263.000000
2016-06-14,1236.000000
2016-06-15,1251.000000
2016-06-16,1235.000000
2016-06-17,1245.000000
2016-06-20,1282.000000
2016-06-21,1294.000000
2016-06-22,1322.000000
2016-06-23,1328.000000
2016-06-24,1335.000000
2016-06-27,1303.000000
2016-06-28,1322.000000
2016-06-29,1359.000000
2016-06-30,1412.000000
2016-07-01,1435.000000
2016-07-04,1430.000000
2016-07-05,1436.000000
2016-07-06,1425.000000
2016-07-07,1441.000000
2016-07-08,1449.000000
2016-07-11,1485.000000
2016-07-12,1467.000000
2016-07-13,1463.000000
2016-07-14,1459.000000
2016-07-15,1472.000000
2016-07-18,1462.000000
2016-07-19,1465.000000
2016-07-20,1470.000000
2016-07-21,1469.000000
2016-07-22,1476.000000
2016-07-25,1479.000000
2016-07-26,1471.000000
2016-07-27,1472.000000
2016-07-28,1476.000000
2016-07-29,1477.000000
2016-08-01,1478.000000
2016-08-02,1453.000000
2016-08-03,1434.000000
2016-08-04,1466.000000
2016-08-05,1463.000000
2016-08-08,1472.000000
2016-08-09,1491.000000
2016-08-10,1503.000000
2016-08-11,1527.000000
2016-08-12,1534.000000
2016-08-15,1541.000000
2016-08-16,1518.000000
2016-08-17,1506.000000
2016-08-18,1513.000000
2016-08-19,1505.000000
2016-08-22,1507.000000
2016-08-23,1520.000000
2016-08-24,1513.000000
2016-08-25,1510.000000
2016-08-26,1521.000000
2016-08-30,1523.000000
2016-08-31,1514.000000
2016-09-01,1501.000000
2016-09-02,1545.000000
2016-09-05,1537.000000
2016-09-06,1524.000000
2016-09-07,1543.000000
2016-09-08,1542.000000
2016-09-09,1516.000000
2016-09-12,1509.000000
2016-09-13,1503.000000
2016-09-14,1514.000000
2016-09-15,1545.000000
2016-09-16,1538.000000
2016-09-19,1564.000000
2016-09-20,1563.000000
2016-09-21,1558.000000
2016-09-22,1578.000000
2016-09-23,1569.000000
2016-09-26,1550.000000
2016-09-27,1544.000000
2016-09-28,1551.000000
2016-09-29,1552.000000
2016-09-30,1544.000000
2016-10-03,1569.000000
2016-10-04,1594.000000
2016-10-05,1572.000000
2016-10-06,1586.000000
2016-10-07,1587.000000
2016-10-10,1593.000000
2016-10-11,1579.000000
2016-10-12,1562.000000
2016-10-13,1572.000000
2016-10-14,1591.000000
2016-10-17,1582.000000
2016-10-18,1577.000000
2016-10-19,1589.000000
2016-10-20,1588.000000
2016-10-21,1582.000000
2016-10-24,1563.000000
2016-10-25,1564.000000
2016-10-26,1560.000000
2016-10-27,1568.000000
2016-10-28,1561.000000
2016-10-31,1573.000000
2016-11-01,1564.000000
2016-11-02,1530.000000
2016-11-03,1502.000000
2016-11-04,1493.000000
2016-11-07,1505.000000
2016-11-08,1517.000000
2016-11-09,1467.000000
2016-11-10,1444.000000
2016-11-11,1402.000000
2016-11-14,1383.000000
2016-11-15,1396.000000
2016-11-16,1402.000000
2016-11-17,1425.000000
2016-11-18,1430.000000
2016-11-21,1449.000000
2016-11-22,1452.000000
2016-11-23,1457.000000
2016-11-24,1462.000000
2016-11-25,1477.000000
2016-11-28,1490.000000
2016-11-29,1500.000000
2016-11-30,1510.000000
2016-12-01,1500.000000
2016-12-02,1512.000000
2016-12-05,1494.000000
2016-12-06,1488.000000
2016-12-07,1505.000000
2016-12-08,1496.000000
2016-12-09,1507.000000
2016-12-12,1489.000000
2016-12-13,1500.000000
2016-12-14,1501.000000
2016-12-15,1499.000000
2016-12-16,1512.000000
2016-12-19,1517.000000
2016-12-20,1509.000000
2016-12-21,1525.000000
2016-12-22,1545.000000
2016-12-23,1553.000000
2016-12-28,1573.000000
2016-12-29,1575.000000
2016-12-30,1574.000000
2017-01-03,1586.000000
2017-01-04,1580.000000
2017-01-05,1569.000000
2017-01-06,1569.000000
2017-01-09,1579.000000
2017-01-10,1579.000000
2017-01-11,1583.000000
2017-01-12,1597.000000
2017-01-13,1601.000000
2017-01-16,1612.000000
2017-01-17,1578.000000
2017-01-18,1551.000000
2017-01-19,1534.000000
2017-01-20,1539.000000
2017-01-23,1534.000000
2017-01-24,1539.000000
2017-01-25,1545.000000
2017-01-26,1532.000000
2017-01-27,1549.000000
2017-01-30,1547.000000
2017-01-31,1529.000000
2017-02-01,1532.000000
2017-02-02,1553.000000
2017-02-03,1555.000000
2017-02-06,1558.000000
2017-02-07,1560.000000
2017-02-08,1560.000000
2017-02-09,1564.000000
2017-02-10,1565.000000
2017-02-13,1568.000000
2017-02-14,1565.000000
2017-02-15,1577.000000
2017-02-16,1597.000000
2017-02-17,1608.000000
2017-02-20,1608.000000
2017-02-21,1587.000000
2017-02-22,1602.000000
2017-02-23,1593.000000
2017-02-24,1593.000000
2017-02-27,1601.000000
2017-02-28,1597.000000
2017-03-01,1619.000000
2017-03-02,1623.000000
2017-03-03,1614.000000
2017-03-06,1605.000000
2017-03-07,1609.000000
2017-03-08,1621.000000
2017-03-09,1620.000000
2017-03-10,1626.000000
2017-03-13,1638.000000
2017-03-14,1634.000000
2017-03-15,1639.000000
2017-03-16,1631.000000
2017-03-17,1642.000000
2017-03-20,1641.000000
2017-03-21,1626.000000
2017-03-22,1624.000000
2017-03-23,1628.000000
2017-03-24,1636.000000
2017-03-27,1632.000000
2017-03-28,1624.000000
2017-03-29,1622.000000
2017-03-30,1622.000000
2017-03-31,1628.000000
2017-04-03,1620.000000
2017-04-04,1620.000000
2017-04-05,1604.000000
2017-04-06,1609.000000
2017-04-07,1617.000000
2017-04-10,1602.000000
2017-04-11,1614.000000
2017-04-12,1629.000000
2017-04-13,1621.000000
2017-04-18,1581.000000
2017-04-19,1587.000000
2017-04-20,1585.000000
2017-04-21,1596.000000
2017-04-24,1641.000000
2017-04-25,1650.000000
2017-04-26,1652.000000
2017-04-27,1668.000000
2017-04-28,1659.000000
2017-05-02,1685.000000
2017-05-03,1673.000000
2017-05-04,1681.000000
2017-05-05,1693.000000
2017-05-08,1680.000000
2017-05-09,1689.000000
2017-05-10,1674.000000
2017-05-11,1671.000000
2017-05-12,1687.000000
2017-05-15,1679.000000
2017-05-16,1705.000000
2017-05-17,1694.000000
2017-05-18,1660.000000
2017-05-19,1631.000000
2017-05-22,1646.000000
2017-05-23,1658.000000
2017-05-24,1666.000000
2017-05-25,1646.000000
2017-05-26,1641.000000
2017-05-30,1615.000000
2017-05-31,1618.000000
2017-06-01,1611.000000
2017-06-02,1600.000000
2017-06-05,1586.000000
2017-06-06,1609.000000
2017-06-07,1591.000000
2017-06-08,1601.000000
2017-06-09,1623.000000
2017-06-12,1615.000000
2017-06-13,1614.000000
2017-06-14,1620.000000
2017-06-15,1617.000000
2017-06-16,1614.000000
2017-06-19,1635.000000
2017-06-20,1633.000000
2017-06-21,1632.000000
2017-06-22,1609.000000
2017-06-23,1619.000000
2017-06-26,1624.500000
2017-06-27,1619.300049
2017-06-28,1613.000000
2017-06-29,1577.000000
2017-06-30,1575.000000
2017-07-03,1577.000000
2017-07-04,1570.000000
2017-07-05,1575.000000
2017-07-06,1561.000000
2017-07-07,1566.000000
2017-07-10,1573.000000
2017-07-11,1544.000000
2017-07-12,1570.000000
2017-07-13,1589.000000
2017-07-14,1588.000000
2017-07-17,1564.000000
2017-07-18,1532.000000
2017-07-19,1537.000000
2017-07-20,1537.000000
2017-07-21,1517.000000
2017-07-24,1514.000000
2017-07-25,1522.000000
2017-07-26,1519.000000
2017-07-27,1537.000000
2017-07-28,1507.000000
2017-07-31,1507.000000
2017-08-01,1528.000000
2017-08-02,1515.000000
2017-08-03,1527.000000
2017-08-04,1534.000000
2017-08-07,1522.000000
2017-08-08,1531.000000
2017-08-09,1532.000000
2017-08-10,1519.000000
2017-08-11,1517.000000
2017-08-14,1495.000000
2017-08-15,1516.000000
2017-08-16,1529.000000
2017-08-17,1534.000000
