date,value
2016-02-19,1553.000000
2016-02-22,1545.000000
2016-02-23,1522.000000
2016-02-24,1514.000000
2016-02-25,1495.000000
2016-02-26,1494.000000
2016-02-29,1506.000000
2016-03-01,1543.000000
2016-03-02,1510.000000
2016-03-03,1485.000000
2016-03-04,1552.000000
2016-03-07,1533.000000
2016-03-08,1536.000000
2016-03-09,1533.000000
2016-03-10,1494.000000
2016-03-11,1521.000000
2016-03-14,1544.000000
2016-03-15,1507.000000
2016-03-16,1516.000000
2016-03-17,1485.000000
2016-03-18,1514.000000
2016-03-21,1501.000000
2016-03-22,1504.000000
2016-03-23,1515.000000
2016-03-24,1501.000000
2016-03-29,1525.000000
2016-03-30,1520.000000
2016-03-31,1519.000000
2016-04-01,1528.000000
2016-04-04,1528.000000
2016-04-05,1522.000000
2016-04-06,1476.000000
2016-04-07,1451.000000
2016-04-08,1454.000000
2016-04-11,1456.000000
2016-04-12,1455.000000
2016-04-13,1472.000000
2016-04-14,1477.000000
2016-04-15,1447.000000
2016-04-18,1457.000000
2016-04-19,1467.000000
2016-04-20,1473.000000
2016-04-21,1447.000000
2016-04-22,1447.000000
2016-04-25,1445.000000
2016-04-26,1461.000000
2016-04-27,1513.000000
2016-04-28,1515.000000
2016-04-29,1473.000000
2016-05-03,1435.000000
2016-05-04,1440.000000
2016-05-05,1440.000000
2016-05-06,1416.000000
2016-05-09,1470.000000
2016-05-10,1510.000000
2016-05-11,1486.000000
2016-05-12,1457.000000
2016-05-13,1433.000000
2016-05-16,1441.000000
2016-05-17,1437.000000
2016-05-18,1487.000000
2016-05-19,1461.000000
2016-05-20,1470.000000
2016-05-23,1498.000000
2016-05-24,1518.000000
2016-05-25,1556.000000
2016-05-26,1532.000000
2016-05-27,1552.000000
2016-05-31,1533.000000
2016-06-01,1508.000000
2016-06-02,1514.000000
2016-06-03,1524.000000
2016-06-06,1508.000000
2016-06-07,1521.000000
2016-06-08,1490.000000
2016-06-09,1488.000000
2016-06-10,1435.000000
2016-06-13,1423.000000
2016-06-14,1395.000000
2016-06-15,1406.000000
2016-06-16,1395.000000
2016-06-17,1441.000000
2016-06-20,1522.000000
2016-06-21,1520.000000
2016-06-22,1517.000000
2016-06-23,1533.000000
2016-06-24,1313.000000
2016-06-27,1020.000000
2016-06-28,1069.000000
2016-06-29,1087.000000
2016-06-30,1086.000000
2016-07-01,1092.000000
2016-07-04,1081.000000
2016-07-05,1056.000000
2016-07-06,1018.000000
2016-07-07,1048.000000
2016-07-08,1070.000000
2016-07-11,1095.000000
2016-07-12,1142.000000
2016-07-13,1120.000000
2016-07-14,1171.000000
2016-07-15,1140.000000
2016-07-18,1138.000000
2016-07-19,1116.000000
2016-07-20,1127.000000
2016-07-21,1067.000000
2016-07-22,1027.000000
2016-07-25,1020.000000
2016-07-26,989.500000
2016-07-27,1012.000000
2016-07-28,1017.000000
2016-07-29,1041.000000
2016-08-01,1041.000000
2016-08-02,1014.000000
2016-08-03,999.000000
2016-08-04,1008.000000
2016-08-05,1035.000000
2016-08-08,1039.000000
2016-08-09,1076.000000
2016-08-10,1070.000000
2016-08-11,1059.000000
2016-08-12,1101.000000
2016-08-15,1087.000000
2016-08-16,1060.000000
2016-08-17,1047.000000
2016-08-18,1078.000000
2016-08-19,1105.000000
2016-08-22,1099.000000
2016-08-23,1107.000000
2016-08-24,1116.000000
2016-08-25,1104.000000
2016-08-26,1101.000000
2016-08-30,1112.000000
2016-08-31,1105.000000
2016-09-01,1128.000000
2016-09-02,1139.000000
2016-09-05,1131.000000
2016-09-06,1150.000000
2016-09-07,1154.000000
2016-09-08,1197.000000
2016-09-09,1188.000000
2016-09-12,1152.000000
2016-09-13,1134.000000
2016-09-14,1086.000000
2016-09-15,1085.000000
2016-09-16,1075.000000
2016-09-19,1070.000000
2016-09-20,1041.000000
2016-09-21,1031.000000
2016-09-22,1046.000000
2016-09-23,1034.000000
2016-09-26,1016.000000
2016-09-27,1009.000000
2016-09-28,1031.000000
2016-09-29,1021.000000
2016-09-30,1007.000000
2016-10-03,1006.000000
2016-10-04,990.000000
2016-10-05,1003.000000
2016-10-06,933.500000
2016-10-07,896.000000
2016-10-10,875.500000
2016-10-11,900.500000
2016-10-12,897.500000
2016-10-13,878.000000
2016-10-14,882.500000
2016-10-17,873.500000
2016-10-18,918.000000
2016-10-19,926.000000
2016-10-20,934.500000
2016-10-21,918.500000
2016-10-24,931.500000
2016-10-25,925.000000
2016-10-26,944.000000
2016-10-27,921.000000
2016-10-28,952.500000
2016-10-31,937.000000
2016-11-01,940.500000
2016-11-02,968.000000
2016-11-03,997.500000
2016-11-04,983.500000
2016-11-07,994.500000
2016-11-08,1016.000000
2016-11-09,1034.000000
2016-11-10,1038.000000
2016-11-11,1055.000000
2016-11-14,1032.000000
2016-11-15,1087.000000
2016-11-16,1060.000000
2016-11-17,1082.000000
2016-11-18,1071.000000
2016-11-21,1067.000000
2016-11-22,1065.000000
2016-11-23,1046.000000
2016-11-24,1022.000000
2016-11-25,1020.000000
2016-11-28,1005.000000
2016-11-29,1011.000000
2016-11-30,990.000000
2016-12-01,996.500000
2016-12-02,970.500000
2016-12-05,974.500000
2016-12-06,980.500000
2016-12-07,993.500000
2016-12-08,1007.000000
2016-12-09,997.000000
2016-12-12,970.000000
2016-12-13,989.000000
2016-12-14,980.500000
2016-12-15,1007.000000
2016-12-16,1043.000000
2016-12-19,1034.000000
2016-12-20,1028.000000
2016-12-21,1028.000000
2016-12-22,1026.000000
2016-12-23,1035.000000
2016-12-28,1014.000000
2016-12-29,1002.000000
2016-12-30,1005.000000
2017-01-03,989.500000
2017-01-04,1009.000000
2017-01-05,1055.000000
2017-01-06,1059.000000
2017-01-09,1052.000000
2017-01-10,1079.000000
2017-01-11,1055.000000
2017-01-12,1036.000000
2017-01-13,1036.000000
2017-01-16,1023.000000
2017-01-17,1058.000000
2017-01-18,1051.000000
2017-01-19,1041.000000
2017-01-20,1044.000000
2017-01-23,1076.000000
2017-01-24,981.000000
2017-01-25,1008.000000
2017-01-26,995.000000
2017-01-27,974.000000
2017-01-30,963.000000
2017-01-31,950.000000
2017-02-01,942.500000
2017-02-02,935.000000
2017-02-03,940.000000
2017-02-06,932.500000
2017-02-07,923.000000
2017-02-08,933.500000
2017-02-09,950.000000
2017-02-10,947.500000
2017-02-13,952.000000
2017-02-14,955.000000
2017-02-15,954.500000
2017-02-16,951.500000
2017-02-17,963.500000
2017-02-20,955.500000
2017-02-21,963.000000
2017-02-22,974.000000
2017-02-23,914.500000
2017-02-24,931.500000
2017-02-27,936.000000
2017-02-28,951.000000
2017-03-01,958.000000
2017-03-02,962.500000
2017-03-03,956.500000
2017-03-06,962.500000
2017-03-07,954.000000
2017-03-08,940.000000
2017-03-09,974.500000
2017-03-10,977.000000
2017-03-13,984.500000
2017-03-14,994.500000
2017-03-15,990.500000
2017-03-16,1004.000000
2017-03-17,1022.000000
2017-03-20,1015.000000
2017-03-21,1009.000000
2017-03-22,985.000000
2017-03-23,1008.000000
2017-03-24,1005.000000
2017-03-27,1012.000000
2017-03-28,998.500000
2017-03-29,991.000000
2017-03-30,1007.000000
2017-03-31,1026.000000
2017-04-03,1017.000000
2017-04-04,1012.000000
2017-04-05,1017.000000
2017-04-06,1060.000000
2017-04-07,1043.000000
2017-04-10,1056.000000
2017-04-11,1078.000000
2017-04-12,1060.000000
2017-04-13,1064.000000
2017-04-18,1064.000000
2017-04-19,1117.000000
2017-04-20,1128.000000
2017-04-21,1135.000000
2017-04-24,1169.000000
2017-04-25,1161.000000
2017-04-26,1164.000000
2017-04-27,1155.000000
2017-04-28,1168.000000
2017-05-02,1186.000000
2017-05-03,1191.000000
2017-05-04,1209.000000
2017-05-05,1260.000000
2017-05-08,1286.000000
2017-05-09,1301.000000
2017-05-10,1305.000000
2017-05-11,1301.000000
2017-05-12,1294.000000
2017-05-15,1310.000000
2017-05-16,1215.000000
2017-05-17,1222.000000
2017-05-18,1230.000000
2017-05-19,1254.000000
2017-05-22,1269.000000
2017-05-23,1301.000000
2017-05-24,1344.000000
2017-05-25,1380.000000
2017-05-26,1386.000000
2017-05-30,1400.000000
2017-05-31,1414.000000
2017-06-01,1390.000000
2017-06-02,1389.000000
2017-06-05,1344.000000
2017-06-06,1339.000000
2017-06-07,1333.000000
2017-06-08,1340.000000
2017-06-09,1329.000000
2017-06-12,1325.000000
2017-06-13,1353.000000
2017-06-14,1373.000000
2017-06-15,1341.000000
2017-06-16,1362.000000
2017-06-19,1349.000000
2017-06-20,1329.000000
2017-06-21,1332.000000
2017-06-22,1337.000000
2017-06-23,1337.000000
2017-06-26,1366.000000
2017-06-27,1341.469971
2017-06-28,1360.000000
2017-06-29,1347.000000
2017-06-30,1359.000000
2017-07-03,1357.000000
2017-07-04,1360.000000
2017-07-05,1358.000000
2017-07-06,1347.000000
2017-07-07,1419.000000
2017-07-10,1414.000000
2017-07-11,1416.000000
2017-07-12,1400.000000
2017-07-13,1409.000000
2017-07-14,1411.000000
2017-07-17,1431.000000
2017-07-18,1413.000000
2017-07-19,1418.000000
2017-07-20,1334.000000
2017-07-21,1312.000000
2017-07-24,1275.000000
2017-07-25,1271.000000
2017-07-26,1279.000000
2017-07-27,1282.000000
2017-07-28,1275.000000
2017-07-31,1236.000000
2017-08-01,1254.000000
2017-08-02,1256.000000
2017-08-03,1263.000000
2017-08-04,1265.000000
2017-08-07,1279.000000
2017-08-08,1279.000000
2017-08-09,1276.000000
2017-08-10,1257.000000
2017-08-11,1252.000000
2017-08-14,1265.000000
2017-08-15,1322.000000
2017-08-16,1326.000000
2017-08-17,1301.000000
2017-08-18,1290.000000
2017-08-21,1289.000000
2017-08-22,1293.000000
2017-08-23,1270.000000
2017-08-24,1214.000000
2017-08-25,1216.000000
2017-08-29,1206.000000
2017-08-30,1182.000000
2017-08-31,1196.000000
2017-09-01,1190.000000
2017-09-04,1181.000000
2017-09-05,1156.000000
2017-09-06,1151.000000
2017-09-07,1159.000000
2017-09-08,1156.000000
2017-09-11,1195.000000
2017-09-12,1194.000000
2017-09-13,1202.000000
2017-09-14,1205.000000
2017-09-15,1213.000000
2017-09-18,1210.000000
2017-09-19,1228.000000
2017-09-20,1230.000000
2017-09-21,1198.000000
2017-09-22,1191.000000
2017-09-25,1180.000000
2017-09-26,1199.000000
2017-09-27,1223.000000
2017-09-28,1201.000000
2017-09-29,1217.000000
2017-10-02,1280.000000
2017-10-03,1297.000000
2017-10-04,1277.000000
2017-10-05,1284.000000
2017-10-06,1263.000000
2017-10-09,1236.000000
2017-10-10,1253.000000
2017-10-11,1289.000000
2017-10-12,1321.000000
2017-10-13,1310.000000
2017-10-16,1288.000000
2017-10-17,1316.000000
2017-10-18,1317.000000
2017-10-19,1295.000000
2017-10-20,1313.000000
2017-10-23,1320.000000
2017-10-24,1290.000000
2017-10-25,1306.000000
2017-10-26,1315.000000
2017-10-27,1273.000000
2017-10-30,1298.000000
2017-10-31,1339.000000
2017-11-01,1349.000000
2017-11-02,1330.000000
2017-11-03,1314.000000
2017-11-06,1320.000000
2017-11-07,1305.000000
2017-11-08,1262.000000
2017-11-09,1270.000000
2017-11-10,1275.000000
2017-11-13,1259.000000
2017-11-14,1264.000000
2017-11-15,1251.000000
2017-11-16,1295.000000
2017-11-17,1281.000000
2017-11-20,1278.000000
2017-11-21,1343.000000
2017-11-22,1350.000000
2017-11-23,1376.000000
2017-11-24,1365.000000
2017-11-27,1385.000000
2017-11-28,1409.000000
2017-11-29,1407.000000
2017-11-30,1406.000000
2017-12-01,1425.000000
2017-12-04,1430.000000
2017-12-05,1426.000000
2017-12-06,1444.000000
2017-12-07,1449.000000
2017-12-08,1456.000000
2017-12-11,1439.000000
2017-12-12,1439.000000
2017-12-13,1427.000000
2017-12-14,1426.000000
2017-12-15,1417.000000
2017-12-18,1377.000000
2017-12-19,1416.000000
2017-12-20,1426.000000
2017-12-21,1427.000000
2017-12-22,1445.000000
2017-12-27,1441.000000
2017-12-28,1441.000000
2017-12-29,1464.000000
2018-01-02,1501.000000
2018-01-03,1531.500000
2018-01-04,1510.000000
2018-01-05,1511.500000
2018-01-08,1524.500000
2018-01-09,1507.500000
2018-01-10,1479.000000
2018-01-11,1536.500000
2018-01-12,1529.500000
2018-01-15,1512.000000
2018-01-16,1529.000000
2018-01-17,1515.000000
2018-01-18,1513.000000
2018-01-19,1584.500000
2018-01-22,1563.500000
2018-01-23,1643.500000
2018-01-24,1679.000000
2018-01-25,1651.000000
2018-01-26,1689.000000
2018-01-29,1678.000000
2018-01-30,1659.000000
2018-01-31,1660.000000
2018-02-01,1667.500000
2018-02-02,1653.000000
2018-02-05,1641.500000
2018-02-06,1643.000000
2018-02-07,1666.500000
2018-02-08,1608.000000
2018-02-09,1586.000000
2018-02-12,1613.000000
2018-02-13,1632.500000
2018-02-14,1651.500000
2018-02-15,1646.000000
2018-02-16,1647.000000
2018-02-19,1649.000000
2018-02-20,1675.500000
2018-02-21,1696.000000
2018-02-22,1684.500000
2018-02-23,1631.500000
2018-02-26,1664.500000
2018-02-27,1679.000000
2018-02-28,1679.000000
2018-03-01,1612.000000
2018-03-02,1577.000000
2018-03-05,1597.500000
2018-03-06,1552.500000
2018-03-07,1572.500000
2018-03-08,1578.000000
2018-03-09,1563.000000
2018-03-12,1607.500000
2018-03-13,1629.500000
