date,value
2016-02-19,460.750000
2016-02-22,468.500000
2016-02-23,463.750000
2016-02-24,465.750000
2016-02-25,465.000000
2016-02-26,488.000000
2016-02-29,489.000000
2016-03-01,499.250000
2016-03-02,494.500000
2016-03-03,485.750000
2016-03-04,478.000000
2016-03-07,483.750000
2016-03-08,478.250000
2016-03-09,487.000000
2016-03-10,483.250000
2016-03-11,493.000000
2016-03-14,490.750000
2016-03-15,486.750000
2016-03-16,486.000000
2016-03-17,491.750000
2016-03-18,505.000000
2016-03-21,501.500000
2016-03-22,505.500000
2016-03-23,499.000000
2016-03-24,501.000000
2016-03-29,495.000000
2016-03-30,504.000000
2016-03-31,505.000000
2016-04-01,512.000000
2016-04-04,514.000000
2016-04-05,515.500000
2016-04-06,517.000000
2016-04-07,514.000000
2016-04-08,514.000000
2016-04-11,514.000000
2016-04-12,512.000000
2016-04-13,515.000000
2016-04-14,520.500000
2016-04-15,520.000000
2016-04-18,524.500000
2016-04-19,532.500000
2016-04-20,515.000000
2016-04-21,518.000000
2016-04-22,523.500000
2016-04-25,547.500000
2016-04-26,548.500000
2016-04-27,543.500000
2016-04-28,541.500000
2016-04-29,542.000000
2016-05-03,545.000000
2016-05-04,543.000000
2016-05-05,556.500000
2016-05-06,560.500000
2016-05-09,554.500000
2016-05-10,543.500000
2016-05-11,541.500000
2016-05-12,544.000000
2016-05-13,542.500000
2016-05-16,549.000000
2016-05-17,549.000000
2016-05-18,543.000000
2016-05-19,533.500000
2016-05-20,553.500000
2016-05-23,570.000000
2016-05-24,577.000000
2016-05-25,580.000000
2016-05-26,590.000000
2016-05-27,590.000000
2016-05-31,602.000000
2016-06-01,605.000000
2016-06-02,608.500000
2016-06-03,615.500000
2016-06-06,612.500000
2016-06-07,608.000000
2016-06-08,599.500000
2016-06-09,600.000000
2016-06-10,592.500000
2016-06-13,581.500000
2016-06-14,571.000000
2016-06-15,570.000000
2016-06-16,566.500000
2016-06-17,565.500000
2016-06-20,577.500000
2016-06-21,575.000000
