date,value
2016-02-19,800.000000
2016-02-22,794.000000
2016-02-23,796.000000
2016-02-24,810.000000
2016-02-25,900.000000
2016-02-26,890.000000
2016-02-29,885.000000
2016-03-01,887.000000
2016-03-02,889.500000
2016-03-03,878.000000
2016-03-04,869.000000
2016-03-07,886.000000
2016-03-08,908.500000
2016-03-09,936.000000
2016-03-10,918.000000
2016-03-11,909.000000
2016-03-14,967.500000
2016-03-15,951.500000
2016-03-16,987.500000
2016-03-17,1012.000000
2016-03-18,1045.000000
2016-03-21,1052.000000
2016-03-22,1055.000000
2016-03-23,1064.000000
2016-03-24,1038.000000
2016-03-29,1057.000000
2016-03-30,1033.000000
2016-03-31,1057.000000
2016-04-01,1064.000000
2016-04-04,1073.000000
2016-04-05,1082.000000
2016-04-06,1078.000000
2016-04-07,1120.000000
2016-04-08,1132.000000
2016-04-11,1151.000000
2016-04-12,1172.000000
2016-04-13,1175.000000
2016-04-14,1156.000000
2016-04-15,1155.000000
2016-04-18,1143.000000
2016-04-19,1135.000000
2016-04-20,1101.000000
2016-04-21,1062.000000
2016-04-22,1060.000000
2016-04-25,1081.000000
2016-04-26,1056.000000
2016-04-27,1050.000000
2016-04-28,1047.000000
2016-04-29,1047.000000
2016-05-03,1050.000000
2016-05-04,1022.000000
2016-05-05,1024.000000
2016-05-06,1021.000000
2016-05-09,1029.000000
2016-05-10,1035.000000
2016-05-11,1040.000000
2016-05-12,1042.000000
2016-05-13,1033.000000
2016-05-16,1036.000000
2016-05-17,1052.000000
2016-05-18,1050.000000
2016-05-19,1045.000000
2016-05-20,1045.000000
2016-05-23,1074.000000
2016-05-24,1099.000000
2016-05-25,1111.000000
2016-05-26,1129.000000
2016-05-27,1138.000000
2016-05-31,1150.000000
2016-06-01,1147.000000
2016-06-02,1142.000000
2016-06-03,1142.000000
2016-06-06,1151.000000
2016-06-07,1150.000000
2016-06-08,1150.000000
2016-06-09,1152.000000
2016-06-10,1154.000000
2016-06-13,1133.000000
2016-06-14,1113.000000
2016-06-15,1095.000000
2016-06-16,1050.000000
2016-06-17,1094.000000
2016-06-20,1150.000000
2016-06-21,1187.000000
2016-06-22,1196.000000
2016-06-23,1212.000000
2016-06-24,1273.000000
2016-06-27,1175.000000
2016-06-28,1202.000000
2016-06-29,1271.000000
2016-06-30,1295.000000
2016-07-01,1302.000000
2016-07-04,1245.000000
2016-07-05,1241.000000
2016-07-06,1210.000000
2016-07-07,1212.000000
2016-07-08,1214.000000
2016-07-11,1249.000000
2016-07-12,1120.000000
2016-07-13,1147.000000
2016-07-14,1130.000000
2016-07-15,1067.000000
2016-07-18,1090.000000
2016-07-19,1092.000000
2016-07-20,1107.000000
2016-07-21,1118.000000
2016-07-22,1115.000000
2016-07-25,1115.000000
2016-07-26,1115.000000
2016-07-27,1118.000000
2016-07-28,1117.000000
2016-07-29,1105.000000
2016-08-01,1102.000000
2016-08-02,1119.000000
2016-08-03,1127.000000
2016-08-04,1142.000000
2016-08-05,1140.000000
2016-08-08,1164.000000
2016-08-09,1198.000000
2016-08-10,1241.000000
2016-08-11,1221.000000
2016-08-12,1232.000000
2016-08-15,1288.000000
2016-08-16,1330.000000
2016-08-17,1264.000000
2016-08-18,1271.000000
2016-08-19,1283.000000
