date,value
2016-02-19,6556.000000
2016-02-22,6582.000000
2016-02-23,6554.000000
2016-02-24,6520.000000
2016-02-25,6625.000000
2016-02-26,6603.000000
2016-02-29,6560.000000
2016-03-01,6676.000000
2016-03-02,6503.000000
2016-03-03,6458.000000
2016-03-04,6539.000000
2016-03-07,6436.000000
2016-03-08,6470.000000
2016-03-09,6578.000000
2016-03-10,6462.000000
2016-03-11,6529.000000
2016-03-14,6637.000000
2016-03-15,6649.000000
2016-03-16,6641.000000
2016-03-17,6671.000000
2016-03-18,6600.000000
2016-03-21,6646.000000
2016-03-22,6641.000000
2016-03-23,6706.000000
2016-03-24,6695.000000
2016-03-29,6714.000000
2016-03-30,6771.000000
2016-03-31,6730.000000
2016-04-01,6705.000000
2016-04-04,6734.000000
2016-04-05,6768.000000
2016-04-06,6808.000000
2016-04-07,6804.000000
2016-04-08,6778.000000
2016-04-11,6744.000000
2016-04-12,6794.000000
2016-04-13,6845.000000
2016-04-14,6778.000000
2016-04-15,6735.000000
2016-04-18,6868.000000
2016-04-19,6974.000000
2016-04-20,6925.000000
2016-04-21,6824.000000
2016-04-22,6700.000000
2016-04-25,6697.000000
2016-04-26,6695.000000
2016-04-27,6713.000000
2016-04-28,6755.000000
2016-04-29,6654.000000
2016-05-03,6688.000000
2016-05-04,6659.000000
2016-05-05,6684.000000
2016-05-06,6731.000000
2016-05-09,6837.000000
2016-05-10,6882.000000
2016-05-11,6863.000000
2016-05-12,6823.000000
2016-05-13,6851.000000
2016-05-16,6868.000000
2016-05-17,6831.000000
2016-05-18,6850.000000
2016-05-19,6763.000000
2016-05-20,6820.000000
2016-05-23,6789.000000
2016-05-24,6861.000000
2016-05-25,6835.000000
2016-05-26,6883.000000
2016-05-27,6873.000000
2016-05-31,6875.000000
2016-06-01,6873.000000
2016-06-02,6842.000000
2016-06-03,6930.000000
2016-06-06,6958.000000
2016-06-07,6941.000000
2016-06-08,6952.000000
2016-06-09,6863.000000
2016-06-10,6747.000000
2016-06-13,6681.000000
2016-06-14,6595.000000
2016-06-15,6681.000000
2016-06-16,6648.000000
2016-06-17,6645.000000
2016-06-20,6799.000000
2016-06-21,6821.000000
2016-06-22,6807.000000
2016-06-23,6843.000000
2016-06-24,6893.000000
2016-06-27,6991.000000
2016-06-28,7062.000000
2016-06-29,7276.000000
2016-06-30,7490.000000
2016-07-01,7545.000000
2016-07-04,7510.000000
2016-07-05,7645.000000
2016-07-06,7566.000000
2016-07-07,7616.000000
2016-07-08,7636.000000
2016-07-11,7692.000000
2016-07-12,7525.000000
2016-07-13,7550.000000
2016-07-14,7429.000000
2016-07-15,7474.000000
2016-07-18,7442.000000
2016-07-19,7400.000000
2016-07-20,7435.000000
2016-07-21,7365.000000
2016-07-22,7461.000000
2016-07-25,7455.000000
2016-07-26,7500.000000
2016-07-27,7444.000000
2016-07-28,7438.000000
2016-07-29,7322.000000
2016-08-01,7351.000000
2016-08-02,7399.000000
2016-08-03,7327.000000
2016-08-04,7390.000000
2016-08-05,7430.000000
2016-08-08,7390.000000
2016-08-09,7460.000000
2016-08-10,7420.000000
2016-08-11,7556.000000
2016-08-12,7560.000000
2016-08-15,7583.000000
2016-08-16,7521.000000
2016-08-17,7487.000000
2016-08-18,7418.000000
2016-08-19,7425.000000
2016-08-22,7388.000000
2016-08-23,7399.000000
2016-08-24,7402.000000
2016-08-25,7446.000000
2016-08-26,7435.000000
2016-08-30,7407.000000
2016-08-31,7354.000000
2016-09-01,7313.000000
2016-09-02,7510.000000
2016-09-05,7465.000000
2016-09-06,7436.000000
2016-09-07,7400.000000
2016-09-08,7359.000000
2016-09-09,7181.000000
2016-09-12,7201.000000
2016-09-13,7111.000000
2016-09-14,7070.000000
2016-09-15,7151.000000
2016-09-16,7128.000000
2016-09-19,7217.000000
2016-09-20,7250.000000
2016-09-21,7142.000000
2016-09-22,7214.000000
2016-09-23,7199.000000
2016-09-26,7183.000000
2016-09-27,7210.000000
2016-09-28,7180.000000
2016-09-29,7205.000000
2016-09-30,7265.000000
2016-10-03,7290.000000
2016-10-04,7397.000000
2016-10-05,7237.000000
2016-10-06,7214.000000
2016-10-07,7270.000000
2016-10-10,7295.000000
2016-10-11,7409.000000
2016-10-12,7347.000000
2016-10-13,7333.000000
2016-10-14,7392.000000
2016-10-17,7359.000000
2016-10-18,7327.000000
2016-10-19,7135.000000
2016-10-20,7144.000000
2016-10-21,7235.000000
2016-10-24,7225.000000
2016-10-25,7247.000000
2016-10-26,7204.000000
2016-10-27,7319.000000
2016-10-28,7325.000000
2016-10-31,7313.000000
2016-11-01,7252.000000
2016-11-02,7214.000000
