date,value
2016-02-19,161.300003
2016-02-22,162.800003
2016-02-23,164.399994
2016-02-24,163.399994
2016-02-25,169.100006
2016-02-26,168.800003
2016-02-29,165.899994
2016-03-01,167.399994
2016-03-02,164.000000
2016-03-03,164.199997
2016-03-04,164.800003
2016-03-07,163.500000
2016-03-08,161.300003
2016-03-09,161.000000
2016-03-10,159.399994
2016-03-11,161.800003
2016-03-14,162.300003
2016-03-15,162.199997
2016-03-16,163.500000
2016-03-17,170.899994
2016-03-18,170.800003
2016-03-21,170.600006
2016-03-22,172.300003
2016-03-23,175.199997
2016-03-24,172.100006
2016-03-29,174.399994
2016-03-30,177.699997
2016-03-31,176.800003
2016-04-01,176.500000
2016-04-04,178.100006
2016-04-05,180.000000
2016-04-06,180.300003
2016-04-07,177.600006
2016-04-08,178.100006
2016-04-11,177.699997
2016-04-12,178.000000
2016-04-13,177.600006
2016-04-14,176.100006
2016-04-15,175.199997
2016-04-18,175.399994
2016-04-19,176.699997
2016-04-20,182.100006
2016-04-21,181.199997
2016-04-22,178.600006
2016-04-25,179.300003
2016-04-26,177.600006
2016-04-27,178.500000
2016-04-28,176.899994
2016-04-29,176.100006
2016-05-03,177.399994
2016-05-04,178.399994
2016-05-05,179.000000
2016-05-06,178.199997
2016-05-09,177.800003
2016-05-10,177.600006
2016-05-11,179.000000
2016-05-12,178.000000
2016-05-13,175.199997
2016-05-16,176.000000
2016-05-17,176.399994
2016-05-18,175.899994
2016-05-19,175.500000
2016-05-20,176.699997
2016-05-23,177.600006
2016-05-24,177.199997
2016-05-25,179.100006
2016-05-26,179.000000
2016-05-27,179.300003
2016-05-31,180.100006
2016-06-01,177.899994
2016-06-02,179.600006
2016-06-03,178.500000
2016-06-06,183.399994
2016-06-07,182.600006
2016-06-08,183.800003
2016-06-09,185.300003
2016-06-10,184.600006
2016-06-13,183.100006
2016-06-14,180.000000
2016-06-15,181.600006
2016-06-16,181.699997
2016-06-17,183.399994
2016-06-20,186.800003
2016-06-21,184.699997
2016-06-22,183.399994
2016-06-23,185.199997
2016-06-24,185.500000
2016-06-27,179.300003
2016-06-28,182.800003
2016-06-29,187.899994
2016-06-30,193.199997
2016-07-01,195.000000
2016-07-04,195.800003
2016-07-05,195.100006
2016-07-06,196.300003
2016-07-07,202.899994
2016-07-08,202.399994
2016-07-11,210.199997
2016-07-12,205.000000
2016-07-13,204.600006
2016-07-14,204.600006
2016-07-15,205.699997
2016-07-18,207.800003
2016-07-19,209.000000
2016-07-20,210.000000
2016-07-21,208.300003
2016-07-22,207.399994
2016-07-25,210.500000
2016-07-26,211.800003
2016-07-27,212.000000
2016-07-28,214.699997
2016-07-29,215.000000
2016-08-01,215.800003
2016-08-02,217.300003
2016-08-03,216.100006
2016-08-04,218.199997
2016-08-05,217.199997
2016-08-08,216.800003
2016-08-09,216.199997
2016-08-10,218.100006
2016-08-11,220.600006
2016-08-12,221.000000
2016-08-15,219.399994
2016-08-16,217.800003
2016-08-17,217.199997
2016-08-18,219.300003
2016-08-19,219.300003
2016-08-22,218.000000
2016-08-23,217.300003
2016-08-24,215.899994
2016-08-25,215.800003
2016-08-26,215.800003
2016-08-30,215.000000
2016-08-31,213.899994
2016-09-01,214.500000
2016-09-02,218.000000
2016-09-05,218.100006
2016-09-06,216.899994
2016-09-07,219.600006
2016-09-08,220.100006
2016-09-09,219.500000
2016-09-12,217.199997
2016-09-13,220.000000
2016-09-14,220.000000
2016-09-15,221.199997
2016-09-16,223.199997
2016-09-19,222.000000
2016-09-20,222.300003
2016-09-21,221.100006
2016-09-22,223.199997
2016-09-23,222.500000
2016-09-26,220.899994
2016-09-27,220.600006
2016-09-28,221.500000
2016-09-29,223.000000
2016-09-30,222.300003
2016-10-03,225.399994
2016-10-04,230.600006
2016-10-05,229.100006
2016-10-06,228.399994
2016-10-07,226.300003
2016-10-10,226.500000
2016-10-11,225.600006
2016-10-12,225.000000
2016-10-13,226.300003
2016-10-14,226.100006
2016-10-17,223.699997
2016-10-18,225.399994
2016-10-19,235.500000
2016-10-20,235.100006
2016-10-21,234.699997
2016-10-24,235.199997
2016-10-25,234.000000
2016-10-26,232.899994
2016-10-27,229.199997
2016-10-28,229.199997
2016-10-31,228.300003
2016-11-01,227.699997
2016-11-02,225.199997
2016-11-03,222.300003
2016-11-04,220.000000
2016-11-07,222.899994
2016-11-08,223.000000
2016-11-09,222.399994
2016-11-10,215.399994
2016-11-11,210.699997
2016-11-14,208.800003
2016-11-15,207.899994
2016-11-16,209.000000
2016-11-17,212.300003
2016-11-18,214.199997
2016-11-21,215.100006
2016-11-22,214.600006
2016-11-23,213.199997
2016-11-24,214.800003
2016-11-25,215.500000
2016-11-28,214.800003
2016-11-29,214.500000
2016-11-30,214.399994
2016-12-01,210.000000
2016-12-02,208.899994
2016-12-05,206.000000
2016-12-06,206.699997
2016-12-07,207.800003
2016-12-08,208.399994
2016-12-09,210.000000
2016-12-12,207.000000
2016-12-13,206.699997
2016-12-14,206.000000
2016-12-15,211.300003
2016-12-16,220.000000
2016-12-19,221.000000
2016-12-20,219.300003
2016-12-21,219.699997
2016-12-22,220.199997
2016-12-23,220.600006
2016-12-28,220.699997
2016-12-29,221.600006
2016-12-30,222.199997
2017-01-03,222.500000
2017-01-04,219.800003
2017-01-05,221.899994
2017-01-06,222.100006
2017-01-09,223.500000
2017-01-10,223.399994
2017-01-11,224.600006
2017-01-12,224.000000
2017-01-13,224.600006
2017-01-16,225.600006
2017-01-17,220.100006
2017-01-18,220.800003
2017-01-19,220.100006
2017-01-20,219.100006
2017-01-23,219.399994
2017-01-24,219.699997
2017-01-25,221.800003
2017-01-26,222.500000
2017-01-27,225.699997
2017-01-30,225.100006
2017-01-31,228.500000
2017-02-01,229.199997
2017-02-02,228.800003
2017-02-03,230.399994
2017-02-06,231.500000
2017-02-07,235.000000
2017-02-08,233.899994
2017-02-09,235.100006
2017-02-10,235.500000
2017-02-13,236.100006
2017-02-14,235.800003
2017-02-15,237.699997
2017-02-16,236.500000
2017-02-17,236.800003
2017-02-20,238.399994
2017-02-21,238.500000
2017-02-22,236.000000
2017-02-23,236.800003
