date,value
2016-02-19,2460.000000
2016-02-22,2503.000000
2016-02-23,2505.000000
2016-02-24,2473.000000
2016-02-25,2557.000000
2016-02-26,2640.000000
2016-02-29,2616.000000
2016-03-01,2687.000000
2016-03-02,2718.000000
2016-03-03,2738.000000
2016-03-04,2624.000000
2016-03-07,2651.000000
2016-03-08,2639.000000
2016-03-09,2685.000000
2016-03-10,2699.000000
2016-03-11,2698.000000
2016-03-14,2703.000000
2016-03-15,2709.000000
2016-03-16,2707.000000
2016-03-17,2716.000000
2016-03-18,2750.000000
2016-03-21,2725.000000
2016-03-22,2726.000000
2016-03-23,2715.000000
2016-03-24,2659.000000
2016-03-29,2650.000000
2016-03-30,2710.000000
2016-03-31,2683.000000
2016-04-01,2624.000000
2016-04-04,2641.000000
2016-04-05,2566.000000
2016-04-06,2592.000000
2016-04-07,2524.000000
2016-04-08,2500.000000
2016-04-11,2507.000000
2016-04-12,2540.000000
2016-04-13,2584.000000
2016-04-14,2600.000000
2016-04-15,2587.000000
2016-04-18,2579.000000
2016-04-19,2624.000000
2016-04-20,2613.000000
2016-04-21,2592.000000
2016-04-22,2569.000000
2016-04-25,2558.000000
2016-04-26,2583.000000
2016-04-27,2582.000000
2016-04-28,2568.000000
2016-04-29,2514.000000
2016-05-03,2474.000000
2016-05-04,2453.000000
2016-05-05,2446.000000
2016-05-06,2444.000000
2016-05-09,2459.000000
2016-05-10,2464.000000
2016-05-11,2475.000000
2016-05-12,2465.000000
2016-05-13,2493.000000
2016-05-16,2503.000000
2016-05-17,2505.000000
2016-05-18,2536.000000
2016-05-19,2520.000000
2016-05-20,2575.000000
2016-05-23,2581.000000
2016-05-24,2679.000000
2016-05-25,2716.000000
2016-05-26,2718.000000
2016-05-27,2736.000000
2016-05-31,2710.000000
2016-06-01,2661.000000
2016-06-02,2653.000000
2016-06-03,2656.000000
2016-06-06,2673.000000
2016-06-07,2654.000000
2016-06-08,2657.000000
2016-06-09,2630.000000
2016-06-10,2552.000000
2016-06-13,2478.000000
2016-06-14,2405.000000
2016-06-15,2410.000000
2016-06-16,2387.000000
2016-06-17,2445.000000
2016-06-20,2587.000000
2016-06-21,2598.000000
2016-06-22,2639.000000
2016-06-23,2711.000000
2016-06-24,2382.000000
2016-06-27,2049.000000
2016-06-28,2151.000000
2016-06-29,2254.000000
2016-06-30,2356.000000
2016-07-01,2422.000000
2016-07-04,2349.000000
2016-07-05,2230.000000
2016-07-06,2201.000000
2016-07-07,2318.000000
2016-07-08,2393.000000
2016-07-11,2501.000000
2016-07-12,2575.000000
2016-07-13,2507.000000
2016-07-14,2552.000000
2016-07-15,2550.000000
2016-07-18,2565.000000
2016-07-19,2568.000000
2016-07-20,2586.000000
2016-07-21,2578.000000
2016-07-22,2581.000000
2016-07-25,2605.000000
2016-07-26,2586.000000
2016-07-27,2640.000000
2016-07-28,2531.000000
2016-07-29,2618.000000
2016-08-01,2610.000000
2016-08-02,2584.000000
2016-08-03,2580.000000
2016-08-04,2613.000000
2016-08-05,2668.000000
2016-08-08,2708.000000
2016-08-09,2727.000000
2016-08-10,2719.000000
2016-08-11,2743.000000
2016-08-12,2786.000000
2016-08-15,2804.000000
2016-08-16,2785.000000
2016-08-17,2749.000000
2016-08-18,2762.000000
2016-08-19,2731.000000
2016-08-22,2728.000000
2016-08-23,2752.000000
2016-08-24,2759.000000
2016-08-25,2745.000000
2016-08-26,2755.000000
2016-08-30,2756.000000
2016-08-31,2784.000000
2016-09-01,2806.000000
2016-09-02,2835.000000
2016-09-05,2824.000000
2016-09-06,2785.000000
2016-09-07,2774.000000
2016-09-08,2793.000000
2016-09-09,2744.000000
2016-09-12,2683.000000
2016-09-13,2695.000000
2016-09-14,2705.000000
2016-09-15,2720.000000
2016-09-16,2679.000000
2016-09-19,2720.000000
2016-09-20,2707.000000
2016-09-21,2739.000000
2016-09-22,2754.000000
2016-09-23,2740.000000
2016-09-26,2677.000000
2016-09-27,2657.000000
2016-09-28,2673.000000
2016-09-29,2700.000000
2016-09-30,2696.000000
2016-10-03,2770.000000
2016-10-04,2816.000000
2016-10-05,2823.000000
2016-10-06,2804.000000
2016-10-07,2770.000000
2016-10-10,2769.000000
2016-10-11,2796.000000
2016-10-12,2794.000000
2016-10-13,2734.000000
2016-10-14,2769.000000
2016-10-17,2743.000000
2016-10-18,2817.000000
2016-10-19,2805.000000
2016-10-20,2808.000000
2016-10-21,2806.000000
2016-10-24,2845.000000
2016-10-25,2857.000000
2016-10-26,2851.000000
2016-10-27,2845.000000
2016-10-28,2846.000000
2016-10-31,2819.000000
2016-11-01,2809.000000
2016-11-02,2786.000000
2016-11-03,2801.000000
2016-11-04,2771.000000
2016-11-07,2817.000000
2016-11-08,2846.000000
2016-11-09,2859.000000
2016-11-10,2903.000000
2016-11-11,2860.000000
2016-11-14,2884.000000
2016-11-15,2906.000000
2016-11-16,2868.000000
2016-11-17,2869.000000
2016-11-18,2872.000000
2016-11-21,2818.000000
2016-11-22,2864.000000
2016-11-23,2850.000000
2016-11-24,2845.000000
2016-11-25,2869.000000
2016-11-28,2819.000000
2016-11-29,2788.000000
2016-11-30,2765.000000
2016-12-01,2785.000000
2016-12-02,2789.000000
2016-12-05,2791.000000
2016-12-06,2800.000000
2016-12-07,2888.000000
2016-12-08,2923.000000
2016-12-09,2936.000000
2016-12-12,2890.000000
2016-12-13,2938.000000
2016-12-14,2936.000000
2016-12-15,2977.000000
2016-12-16,2985.000000
2016-12-19,2965.000000
2016-12-20,2992.000000
2016-12-21,2966.000000
2016-12-22,2968.000000
2016-12-23,2985.000000
2016-12-28,2983.000000
2016-12-29,2981.000000
2016-12-30,2998.000000
2017-01-03,3041.000000
2017-01-04,3020.000000
2017-01-05,3021.000000
2017-01-06,3019.000000
2017-01-09,3032.000000
2017-01-10,3037.000000
2017-01-11,3035.000000
2017-01-12,3008.000000
2017-01-13,3047.000000
2017-01-16,3035.000000
2017-01-17,3033.000000
2017-01-18,3020.000000
2017-01-19,2982.000000
2017-01-20,2987.000000
2017-01-23,2981.000000
2017-01-24,2989.000000
2017-01-25,3006.000000
2017-01-26,2947.000000
2017-01-27,2923.000000
