date,value
2016-02-19,2.407580
2016-02-22,2.481680
2016-02-23,2.434700
2016-02-24,2.398000
2016-02-25,2.467660
2016-02-26,2.516570
2016-02-29,2.500300
2016-03-01,2.574710
2016-03-02,2.556480
2016-03-03,2.552980
2016-03-04,2.572710
2016-03-07,2.520000
2016-03-08,2.534460
2016-03-09,2.551010
2016-03-10,2.410000
2016-03-11,2.570140
2016-03-14,2.586770
2016-03-15,2.602180
2016-03-16,2.611210
2016-03-17,2.557730
2016-03-18,2.572910
2016-03-21,2.606950
2016-03-22,2.646510
2016-03-23,2.642420
2016-03-24,2.545000
2016-03-29,2.622520
2016-03-30,2.632280
2016-03-31,2.635000
2016-04-01,2.671090
2016-04-04,2.658500
2016-04-05,2.649410
2016-04-06,2.713930
2016-04-07,2.679240
2016-04-08,2.683160
2016-04-11,2.661480
2016-04-12,2.684730
2016-04-13,2.731970
2016-04-14,2.750940
2016-04-15,2.741760
2016-04-18,2.746800
2016-04-19,2.681930
2016-04-20,2.674550
2016-04-21,2.692750
2016-04-22,2.661880
2016-04-25,2.630920
2016-04-26,2.607530
2016-04-27,2.600000
2016-04-28,2.572320
2016-04-29,2.567800
2016-05-03,2.546870
2016-05-04,2.529460
2016-05-05,2.521170
2016-05-06,2.541530
2016-05-09,2.548100
2016-05-10,2.563010
2016-05-11,2.555500
2016-05-12,2.534280
2016-05-13,2.535050
2016-05-16,2.558000
2016-05-17,2.532640
2016-05-18,2.498630
2016-05-19,2.483870
2016-05-20,2.533060
2016-05-23,2.534950
2016-05-24,2.553470
2016-05-25,2.620000
2016-05-26,2.562820
2016-05-27,2.613000
2016-05-31,2.624000
2016-06-01,2.625000
2016-06-02,2.612630
2016-06-03,2.600820
2016-06-06,2.620170
2016-06-07,2.621970
2016-06-08,2.629510
2016-06-09,2.619980
2016-06-10,2.587870
2016-06-13,2.554670
2016-06-14,2.578320
2016-06-15,2.585690
2016-06-16,2.603490
2016-06-17,2.556660
2016-06-20,2.540890
2016-06-21,2.549070
2016-06-22,2.530170
2016-06-23,2.549520
2016-06-24,2.632990
2016-06-27,2.674190
2016-06-28,2.681750
2016-06-29,2.696540
2016-06-30,2.753800
2016-07-01,2.795390
2016-07-04,2.799420
2016-07-05,2.750000
2016-07-06,2.846920
2016-07-07,2.838560
2016-07-08,2.863780
2016-07-11,2.895530
2016-07-12,2.887970
2016-07-13,2.871910
2016-07-14,2.864570
2016-07-15,2.876910
2016-07-18,2.883780
2016-07-19,2.922100
2016-07-20,2.949360
2016-07-21,2.900000
2016-07-22,2.909000
2016-07-25,2.904000
2016-07-26,2.924000
2016-07-27,2.992750
2016-07-28,3.019610
2016-07-29,3.002300
2016-08-01,3.026630
2016-08-02,2.978780
2016-08-03,2.959380
2016-08-04,3.023230
2016-08-05,3.064820
2016-08-08,3.076280
2016-08-09,3.104830
2016-08-10,3.098010
2016-08-11,3.075000
2016-08-12,3.147610
2016-08-15,3.188460
2016-08-16,3.149920
2016-08-17,3.126540
2016-08-18,3.113410
2016-08-19,3.130150
2016-08-22,3.104310
2016-08-23,3.105110
2016-08-24,3.067690
2016-08-25,3.063210
2016-08-26,3.069000
2016-08-30,3.092070
2016-08-31,3.095000
2016-09-01,3.079000
2016-09-02,3.053310
2016-09-05,3.055050
2016-09-06,3.081250
2016-09-07,3.106360
2016-09-08,3.100000
2016-09-09,3.049510
2016-09-12,3.023000
2016-09-13,3.027000
2016-09-14,3.068030
2016-09-15,3.102510
2016-09-16,3.125400
2016-09-19,3.142810
2016-09-20,3.176940
2016-09-21,3.213340
2016-09-22,3.232210
2016-09-23,3.255880
2016-09-26,3.219280
2016-09-27,3.239540
2016-09-28,3.263900
2016-09-29,3.238040
2016-09-30,3.242600
2016-10-03,3.294470
2016-10-04,3.317940
2016-10-05,3.346560
2016-10-06,3.359390
2016-10-07,3.384590
2016-10-10,3.431790
2016-10-11,3.361250
2016-10-12,3.333000
2016-10-13,3.328460
2016-10-14,3.327030
2016-10-17,3.322640
2016-10-18,3.319360
2016-10-19,3.341850
2016-10-20,3.345540
2016-10-21,3.371000
2016-10-24,3.396390
2016-10-25,3.393730
2016-10-26,3.346410
2016-10-27,3.364630
2016-10-28,3.348500
2016-10-31,3.308800
2016-11-01,3.291390
2016-11-02,3.218600
2016-11-03,3.152550
2016-11-04,3.154000
2016-11-07,3.206260
2016-11-08,3.225590
2016-11-09,3.188850
2016-11-10,3.138230
2016-11-11,3.080470
2016-11-14,3.064680
2016-11-15,3.114920
2016-11-16,3.110410
2016-11-17,3.128870
2016-11-18,3.140660
2016-11-21,3.138430
2016-11-22,3.158170
2016-11-23,3.146260
2016-11-24,3.129470
2016-11-25,3.146610
2016-11-28,3.152970
2016-11-29,3.183000
2016-11-30,3.109300
2016-12-01,3.037240
2016-12-02,3.042000
2016-12-05,3.037270
2016-12-06,3.047240
2016-12-07,3.100590
2016-12-08,3.103400
2016-12-09,3.102850
2016-12-12,3.090000
2016-12-13,3.099400
2016-12-14,3.075690
2016-12-15,3.127430
2016-12-16,3.128510
2016-12-19,3.143240
2016-12-20,3.155490
2016-12-21,3.146470
2016-12-22,3.137410
2016-12-23,3.144150
2016-12-28,3.177910
2016-12-29,3.180770
2016-12-30,3.135400
2017-01-03,3.181070
2017-01-04,3.204090
2017-01-05,3.216510
2017-01-06,3.269690
2017-01-09,3.321820
2017-01-10,3.369930
2017-01-11,3.392430
2017-01-12,3.372610
2017-01-13,3.402190
2017-01-16,3.427720
2017-01-17,3.386000
2017-01-18,3.348030
2017-01-19,3.351620
2017-01-20,3.360010
2017-01-23,3.332570
2017-01-24,3.349450
2017-01-25,3.408000
2017-01-26,3.364670
2017-01-27,3.416000
2017-01-30,3.361310
2017-01-31,3.347100
2017-02-01,3.342580
2017-02-02,3.378590
2017-02-03,3.387230
2017-02-06,3.449000
2017-02-07,3.414450
2017-02-08,3.408900
2017-02-09,3.425170
2017-02-10,3.442200
2017-02-13,3.507000
2017-02-14,3.507000
2017-02-15,3.515000
2017-02-16,3.469340
2017-02-17,3.520000
2017-02-20,3.475360
2017-02-21,3.531000
2017-02-22,3.503960
2017-02-23,3.450280
2017-02-24,3.430680
2017-02-27,3.443330
2017-02-28,3.449100
2017-03-01,3.511390
2017-03-02,3.506550
2017-03-03,3.484000
2017-03-06,3.484000
2017-03-07,3.514020
2017-03-08,3.523650
2017-03-09,3.533570
2017-03-10,3.547640
2017-03-13,3.547150
2017-03-14,3.573750
2017-03-15,3.567030
2017-03-16,3.557300
2017-03-17,3.564880
2017-03-20,3.581380
2017-03-21,3.521430
2017-03-22,3.604000
2017-03-23,3.578000
2017-03-24,3.578000
2017-03-27,3.561000
2017-03-28,3.636000
2017-03-29,3.669000
2017-03-30,3.672000
2017-03-31,3.588800
2017-04-03,3.615250
2017-04-04,3.635610
2017-04-05,3.617570
2017-04-06,3.612660
2017-04-07,3.648400
2017-04-10,3.661680
2017-04-11,3.638270
2017-04-12,3.609860
2017-04-13,3.685000
2017-04-18,3.559650
2017-04-19,3.561250
2017-04-20,3.560730
2017-04-21,3.567120
2017-04-24,3.647910
2017-04-25,3.672820
2017-04-26,3.673000
2017-04-27,3.677480
2017-04-28,3.750000
2017-05-02,3.794000
2017-05-03,3.720840
2017-05-04,3.780000
2017-05-05,3.721400
2017-05-08,3.724830
2017-05-09,3.751800
2017-05-10,3.834000
2017-05-11,3.791970
2017-05-12,3.805330
2017-05-15,3.799620
2017-05-16,3.808400
2017-05-17,3.740960
2017-05-18,3.733310
2017-05-19,3.763530
2017-05-22,3.785900
2017-05-23,3.787010
2017-05-24,3.808850
2017-05-25,3.843130
2017-05-26,4.000000
2017-05-30,3.988000
2017-05-31,3.872400
2017-06-01,3.892030
2017-06-02,3.932250
2017-06-05,3.932630
2017-06-06,3.939630
2017-06-07,3.940620
2017-06-08,3.988240
2017-06-09,4.017540
2017-06-12,3.991870
2017-06-13,3.994270
2017-06-14,3.990400
2017-06-15,3.952180
2017-06-16,3.943170
2017-06-19,4.008820
2017-06-20,4.051190
2017-06-21,4.063590
2017-06-22,4.095070
2017-06-23,4.081230
2017-06-26,4.065650
2017-06-27,4.008260
2017-06-28,3.979570
2017-06-29,3.919140
2017-06-30,4.020000
2017-07-03,4.010000
2017-07-04,3.871600
2017-07-05,3.873880
2017-07-06,3.838210
2017-07-07,3.864680
2017-07-10,3.891550
2017-07-11,3.972000
2017-07-12,4.057000
2017-07-13,3.968880
2017-07-14,3.939270
2017-07-17,4.012000
2017-07-18,3.993910
2017-07-19,4.009010
2017-07-20,4.041350
2017-07-21,4.080000
2017-07-24,4.050530
2017-07-25,4.046640
2017-07-26,4.061420
2017-07-27,4.064210
2017-07-28,4.067900
2017-07-31,4.030300
2017-08-01,4.024170
2017-08-02,4.061840
2017-08-03,4.095530
2017-08-04,4.145210
2017-08-07,4.192260
2017-08-08,4.227940
2017-08-09,4.211040
2017-08-10,4.260000
2017-08-11,4.106130
2017-08-14,4.154670
2017-08-15,4.203540
2017-08-16,4.205230
2017-08-17,4.174210
2017-08-18,4.172810
2017-08-21,4.163610
2017-08-22,4.225670
2017-08-23,4.258440
2017-08-24,4.262180
2017-08-25,4.233410
2017-08-29,4.237000
2017-08-30,4.274000
2017-08-31,4.297100
2017-09-01,4.275220
2017-09-04,4.280680
2017-09-05,4.221080
2017-09-06,4.215640
2017-09-07,4.232470
2017-09-08,4.190190
2017-09-11,4.249850
2017-09-12,4.261350
2017-09-13,4.279050
2017-09-14,4.245660
2017-09-15,4.176860
2017-09-18,4.214420
2017-09-19,4.217000
2017-09-20,4.201970
2017-09-21,4.188130
2017-09-22,4.179540
