date,value
2016-02-19,3038.000000
2016-02-22,3082.000000
2016-02-23,3072.000000
2016-02-24,3050.000000
2016-02-25,3056.000000
2016-02-26,3108.000000
2016-02-29,3145.000000
2016-03-01,3227.000000
2016-03-02,3240.000000
2016-03-03,3322.000000
2016-03-04,3452.000000
2016-03-07,3456.000000
2016-03-08,3455.000000
2016-03-09,3448.000000
2016-03-10,3400.000000
2016-03-11,3446.000000
2016-03-14,3463.000000
2016-03-15,3439.000000
2016-03-16,3466.000000
2016-03-17,3482.000000
2016-03-18,3500.000000
2016-03-21,3491.000000
2016-03-22,3546.000000
2016-03-23,3562.000000
2016-03-24,3530.000000
2016-03-29,3553.000000
2016-03-30,3651.000000
2016-03-31,3640.000000
2016-04-01,3562.000000
2016-04-04,3591.000000
2016-04-05,3550.000000
2016-04-06,3567.000000
2016-04-07,3549.000000
2016-04-08,3575.000000
2016-04-11,3557.000000
2016-04-12,3586.000000
2016-04-13,3630.000000
2016-04-14,3602.000000
2016-04-15,3603.000000
2016-04-18,3550.000000
2016-04-19,3559.000000
2016-04-20,3557.000000
2016-04-21,3540.000000
2016-04-22,3543.000000
2016-04-25,3530.000000
2016-04-26,3515.000000
2016-04-27,3505.000000
2016-04-28,3424.000000
2016-04-29,3415.000000
2016-05-03,3389.000000
2016-05-04,3375.000000
2016-05-05,3386.000000
2016-05-06,3441.000000
2016-05-09,3443.000000
2016-05-10,3456.000000
2016-05-11,3487.000000
2016-05-12,3428.000000
2016-05-13,3431.000000
2016-05-16,3459.000000
2016-05-17,3452.000000
2016-05-18,3457.000000
2016-05-19,3399.000000
2016-05-20,3443.000000
2016-05-23,3467.000000
2016-05-24,3473.000000
2016-05-25,3478.000000
2016-05-26,3465.000000
2016-05-27,3445.000000
2016-05-31,3450.000000
2016-06-01,3457.000000
2016-06-02,3477.000000
2016-06-03,3459.000000
2016-06-06,3518.000000
2016-06-07,3507.000000
2016-06-08,3505.000000
2016-06-09,3470.000000
2016-06-10,3404.000000
2016-06-13,3355.000000
2016-06-14,3341.000000
2016-06-15,3386.000000
2016-06-16,3289.000000
2016-06-17,3383.000000
2016-06-20,3491.000000
2016-06-21,3450.000000
2016-06-22,3471.000000
2016-06-23,3535.000000
2016-06-24,3460.000000
2016-06-27,3433.000000
2016-06-28,3532.000000
2016-06-29,3645.000000
2016-06-30,3740.000000
2016-07-01,3775.000000
2016-07-04,3745.000000
2016-07-05,3690.000000
2016-07-06,3734.000000
2016-07-07,3748.000000
2016-07-08,3809.000000
2016-07-11,3884.000000
2016-07-12,3885.000000
2016-07-13,3907.000000
2016-07-14,3891.000000
2016-07-15,3880.000000
2016-07-18,3852.000000
2016-07-19,3869.000000
2016-07-20,3866.000000
2016-07-21,3864.000000
2016-07-22,3881.000000
2016-07-25,3929.000000
2016-07-26,3958.000000
2016-07-27,4012.000000
2016-07-28,3989.000000
2016-07-29,3983.000000
2016-08-01,3965.000000
2016-08-02,3949.000000
2016-08-03,3970.000000
2016-08-04,4015.000000
2016-08-05,4059.000000
2016-08-08,4102.000000
2016-08-09,4348.000000
2016-08-10,4415.000000
2016-08-11,4486.000000
2016-08-12,4444.000000
2016-08-15,4442.000000
2016-08-16,4409.000000
2016-08-17,4370.000000
2016-08-18,4389.000000
2016-08-19,4386.000000
2016-08-22,4381.000000
2016-08-23,4441.000000
2016-08-24,4412.000000
2016-08-25,4410.000000
2016-08-26,4437.000000
2016-08-30,4374.000000
2016-08-31,4334.000000
2016-09-01,4332.000000
2016-09-02,4401.000000
2016-09-05,4404.000000
2016-09-06,4404.000000
2016-09-07,4405.000000
2016-09-08,4386.000000
2016-09-09,4328.000000
2016-09-12,4301.000000
2016-09-13,4286.000000
2016-09-14,4365.000000
2016-09-15,4428.000000
2016-09-16,4417.000000
2016-09-19,4454.000000
2016-09-20,4490.000000
2016-09-21,4463.000000
2016-09-22,4501.000000
2016-09-23,4472.000000
2016-09-26,4413.000000
2016-09-27,4412.000000
2016-09-28,4447.000000
2016-09-29,4490.000000
2016-09-30,4495.000000
2016-10-03,4536.000000
2016-10-04,4669.000000
2016-10-05,4595.000000
2016-10-06,4578.000000
2016-10-07,4561.000000
2016-10-10,4585.000000
2016-10-11,4572.000000
2016-10-12,4553.000000
2016-10-13,4513.000000
2016-10-14,4562.000000
2016-10-17,4551.000000
2016-10-18,4617.000000
2016-10-19,4612.000000
2016-10-20,4539.000000
2016-10-21,4567.000000
2016-10-24,4541.000000
2016-10-25,4495.000000
2016-10-26,4453.000000
2016-10-27,4394.000000
2016-10-28,4394.000000
2016-10-31,4412.000000
2016-11-01,4374.000000
2016-11-02,4368.000000
2016-11-03,4324.000000
2016-11-04,4261.000000
2016-11-07,4316.000000
2016-11-08,4328.000000
2016-11-09,4384.000000
2016-11-10,4372.000000
2016-11-11,4205.000000
2016-11-14,4174.000000
2016-11-15,4231.000000
2016-11-16,4144.000000
2016-11-17,4190.000000
2016-11-18,4176.000000
2016-11-21,4221.000000
2016-11-22,4243.000000
2016-11-23,4318.000000
2016-11-24,4297.000000
2016-11-25,4261.000000
2016-11-28,4233.000000
2016-11-29,4199.000000
2016-11-30,4271.000000
2016-12-01,4232.000000
2016-12-02,4191.000000
2016-12-05,4262.000000
2016-12-06,4198.000000
2016-12-07,4278.000000
2016-12-08,4241.000000
2016-12-09,4303.000000
2016-12-12,4229.000000
2016-12-13,4200.000000
2016-12-14,4211.000000
2016-12-15,4219.000000
2016-12-16,4203.000000
2016-12-19,4201.000000
2016-12-20,4125.000000
2016-12-21,4142.000000
2016-12-22,4165.000000
2016-12-23,4144.000000
2016-12-28,4250.000000
2016-12-29,4185.000000
2016-12-30,4184.000000
2017-01-03,4208.000000
2017-01-04,4205.000000
2017-01-05,4207.000000
2017-01-06,4244.000000
2017-01-09,4247.000000
2017-01-10,4282.000000
2017-01-11,4371.000000
2017-01-12,4351.000000
2017-01-13,4359.000000
2017-01-16,4326.000000
2017-01-17,4252.000000
2017-01-18,4259.000000
2017-01-19,4338.000000
2017-01-20,4324.000000
2017-01-23,4311.000000
2017-01-24,4288.000000
2017-01-25,4353.000000
2017-01-26,4342.000000
2017-01-27,4369.000000
2017-01-30,4338.000000
2017-01-31,4305.000000
2017-02-01,4338.000000
2017-02-02,4363.000000
2017-02-03,4424.000000
2017-02-06,4448.000000
2017-02-07,4512.000000
2017-02-08,4456.000000
2017-02-09,4405.000000
2017-02-10,4418.000000
2017-02-13,4445.000000
2017-02-14,4427.000000
2017-02-15,4469.000000
2017-02-16,4448.000000
2017-02-17,4418.000000
2017-02-20,4440.000000
2017-02-21,4451.000000
2017-02-22,4398.000000
2017-02-23,4388.000000
2017-02-24,4371.000000
2017-02-27,4428.000000
2017-02-28,4449.000000
2017-03-01,4554.000000
2017-03-02,4584.000000
2017-03-03,4563.000000
2017-03-06,4568.000000
2017-03-07,4585.000000
2017-03-08,4621.000000
2017-03-09,4605.000000
2017-03-10,4667.000000
2017-03-13,4684.000000
2017-03-14,4704.000000
2017-03-15,4787.000000
2017-03-16,4782.000000
2017-03-17,4807.000000
2017-03-20,4822.000000
2017-03-21,4752.000000
2017-03-22,4703.000000
2017-03-23,4792.000000
2017-03-24,4782.000000
2017-03-27,4749.000000
2017-03-28,4765.000000
2017-03-29,4778.000000
2017-03-30,4802.000000
2017-03-31,4769.000000
2017-04-03,4893.000000
2017-04-04,4922.000000
2017-04-05,4938.000000
2017-04-06,4971.000000
2017-04-07,5010.000000
2017-04-10,5010.000000
2017-04-11,5030.000000
2017-04-12,5110.000000
2017-04-13,5140.000000
2017-04-18,5075.000000
2017-04-19,5120.000000
2017-04-20,5130.000000
2017-04-21,5160.000000
2017-04-24,5215.000000
2017-04-25,5205.000000
2017-04-26,5285.000000
2017-04-27,5250.000000
2017-04-28,5200.000000
2017-05-02,5325.000000
2017-05-03,5275.000000
2017-05-04,5245.000000
2017-05-05,5240.000000
2017-05-08,5185.000000
2017-05-09,5150.000000
2017-05-10,5170.000000
2017-05-11,5185.000000
2017-05-12,5180.000000
2017-05-15,5170.000000
2017-05-16,5225.000000
2017-05-17,5150.000000
2017-05-18,5155.000000
2017-05-19,5225.000000
2017-05-22,5230.000000
2017-05-23,5255.000000
2017-05-24,5260.000000
2017-05-25,5310.000000
2017-05-26,5760.000000
2017-05-30,5660.000000
2017-05-31,5675.000000
2017-06-01,5625.000000
2017-06-02,5625.000000
2017-06-05,5570.000000
2017-06-06,5500.000000
2017-06-07,5445.000000
2017-06-08,5430.000000
2017-06-09,5460.000000
2017-06-12,5395.000000
2017-06-13,5425.000000
2017-06-14,5385.000000
2017-06-15,5290.000000
2017-06-16,5480.000000
2017-06-19,5530.000000
2017-06-20,5465.000000
2017-06-21,5465.000000
2017-06-22,5460.000000
2017-06-23,5485.000000
2017-06-26,5476.080078
2017-06-27,5452.419922
2017-06-28,5440.000000
2017-06-29,5315.000000
2017-06-30,5350.000000
2017-07-03,5390.000000
2017-07-04,5315.000000
2017-07-05,5395.000000
2017-07-06,5360.000000
2017-07-07,5380.000000
2017-07-10,5465.000000
2017-07-11,5485.000000
2017-07-12,5540.000000
2017-07-13,5560.000000
2017-07-14,5570.000000
2017-07-17,5580.000000
2017-07-18,5605.000000
2017-07-19,5620.000000
2017-07-20,5620.000000
2017-07-21,5645.000000
2017-07-24,5520.000000
2017-07-25,5540.000000
2017-07-26,5600.000000
2017-07-27,5600.000000
2017-07-28,5555.000000
2017-07-31,5560.000000
2017-08-01,5555.000000
2017-08-02,5510.000000
2017-08-03,5475.000000
2017-08-04,5570.000000
2017-08-07,5635.000000
2017-08-08,5575.000000
2017-08-09,5835.000000
2017-08-10,5750.000000
2017-08-11,5695.000000
2017-08-14,5630.000000
2017-08-15,5635.000000
2017-08-16,5660.000000
2017-08-17,5665.000000
2017-08-18,5610.000000
2017-08-21,5610.000000
2017-08-22,5655.000000
2017-08-23,5645.000000
2017-08-24,5690.000000
2017-08-25,5670.000000
2017-08-29,5590.000000
2017-08-30,5605.000000
2017-08-31,5620.000000
2017-09-01,5620.000000
2017-09-04,5580.000000
2017-09-05,5620.000000
2017-09-06,5615.000000
2017-09-07,5655.000000
2017-09-08,5730.000000
2017-09-11,5710.000000
2017-09-12,5730.000000
2017-09-13,5745.000000
2017-09-14,5740.000000
2017-09-15,5540.000000
2017-09-18,5580.000000
2017-09-19,5620.000000
2017-09-20,5550.000000
2017-09-21,5450.000000
2017-09-22,5510.000000
2017-09-25,5450.000000
2017-09-26,5440.000000
2017-09-27,5460.000000
2017-09-28,5505.000000
2017-09-29,5525.000000
