date,value
2016-02-19,183.300003
2016-02-22,184.649994
2016-02-23,179.550003
2016-02-24,176.699997
2016-02-25,180.550003
2016-02-26,184.149994
2016-02-29,180.399994
2016-03-01,183.949997
2016-03-02,181.649994
2016-03-03,186.149994
2016-03-04,190.750000
2016-03-07,191.800003
2016-03-08,195.149994
2016-03-09,195.199997
2016-03-10,188.600006
2016-03-11,192.199997
2016-03-14,193.149994
2016-03-15,190.250000
2016-03-16,190.649994
2016-03-17,192.949997
2016-03-18,194.850006
2016-03-21,197.449997
2016-03-22,201.649994
2016-03-23,197.550003
2016-03-24,189.800003
2016-03-29,189.399994
2016-03-30,193.750000
2016-03-31,191.800003
2016-04-01,190.000000
2016-04-04,190.899994
2016-04-05,187.649994
2016-04-06,191.449997
2016-04-07,191.300003
2016-04-08,190.550003
2016-04-11,193.500000
2016-04-12,196.300003
2016-04-13,181.000000
2016-04-14,177.649994
2016-04-15,179.550003
2016-04-18,180.949997
2016-04-19,181.800003
2016-04-20,182.000000
2016-04-21,185.000000
2016-04-22,186.600006
2016-04-25,184.750000
2016-04-26,183.449997
2016-04-27,174.800003
2016-04-28,173.300003
2016-04-29,172.100006
2016-05-03,169.250000
2016-05-04,160.050003
2016-05-05,159.899994
2016-05-06,159.250000
2016-05-09,156.800003
2016-05-10,159.899994
2016-05-11,159.350006
2016-05-12,155.600006
2016-05-13,161.649994
2016-05-16,166.699997
2016-05-17,164.500000
2016-05-18,163.000000
2016-05-19,159.899994
2016-05-20,164.300003
2016-05-23,160.100006
2016-05-24,171.000000
2016-05-25,167.000000
2016-05-26,168.600006
2016-05-27,167.250000
2016-05-31,165.100006
2016-06-01,166.949997
2016-06-02,169.500000
2016-06-03,162.000000
2016-06-06,159.199997
2016-06-07,156.800003
2016-06-08,160.550003
2016-06-09,157.899994
2016-06-10,151.550003
2016-06-13,149.550003
2016-06-14,147.350006
2016-06-15,151.199997
2016-06-16,152.649994
2016-06-17,154.350006
2016-06-20,161.449997
2016-06-21,164.149994
2016-06-22,166.449997
2016-06-23,167.800003
2016-06-24,162.300003
2016-06-27,153.649994
2016-06-28,160.449997
2016-06-29,170.699997
2016-06-30,174.899994
2016-07-01,177.199997
2016-07-04,178.449997
2016-07-05,175.750000
2016-07-06,161.600006
2016-07-07,160.199997
2016-07-08,163.199997
2016-07-11,165.300003
2016-07-12,169.699997
2016-07-13,169.399994
2016-07-14,168.449997
2016-07-15,165.899994
2016-07-18,166.000000
2016-07-19,163.750000
2016-07-20,161.149994
2016-07-21,158.800003
2016-07-22,159.800003
2016-07-25,162.100006
2016-07-26,155.500000
2016-07-27,157.000000
2016-07-28,156.199997
2016-07-29,156.000000
2016-08-01,154.899994
2016-08-02,154.699997
2016-08-03,154.000000
2016-08-04,155.550003
2016-08-05,154.800003
2016-08-08,154.600006
2016-08-09,158.100006
2016-08-10,158.899994
2016-08-11,156.550003
2016-08-12,160.500000
2016-08-15,157.800003
2016-08-16,157.699997
2016-08-17,156.250000
2016-08-18,159.500000
2016-08-19,159.199997
2016-08-22,159.500000
2016-08-23,166.300003
2016-08-24,164.149994
2016-08-25,164.050003
2016-08-26,163.500000
2016-08-30,163.300003
2016-08-31,166.350006
2016-09-01,167.899994
2016-09-02,171.649994
2016-09-05,169.500000
2016-09-06,170.000000
2016-09-07,171.250000
2016-09-08,171.100006
2016-09-09,166.050003
2016-09-12,163.300003
2016-09-13,160.649994
2016-09-14,161.699997
2016-09-15,169.649994
2016-09-16,169.300003
2016-09-19,176.399994
2016-09-20,177.899994
2016-09-21,177.649994
2016-09-22,180.949997
2016-09-23,181.550003
2016-09-26,176.449997
2016-09-27,177.750000
2016-09-28,177.649994
2016-09-29,179.949997
2016-09-30,182.949997
2016-10-03,185.300003
2016-10-04,188.699997
2016-10-05,207.100006
2016-10-06,201.899994
2016-10-07,201.199997
2016-10-10,203.100006
2016-10-11,202.100006
2016-10-12,201.199997
2016-10-13,195.100006
2016-10-14,203.699997
2016-10-17,201.300003
2016-10-18,208.300003
2016-10-19,214.850006
2016-10-20,210.600006
2016-10-21,210.800003
2016-10-24,210.649994
2016-10-25,210.149994
2016-10-26,213.550003
2016-10-27,214.250000
2016-10-28,215.750000
2016-10-31,210.750000
2016-11-01,213.199997
2016-11-02,209.250000
2016-11-03,210.000000
2016-11-04,202.500000
2016-11-07,200.199997
2016-11-08,201.199997
2016-11-09,199.649994
2016-11-10,199.500000
2016-11-11,198.449997
2016-11-14,205.850006
2016-11-15,217.000000
2016-11-16,213.149994
2016-11-17,214.000000
2016-11-18,212.500000
2016-11-21,213.300003
2016-11-22,218.699997
2016-11-23,213.399994
2016-11-24,211.500000
2016-11-25,212.199997
2016-11-28,209.600006
2016-11-29,208.850006
2016-11-30,208.699997
2016-12-01,205.550003
2016-12-02,206.750000
2016-12-05,212.399994
2016-12-06,210.550003
2016-12-07,213.300003
2016-12-08,216.949997
2016-12-09,218.100006
2016-12-12,212.850006
2016-12-13,204.850006
2016-12-14,205.750000
2016-12-15,204.899994
2016-12-16,200.399994
2016-12-19,202.300003
2016-12-20,204.649994
2016-12-21,204.250000
2016-12-22,203.699997
2016-12-23,205.850006
2016-12-28,204.399994
2016-12-29,206.399994
2016-12-30,206.850006
2017-01-03,206.149994
2017-01-04,205.500000
2017-01-05,199.050003
2017-01-06,199.500000
2017-01-09,200.949997
2017-01-10,213.000000
2017-01-11,208.800003
2017-01-12,206.050003
2017-01-13,206.000000
2017-01-16,203.300003
2017-01-17,202.000000
2017-01-18,201.649994
2017-01-19,202.600006
2017-01-20,198.300003
2017-01-23,195.000000
2017-01-24,192.149994
2017-01-25,188.449997
2017-01-26,189.000000
2017-01-27,206.550003
2017-01-30,197.800003
2017-01-31,194.600006
2017-02-01,195.250000
2017-02-02,196.850006
2017-02-03,197.300003
2017-02-06,193.050003
2017-02-07,193.649994
2017-02-08,197.600006
2017-02-09,197.899994
2017-02-10,198.000000
2017-02-13,196.750000
2017-02-14,197.000000
2017-02-15,196.850006
2017-02-16,196.800003
2017-02-17,195.750000
2017-02-20,194.600006
2017-02-21,191.350006
2017-02-22,193.399994
2017-02-23,191.550003
2017-02-24,190.000000
2017-02-27,189.100006
2017-02-28,188.399994
2017-03-01,190.149994
2017-03-02,188.800003
2017-03-03,188.100006
2017-03-06,190.300003
2017-03-07,188.949997
2017-03-08,188.500000
2017-03-09,186.399994
2017-03-10,188.800003
2017-03-13,191.000000
2017-03-14,188.250000
2017-03-15,189.399994
2017-03-16,186.899994
2017-03-17,187.350006
2017-03-20,189.000000
2017-03-21,188.899994
2017-03-22,185.850006
2017-03-23,189.600006
2017-03-24,191.000000
2017-03-27,189.949997
2017-03-28,191.199997
2017-03-29,190.250000
2017-03-30,189.000000
2017-03-31,185.600006
2017-04-03,184.699997
2017-04-04,184.699997
2017-04-05,184.250000
2017-04-06,185.199997
2017-04-07,189.699997
2017-04-10,194.199997
2017-04-11,195.600006
2017-04-12,184.399994
2017-04-13,181.500000
2017-04-18,176.199997
2017-04-19,175.600006
2017-04-20,174.199997
2017-04-21,173.800003
2017-04-24,176.949997
2017-04-25,177.699997
2017-04-26,180.500000
2017-04-27,182.500000
2017-04-28,183.250000
2017-05-02,183.000000
2017-05-03,176.750000
2017-05-04,176.649994
2017-05-05,179.449997
2017-05-08,179.500000
2017-05-09,181.050003
2017-05-10,183.350006
2017-05-11,180.350006
2017-05-12,178.850006
2017-05-15,178.149994
2017-05-16,178.449997
2017-05-17,182.300003
2017-05-18,184.000000
2017-05-19,182.500000
2017-05-22,184.649994
2017-05-23,182.600006
2017-05-24,183.949997
2017-05-25,186.750000
2017-05-26,186.800003
2017-05-30,185.350006
2017-05-31,183.699997
2017-06-01,183.649994
2017-06-02,182.550003
2017-06-05,182.199997
2017-06-06,181.649994
2017-06-07,178.399994
2017-06-08,179.949997
2017-06-09,180.750000
2017-06-12,183.449997
2017-06-13,185.300003
2017-06-14,185.899994
2017-06-15,179.949997
2017-06-16,171.100006
2017-06-19,171.050003
2017-06-20,168.100006
2017-06-21,167.899994
2017-06-22,166.500000
2017-06-23,166.550003
2017-06-26,166.494995
2017-06-27,168.830002
2017-06-28,171.750000
2017-06-29,172.000000
2017-06-30,168.800003
2017-07-03,167.350006
2017-07-04,167.100006
2017-07-05,173.449997
2017-07-06,171.600006
2017-07-07,170.500000
2017-07-10,171.050003
2017-07-11,171.050003
2017-07-12,170.699997
2017-07-13,172.699997
2017-07-14,173.500000
2017-07-17,174.449997
2017-07-18,174.250000
2017-07-19,174.600006
2017-07-20,175.399994
2017-07-21,175.199997
2017-07-24,172.750000
2017-07-25,174.000000
2017-07-26,173.800003
2017-07-27,175.699997
2017-07-28,173.300003
2017-07-31,174.199997
2017-08-01,175.949997
2017-08-02,178.199997
2017-08-03,180.000000
2017-08-04,180.149994
2017-08-07,179.449997
2017-08-08,179.449997
2017-08-09,180.149994
2017-08-10,177.000000
2017-08-11,177.199997
2017-08-14,176.250000
2017-08-15,177.199997
2017-08-16,180.100006
2017-08-17,178.850006
2017-08-18,176.550003
2017-08-21,176.949997
2017-08-22,184.199997
2017-08-23,187.100006
2017-08-24,187.449997
2017-08-25,184.199997
2017-08-29,180.850006
2017-08-30,182.399994
2017-08-31,180.899994
2017-09-01,183.100006
2017-09-04,185.350006
2017-09-05,184.699997
2017-09-06,186.000000
2017-09-07,186.449997
2017-09-08,187.750000
2017-09-11,186.149994
2017-09-12,185.050003
2017-09-13,181.649994
2017-09-14,183.250000
2017-09-15,181.500000
2017-09-18,183.850006
2017-09-19,185.750000
2017-09-20,186.500000
2017-09-21,183.399994
2017-09-22,183.850006
2017-09-25,182.949997
2017-09-26,184.699997
2017-09-27,187.199997
2017-09-28,185.050003
2017-09-29,187.149994
2017-10-02,186.649994
2017-10-03,190.050003
2017-10-04,183.949997
2017-10-05,186.600006
2017-10-06,188.399994
2017-10-09,186.350006
2017-10-10,187.350006
2017-10-11,187.199997
2017-10-12,185.600006
2017-10-13,186.000000
2017-10-16,186.149994
2017-10-17,186.050003
2017-10-18,187.149994
2017-10-19,187.350006
2017-10-20,188.899994
2017-10-23,187.500000
2017-10-24,186.800003
2017-10-25,185.550003
2017-10-26,186.149994
2017-10-27,185.500000
2017-10-30,181.899994
2017-10-31,181.399994
2017-11-01,178.449997
2017-11-02,179.600006
2017-11-03,179.100006
2017-11-06,176.550003
2017-11-07,176.000000
2017-11-08,176.850006
2017-11-09,176.800003
2017-11-10,176.600006
2017-11-13,177.000000
2017-11-14,188.050003
2017-11-15,183.649994
2017-11-16,184.350006
2017-11-17,184.699997
2017-11-20,187.000000
2017-11-21,189.000000
2017-11-22,194.399994
2017-11-23,194.050003
2017-11-24,192.600006
2017-11-27,192.850006
2017-11-28,195.199997
2017-11-29,198.000000
2017-11-30,194.050003
2017-12-01,195.500000
2017-12-04,195.149994
2017-12-05,201.000000
2017-12-06,203.399994
2017-12-07,203.649994
2017-12-08,204.550003
2017-12-11,205.500000
2017-12-12,205.649994
2017-12-13,209.462006
2017-12-14,206.949997
2017-12-15,207.300003
2017-12-18,206.050003
2017-12-19,206.000000
2017-12-20,206.149994
2017-12-21,207.500000
2017-12-22,206.750000
2017-12-27,209.100006
2017-12-28,208.399994
2017-12-29,209.250000
2018-01-02,208.500000
2018-01-03,209.600006
2018-01-04,211.199997
2018-01-05,209.699997
2018-01-08,214.300003
2018-01-09,214.399994
2018-01-10,211.899994
2018-01-11,202.300003
2018-01-12,204.899994
2018-01-15,207.899994
2018-01-16,211.800003
2018-01-17,212.000000
2018-01-18,209.699997
2018-01-19,207.800003
2018-01-22,207.000000
2018-01-23,209.600006
2018-01-24,208.899994
2018-01-25,209.699997
2018-01-26,211.500000
2018-01-29,210.800003
2018-01-30,209.399994
2018-01-31,209.000000
2018-02-01,206.300003
2018-02-02,202.199997
2018-02-05,198.750000
2018-02-06,199.899994
2018-02-07,202.500000
2018-02-08,202.399994
2018-02-09,199.300003
2018-02-12,201.600006
2018-02-13,203.100006
2018-02-14,202.199997
2018-02-15,203.699997
2018-02-16,204.600006
2018-02-19,206.000000
2018-02-20,206.500000
2018-02-21,207.300003
2018-02-22,206.300003
2018-02-23,205.399994
2018-02-26,206.000000
2018-02-27,207.100006
2018-02-28,210.800003
2018-03-01,208.600006
2018-03-02,202.000000
2018-03-05,204.000000
2018-03-06,211.000000
2018-03-07,211.300003
2018-03-08,209.899994
2018-03-09,212.699997
2018-03-12,211.800003
2018-03-13,211.000000
2018-03-14,210.300003
2018-03-15,214.000000
2018-03-16,209.800003
2018-03-19,206.600006
2018-03-20,206.899994
2018-03-21,205.800003
2018-03-22,202.600006
2018-03-23,202.899994
2018-03-26,202.699997
2018-03-27,205.500000
2018-03-28,205.600006
2018-03-29,205.899994
2018-04-03,203.500000
2018-04-04,200.800003
2018-04-05,202.899994
2018-04-06,204.699997
2018-04-09,205.600006
2018-04-10,210.300003
2018-04-11,225.399994
2018-04-12,233.199997
2018-04-13,233.600006
2018-04-16,233.699997
2018-04-17,235.899994
2018-04-18,239.300003
2018-04-19,239.699997
2018-04-20,239.399994
2018-04-23,239.800003
2018-04-24,238.399994
2018-04-25,239.399994
2018-04-26,237.500000
2018-04-27,238.100006
2018-04-30,235.899994
2018-05-01,235.000000
2018-05-02,236.600006
2018-05-03,239.100006
2018-05-04,239.100006
2018-05-08,239.899994
2018-05-09,241.800003
2018-05-10,244.199997
2018-05-11,246.600006
2018-05-14,245.800003
2018-05-15,246.899994
2018-05-16,246.600006
2018-05-17,247.600006
2018-05-18,245.800003
2018-05-21,250.399994
2018-05-22,247.500000
2018-05-23,246.300003
2018-05-24,245.600006
2018-05-25,245.800003
2018-05-29,245.500000
2018-05-30,244.600006
2018-05-31,245.699997
2018-06-01,245.899994
2018-06-04,247.199997
2018-06-05,247.199997
2018-06-06,246.899994
2018-06-07,247.899994
2018-06-08,247.899994
2018-06-11,249.100006
2018-06-12,249.500000
2018-06-13,248.800003
2018-06-14,249.800003
2018-06-15,254.800003
2018-06-18,256.299988
2018-06-19,256.000000
2018-06-20,259.399994
2018-06-21,256.000000
2018-06-22,261.700012
2018-06-25,261.100006
2018-06-26,257.200012
2018-06-27,256.799988
2018-06-28,257.100006
2018-06-29,256.700012
2018-07-02,256.100006
2018-07-03,258.600006
2018-07-04,257.200012
2018-07-05,259.500000
2018-07-06,260.100006
2018-07-09,259.899994
2018-07-10,254.699997
2018-07-11,254.600006
2018-07-12,255.399994
2018-07-13,255.399994
2018-07-16,254.800003
2018-07-17,256.500000
2018-07-18,256.399994
2018-07-19,257.799988
2018-07-20,258.799988
2018-07-23,257.899994
2018-07-24,256.000000
2018-07-25,257.500000
2018-07-26,257.500000
2018-07-27,257.600006
2018-07-30,255.899994
2018-07-31,260.299988
2018-08-01,257.799988
2018-08-02,257.600006
2018-08-03,259.500000
2018-08-06,259.399994
2018-08-07,260.000000
2018-08-08,262.100006
2018-08-09,265.000000
2018-08-10,266.200012
2018-08-13,262.799988
2018-08-14,260.000000
2018-08-15,254.500000
