date,value
2016-02-19,212.949997
2016-02-22,215.649994
2016-02-23,213.899994
2016-02-24,210.850006
2016-02-25,218.000000
2016-02-26,218.850006
2016-02-29,219.699997
2016-03-01,222.600006
2016-03-02,221.699997
2016-03-03,221.250000
2016-03-04,221.250000
2016-03-07,218.300003
2016-03-08,217.649994
2016-03-09,215.399994
2016-03-10,212.649994
2016-03-11,217.350006
2016-03-14,219.600006
2016-03-15,219.899994
2016-03-16,220.250000
2016-03-17,219.699997
2016-03-18,217.350006
2016-03-21,216.949997
2016-03-22,218.149994
2016-03-23,220.750000
2016-03-24,218.350006
2016-03-29,217.850006
2016-03-30,222.500000
2016-03-31,221.199997
2016-04-01,220.199997
2016-04-04,219.699997
2016-04-05,216.149994
2016-04-06,219.750000
2016-04-07,222.750000
2016-04-08,227.500000
2016-04-11,225.350006
2016-04-12,226.500000
2016-04-13,226.800003
2016-04-14,226.800003
2016-04-15,229.750000
2016-04-18,228.350006
2016-04-19,232.350006
2016-04-20,232.600006
2016-04-21,231.350006
2016-04-22,228.050003
2016-04-25,227.350006
2016-04-26,226.699997
2016-04-27,224.850006
2016-04-28,223.899994
2016-04-29,219.199997
2016-05-03,220.550003
2016-05-04,217.949997
2016-05-05,219.350006
2016-05-06,218.750000
2016-05-09,218.899994
2016-05-10,221.949997
2016-05-11,222.300003
2016-05-12,222.750000
2016-05-13,224.500000
2016-05-16,223.649994
2016-05-17,227.000000
2016-05-18,229.649994
2016-05-19,225.399994
2016-05-20,229.100006
2016-05-23,225.850006
2016-05-24,226.699997
2016-05-25,228.949997
2016-05-26,232.050003
2016-05-27,232.600006
2016-05-31,230.850006
2016-06-01,229.500000
2016-06-02,228.800003
2016-06-03,228.399994
2016-06-06,231.699997
2016-06-07,231.149994
2016-06-08,231.000000
2016-06-09,219.649994
2016-06-10,214.850006
2016-06-13,211.100006
2016-06-14,209.550003
2016-06-15,211.199997
2016-06-16,209.750000
2016-06-17,211.199997
2016-06-20,216.149994
2016-06-21,214.550003
2016-06-22,216.449997
2016-06-23,217.899994
2016-06-24,219.300003
2016-06-27,209.300003
2016-06-28,218.100006
2016-06-29,222.600006
2016-06-30,227.649994
2016-07-01,229.199997
2016-07-04,225.899994
2016-07-05,228.550003
2016-07-06,224.600006
2016-07-07,226.250000
2016-07-08,228.000000
2016-07-11,230.000000
2016-07-12,227.750000
2016-07-13,229.100006
2016-07-14,226.600006
2016-07-15,227.899994
2016-07-18,225.699997
2016-07-19,224.699997
2016-07-20,225.649994
2016-07-21,225.100006
2016-07-22,235.550003
2016-07-25,234.899994
2016-07-26,232.550003
2016-07-27,232.850006
2016-07-28,229.750000
2016-07-29,229.550003
2016-08-01,229.949997
2016-08-02,226.949997
2016-08-03,230.250000
2016-08-04,232.149994
2016-08-05,233.750000
2016-08-08,233.199997
2016-08-09,234.199997
2016-08-10,233.100006
2016-08-11,237.399994
2016-08-12,238.850006
2016-08-15,239.699997
2016-08-16,236.449997
2016-08-17,235.350006
2016-08-18,236.000000
2016-08-19,235.050003
2016-08-22,233.649994
2016-08-23,235.050003
2016-08-24,233.300003
2016-08-25,232.149994
2016-08-26,233.050003
2016-08-30,230.550003
2016-08-31,229.850006
2016-09-01,223.350006
2016-09-02,228.550003
2016-09-05,227.100006
2016-09-06,224.449997
2016-09-07,223.500000
2016-09-08,222.899994
2016-09-09,221.300003
2016-09-12,222.399994
2016-09-13,220.250000
2016-09-14,219.500000
2016-09-15,219.649994
2016-09-16,218.550003
2016-09-19,221.350006
2016-09-20,222.699997
2016-09-21,224.000000
2016-09-22,223.500000
2016-09-23,220.699997
2016-09-26,220.199997
2016-09-27,221.050003
2016-09-28,223.100006
2016-09-29,222.500000
2016-09-30,221.750000
2016-10-03,224.899994
2016-10-04,227.800003
2016-10-05,225.050003
2016-10-06,222.500000
2016-10-07,223.550003
2016-10-10,225.750000
2016-10-11,226.000000
2016-10-12,223.649994
2016-10-13,223.899994
2016-10-14,225.050003
2016-10-17,224.449997
2016-10-18,226.149994
2016-10-19,223.949997
2016-10-20,223.500000
2016-10-21,223.550003
2016-10-24,223.399994
2016-10-25,226.000000
2016-10-26,226.250000
2016-10-27,226.100006
2016-10-28,227.449997
2016-10-31,224.800003
2016-11-01,221.699997
2016-11-02,218.500000
2016-11-03,217.500000
2016-11-04,213.649994
2016-11-07,215.899994
2016-11-08,216.250000
2016-11-09,216.600006
2016-11-10,207.899994
2016-11-11,204.600006
2016-11-14,204.600006
2016-11-15,202.399994
2016-11-16,203.000000
2016-11-17,205.350006
2016-11-18,204.899994
2016-11-21,202.149994
2016-11-22,203.050003
2016-11-23,200.600006
2016-11-24,199.399994
2016-11-25,198.949997
2016-11-28,195.250000
2016-11-29,194.250000
2016-11-30,193.899994
2016-12-01,191.000000
2016-12-02,191.399994
2016-12-05,190.500000
2016-12-06,191.750000
2016-12-07,195.149994
2016-12-08,198.350006
2016-12-09,198.399994
2016-12-12,198.000000
2016-12-13,200.750000
2016-12-14,198.899994
2016-12-15,198.350006
2016-12-16,200.449997
2016-12-19,202.350006
2016-12-20,200.949997
2016-12-21,199.600006
2016-12-22,199.750000
2016-12-23,200.550003
2016-12-28,199.399994
2016-12-29,200.399994
2016-12-30,199.850006
2017-01-03,202.399994
2017-01-04,205.699997
2017-01-05,209.449997
2017-01-06,211.350006
2017-01-09,207.949997
2017-01-10,210.250000
2017-01-11,213.100006
2017-01-12,214.350006
2017-01-13,214.699997
2017-01-16,210.500000
2017-01-17,207.649994
2017-01-18,207.600006
2017-01-19,206.100006
2017-01-20,206.050003
2017-01-23,203.199997
2017-01-24,199.350006
2017-01-25,192.899994
2017-01-26,192.500000
2017-01-27,193.350006
2017-01-30,195.949997
2017-01-31,194.350006
2017-02-01,193.000000
2017-02-02,193.199997
2017-02-03,194.100006
2017-02-06,192.850006
2017-02-07,192.449997
2017-02-08,195.899994
2017-02-09,199.100006
2017-02-10,197.699997
2017-02-13,196.199997
2017-02-14,196.050003
2017-02-15,197.250000
2017-02-16,198.300003
2017-02-17,198.000000
2017-02-20,198.500000
2017-02-21,200.649994
2017-02-22,201.750000
2017-02-23,202.250000
2017-02-24,202.850006
2017-02-27,201.500000
2017-02-28,201.899994
2017-03-01,202.550003
2017-03-02,202.500000
2017-03-03,202.199997
2017-03-06,202.000000
2017-03-07,202.399994
2017-03-08,203.550003
2017-03-09,203.399994
2017-03-10,203.850006
2017-03-13,203.350006
2017-03-14,204.500000
2017-03-15,205.199997
2017-03-16,209.500000
2017-03-17,211.399994
2017-03-20,210.500000
2017-03-21,209.600006
2017-03-22,207.649994
