Name,FTSE 100 - PRICE INDEX,TR UK GVT BMK BID YLD 10Y (£) - RED. YIELD
Code,FTSE100,TRUK10T
01/01/2018,7687.77,1.188
02/01/2018,7648.1,1.288
03/01/2018,7671.11,1.215
04/01/2018,7695.88,1.235
05/01/2018,7724.22,1.246
08/01/2018,7696.51,1.237
09/01/2018,7731.02,1.283
10/01/2018,7748.51,1.288
11/01/2018,7762.94,1.309
12/01/2018,7778.64,1.337
15/01/2018,7769.14,1.324
16/01/2018,7755.93,1.304
17/01/2018,7725.43,1.31
18/01/2018,7700.96,1.333
19/01/2018,7730.79,1.339
22/01/2018,7715.44,1.359
23/01/2018,7731.83,1.355
24/01/2018,7643.43,1.408
25/01/2018,7615.84,1.414
26/01/2018,7665.54,1.445
29/01/2018,7671.53,1.454
30/01/2018,7587.98,1.462
31/01/2018,7533.55,1.514
01/02/2018,7490.39,1.535
02/02/2018,7443.43,1.579
05/02/2018,7334.98,1.559
06/02/2018,7141.4,1.522
07/02/2018,7279.42,1.551
08/02/2018,7170.69,1.617
09/02/2018,7092.43,1.573
12/02/2018,7177.06,1.602
13/02/2018,7168.01,1.618
14/02/2018,7213.97,1.642
15/02/2018,7234.81,1.649
16/02/2018,7294.7,1.582
19/02/2018,7247.66,1.604
20/02/2018,7246.77,1.587
21/02/2018,7281.57,1.556
22/02/2018,7252.39,1.548
23/02/2018,7244.41,1.521
26/02/2018,7289.58,1.512
27/02/2018,7282.45,1.562
28/02/2018,7231.91,1.502
01/03/2018,7175.64,1.468
02/03/2018,7069.9,1.475
05/03/2018,7115.98,1.498
06/03/2018,7146.75,1.521
07/03/2018,7157.84,1.494
08/03/2018,7203.24,1.474
09/03/2018,7224.51,1.494
12/03/2018,7214.76,1.496
13/03/2018,7138.78,1.488
14/03/2018,7132.69,1.44
15/03/2018,7139.76,1.44
16/03/2018,7164.14,1.431
19/03/2018,7042.93,1.445
20/03/2018,7061.27,1.484
21/03/2018,7038.97,1.53
22/03/2018,6952.59,1.439
23/03/2018,6921.94,1.446
26/03/2018,6888.69,1.44
27/03/2018,7000.14,1.42
28/03/2018,7044.74,1.367
29/03/2018,7056.61,1.351
30/03/2018,7056.61,1.351
02/04/2018,7056.61,1.351
03/04/2018,7030.46,1.359
04/04/2018,7034.01,1.368
05/04/2018,7199.5,1.418
06/04/2018,7183.64,1.395
09/04/2018,7194.75,1.406
10/04/2018,7266.75,1.407
11/04/2018,7257.14,1.388
12/04/2018,7258.34,1.456
13/04/2018,7264.56,1.437
16/04/2018,7198.2,1.464
17/04/2018,7226.05,1.437
18/04/2018,7317.34,1.416
19/04/2018,7328.92,1.52
20/04/2018,7368.17,1.48
23/04/2018,7398.87,1.538
24/04/2018,7425.4,1.541
25/04/2018,7379.32,1.54
26/04/2018,7421.43,1.506
27/04/2018,7502.21,1.446
30/04/2018,7509.3,1.419
01/05/2018,7520.36,1.407
02/05/2018,7543.2,1.458
03/05/2018,7502.69,1.391
04/05/2018,7567.14,1.399
07/05/2018,7567.14,1.399
08/05/2018,7565.75,1.445
09/05/2018,7662.52,1.459
10/05/2018,7700.97,1.43
11/05/2018,7724.55,1.439
14/05/2018,7710.98,1.472
15/05/2018,7722.98,1.517
16/05/2018,7734.2,1.503
17/05/2018,7787.97,1.562
18/05/2018,7778.79,1.5
21/05/2018,7859.17,1.475
22/05/2018,7877.45,1.523
23/05/2018,7788.44,1.439
24/05/2018,7716.74,1.401
25/05/2018,7730.28,1.324
28/05/2018,7730.28,1.324
29/05/2018,7632.64,1.194
30/05/2018,7689.57,1.257
31/05/2018,7678.2,1.23
01/06/2018,7701.77,1.282
04/06/2018,7741.29,1.297
05/06/2018,7686.8,1.285
06/06/2018,7712.37,1.374
