date,value
2016-02-19,480.500000
2016-02-22,517.500000
2016-02-23,496.600006
2016-02-24,476.500000
2016-02-25,477.600006
2016-02-26,484.399994
2016-02-29,494.000000
2016-03-01,490.399994
2016-03-02,508.000000
2016-03-03,511.000000
2016-03-04,550.500000
2016-03-07,592.500000
2016-03-08,536.500000
2016-03-09,534.500000
2016-03-10,509.500000
2016-03-11,524.000000
2016-03-14,537.500000
2016-03-15,513.500000
2016-03-16,496.399994
2016-03-17,537.500000
2016-03-18,514.500000
2016-03-21,495.700012
2016-03-22,497.700012
2016-03-23,482.200012
2016-03-24,469.399994
2016-03-29,454.000000
2016-03-30,469.700012
2016-03-31,469.399994
2016-04-01,453.899994
2016-04-04,444.200012
2016-04-05,432.700012
2016-04-06,438.500000
2016-04-07,426.899994
2016-04-08,433.700012
2016-04-11,439.299988
2016-04-12,446.500000
2016-04-13,469.500000
2016-04-14,465.000000
2016-04-15,471.000000
2016-04-18,458.200012
2016-04-19,492.799988
2016-04-20,500.000000
2016-04-21,486.100006
2016-04-22,479.799988
2016-04-25,470.000000
2016-04-26,471.000000
2016-04-27,478.799988
2016-04-28,476.000000
2016-04-29,483.200012
2016-05-03,447.700012
2016-05-04,435.399994
2016-05-05,442.299988
2016-05-06,441.500000
2016-05-09,416.600006
2016-05-10,418.399994
2016-05-11,425.700012
2016-05-12,406.100006
2016-05-13,411.799988
2016-05-16,425.600006
2016-05-17,433.799988
2016-05-18,421.100006
2016-05-19,419.000000
2016-05-20,429.000000
2016-05-23,431.200012
2016-05-24,434.399994
2016-05-25,442.500000
2016-05-26,447.899994
2016-05-27,436.600006
2016-05-31,429.000000
2016-06-01,415.700012
2016-06-02,417.399994
2016-06-03,428.299988
2016-06-06,450.000000
2016-06-07,440.100006
2016-06-08,451.700012
2016-06-09,423.399994
2016-06-10,418.600006
2016-06-13,416.600006
2016-06-14,394.500000
2016-06-15,419.700012
2016-06-16,409.700012
2016-06-17,423.899994
2016-06-20,433.899994
2016-06-21,433.000000
2016-06-22,425.000000
2016-06-23,440.299988
2016-06-24,430.299988
2016-06-27,423.100006
2016-06-28,415.200012
2016-06-29,443.000000
2016-06-30,465.600006
2016-07-01,469.600006
2016-07-04,480.600006
2016-07-05,461.500000
2016-07-06,462.000000
2016-07-07,464.700012
2016-07-08,456.700012
2016-07-11,479.500000
