date,value
2016-02-19,386.299988
2016-02-22,380.299988
2016-02-23,387.100006
2016-02-24,359.000000
2016-02-25,371.399994
2016-02-26,372.000000
2016-02-29,363.000000
2016-03-01,365.700012
2016-03-02,358.000000
2016-03-03,351.600006
2016-03-04,352.399994
2016-03-07,359.000000
2016-03-08,360.399994
2016-03-09,368.799988
2016-03-10,376.100006
2016-03-11,380.600006
2016-03-14,380.000000
2016-03-15,379.299988
2016-03-16,383.600006
2016-03-17,376.000000
2016-03-18,368.399994
2016-03-21,369.799988
2016-03-22,377.000000
2016-03-23,386.500000
2016-03-24,389.899994
2016-03-29,393.799988
2016-03-30,392.399994
2016-03-31,390.000000
2016-04-01,398.000000
2016-04-04,390.700012
2016-04-05,391.299988
2016-04-06,388.299988
2016-04-07,386.000000
2016-04-08,387.500000
2016-04-11,383.799988
2016-04-12,380.100006
2016-04-13,382.700012
2016-04-14,378.500000
2016-04-15,379.899994
2016-04-18,379.899994
2016-04-19,383.500000
2016-04-20,378.700012
2016-04-21,366.200012
2016-04-22,357.700012
2016-04-25,369.399994
2016-04-26,370.600006
2016-04-27,373.600006
2016-04-28,377.299988
2016-04-29,375.000000
2016-05-03,381.399994
2016-05-04,379.299988
2016-05-05,375.000000
2016-05-06,378.299988
2016-05-09,378.399994
2016-05-10,382.000000
2016-05-11,381.500000
2016-05-12,381.700012
2016-05-13,384.399994
2016-05-16,381.000000
2016-05-17,385.200012
2016-05-18,384.200012
2016-05-19,381.700012
2016-05-20,383.799988
2016-05-23,383.600006
2016-05-24,402.600006
2016-05-25,403.299988
2016-05-26,400.000000
2016-05-27,397.700012
2016-05-31,393.000000
2016-06-01,393.600006
2016-06-02,399.399994
2016-06-03,395.000000
2016-06-06,404.500000
2016-06-07,402.799988
2016-06-08,402.500000
2016-06-09,424.100006
2016-06-10,418.000000
2016-06-13,407.200012
2016-06-14,392.399994
2016-06-15,390.399994
2016-06-16,389.000000
2016-06-17,401.700012
2016-06-20,414.299988
2016-06-21,414.799988
2016-06-22,412.899994
2016-06-23,418.000000
2016-06-24,379.100006
2016-06-27,328.000000
2016-06-28,344.799988
2016-06-29,350.299988
2016-06-30,353.399994
2016-07-01,358.600006
2016-07-04,341.200012
2016-07-05,315.000000
2016-07-06,313.799988
2016-07-07,329.399994
2016-07-08,333.600006
2016-07-11,346.500000
2016-07-12,353.000000
2016-07-13,357.100006
2016-07-14,350.600006
2016-07-15,346.200012
2016-07-18,351.000000
2016-07-19,352.100006
2016-07-20,358.500000
2016-07-21,353.100006
2016-07-22,348.000000
2016-07-25,350.899994
2016-07-26,350.700012
2016-07-27,368.600006
2016-07-28,366.500000
2016-07-29,370.700012
2016-08-01,370.700012
2016-08-02,373.399994
2016-08-03,374.299988
2016-08-04,382.399994
2016-08-05,388.299988
2016-08-08,389.000000
2016-08-09,388.399994
2016-08-10,386.000000
2016-08-11,390.799988
2016-08-12,386.500000
2016-08-15,389.100006
2016-08-16,386.899994
2016-08-17,390.000000
