date,value
2016-02-19,1413.000000
2016-02-22,1469.000000
2016-02-23,1458.000000
2016-02-24,1385.000000
2016-02-25,1409.000000
2016-02-26,1367.000000
2016-02-29,1375.000000
2016-03-01,1390.000000
2016-03-02,1366.000000
2016-03-03,1373.000000
2016-03-04,1386.000000
2016-03-07,1401.000000
2016-03-08,1390.000000
2016-03-09,1396.000000
2016-03-10,1376.000000
2016-03-11,1396.000000
2016-03-14,1408.000000
2016-03-15,1433.000000
2016-03-16,1434.000000
2016-03-17,1430.000000
2016-03-18,1454.000000
2016-03-21,1442.000000
2016-03-22,1444.000000
2016-03-23,1459.000000
2016-03-24,1432.000000
2016-03-29,1439.000000
2016-03-30,1505.000000
2016-03-31,1480.000000
2016-04-01,1452.000000
2016-04-04,1459.000000
2016-04-05,1440.000000
2016-04-06,1447.000000
2016-04-07,1440.000000
2016-04-08,1441.000000
2016-04-11,1438.000000
2016-04-12,1423.000000
2016-04-13,1453.000000
2016-04-14,1460.000000
2016-04-15,1459.000000
2016-04-18,1453.000000
2016-04-19,1450.000000
2016-04-20,1448.000000
2016-04-21,1423.000000
2016-04-22,1397.000000
2016-04-25,1398.000000
2016-04-26,1403.000000
2016-04-27,1410.000000
2016-04-28,1409.000000
2016-04-29,1400.000000
2016-05-03,1388.000000
2016-05-04,1373.000000
2016-05-05,1375.000000
2016-05-06,1377.000000
2016-05-09,1395.000000
2016-05-10,1405.000000
2016-05-11,1402.000000
2016-05-12,1397.000000
2016-05-13,1348.000000
2016-05-16,1355.000000
2016-05-17,1350.000000
2016-05-18,1322.000000
2016-05-19,1286.000000
2016-05-20,1366.000000
2016-05-23,1365.000000
2016-05-24,1324.000000
2016-05-25,1326.000000
2016-05-26,1330.000000
2016-05-27,1326.000000
2016-05-31,1343.000000
2016-06-01,1348.000000
2016-06-02,1335.000000
2016-06-03,1332.000000
2016-06-06,1394.000000
2016-06-07,1410.000000
2016-06-08,1456.000000
2016-06-09,1444.000000
2016-06-10,1417.000000
2016-06-13,1407.000000
2016-06-14,1383.000000
2016-06-15,1373.000000
2016-06-16,1378.000000
2016-06-17,1390.000000
2016-06-20,1423.000000
2016-06-21,1423.000000
2016-06-22,1399.000000
2016-06-23,1410.000000
2016-06-24,1366.000000
2016-06-27,1370.000000
2016-06-28,1456.000000
2016-06-29,1483.000000
2016-06-30,1510.000000
2016-07-01,1529.000000
2016-07-04,1526.000000
2016-07-05,1542.000000
2016-07-06,1520.000000
2016-07-07,1554.000000
2016-07-08,1536.000000
2016-07-11,1548.000000
2016-07-12,1540.000000
2016-07-13,1543.000000
2016-07-14,1525.000000
2016-07-15,1534.000000
2016-07-18,1521.000000
2016-07-19,1568.000000
2016-07-20,1574.000000
2016-07-21,1571.000000
2016-07-22,1580.000000
2016-07-25,1576.000000
2016-07-26,1583.000000
2016-07-27,1575.000000
2016-07-28,1572.000000
2016-07-29,1561.000000
2016-08-01,1566.000000
2016-08-02,1534.000000
2016-08-03,1519.000000
2016-08-04,1552.000000
2016-08-05,1569.000000
2016-08-08,1569.000000
2016-08-09,1570.000000
2016-08-10,1571.000000
2016-08-11,1681.000000
2016-08-12,1720.000000
2016-08-15,1723.000000
2016-08-16,1712.000000
2016-08-17,1702.000000
2016-08-18,1703.000000
2016-08-19,1704.000000
2016-08-22,1693.000000
2016-08-23,1691.000000
2016-08-24,1690.000000
2016-08-25,1690.000000
2016-08-26,1692.000000
2016-08-30,1694.000000
2016-08-31,1674.000000
2016-09-01,1655.000000
2016-09-02,1695.000000
2016-09-05,1666.000000
2016-09-06,1654.000000
2016-09-07,1658.000000
2016-09-08,1648.000000
2016-09-09,1644.000000
2016-09-12,1629.000000
2016-09-13,1649.000000
2016-09-14,1663.000000
2016-09-15,1727.000000
2016-09-16,1682.000000
2016-09-19,1695.000000
2016-09-20,1683.000000
2016-09-21,1688.000000
2016-09-22,1741.000000
2016-09-23,1733.000000
2016-09-26,1740.000000
2016-09-27,1739.000000
2016-09-28,1755.000000
2016-09-29,1775.000000
2016-09-30,1792.000000
2016-10-03,1809.000000
2016-10-04,1829.000000
2016-10-05,1800.000000
2016-10-06,1798.000000
2016-10-07,1798.000000
2016-10-10,1829.000000
2016-10-11,1826.000000
2016-10-12,1811.000000
2016-10-13,1819.000000
2016-10-14,1827.000000
2016-10-17,1822.000000
2016-10-18,1840.000000
2016-10-19,1837.000000
2016-10-20,1834.000000
2016-10-21,1835.000000
2016-10-24,1813.000000
2016-10-25,1823.000000
2016-10-26,1822.000000
2016-10-27,1816.000000
2016-10-28,1811.000000
2016-10-31,1766.000000
2016-11-01,1773.000000
2016-11-02,1769.000000
2016-11-03,1765.000000
2016-11-04,1728.000000
2016-11-07,1723.000000
2016-11-08,1728.000000
2016-11-09,1712.000000
2016-11-10,1648.000000
2016-11-11,1640.000000
2016-11-14,1651.000000
2016-11-15,1679.000000
2016-11-16,1662.000000
2016-11-17,1661.000000
2016-11-18,1674.000000
2016-11-21,1687.000000
2016-11-22,1673.000000
2016-11-23,1679.000000
2016-11-24,1677.000000
2016-11-25,1684.000000
2016-11-28,1682.000000
2016-11-29,1675.000000
2016-11-30,1700.000000
2016-12-01,1633.000000
2016-12-02,1632.000000
2016-12-05,1626.000000
2016-12-06,1626.000000
2016-12-07,1639.000000
2016-12-08,1664.000000
2016-12-09,1665.000000
2016-12-12,1662.000000
2016-12-13,1637.000000
2016-12-14,1615.000000
2016-12-15,1667.000000
2016-12-16,1659.000000
2016-12-19,1668.000000
2016-12-20,1663.000000
2016-12-21,1684.000000
2016-12-22,1705.000000
2016-12-23,1716.000000
2016-12-28,1714.000000
2016-12-29,1732.000000
2016-12-30,1770.000000
2017-01-03,1773.000000
2017-01-04,1782.000000
2017-01-05,1769.000000
2017-01-06,1789.000000
2017-01-09,1810.000000
2017-01-10,1783.000000
2017-01-11,1779.000000
2017-01-12,1794.000000
2017-01-13,1802.000000
2017-01-16,1798.000000
2017-01-17,1780.000000
2017-01-18,1806.000000
2017-01-19,1813.000000
2017-01-20,1821.000000
2017-01-23,1810.000000
2017-01-24,1816.000000
2017-01-25,1810.000000
2017-01-26,1815.000000
2017-01-27,1819.000000
2017-01-30,1812.000000
2017-01-31,1812.000000
2017-02-01,1800.000000
2017-02-02,1790.000000
2017-02-03,1795.000000
2017-02-06,1788.000000
2017-02-07,1799.000000
2017-02-08,1823.000000
2017-02-09,1820.000000
2017-02-10,1826.000000
2017-02-13,1820.000000
2017-02-14,1819.000000
2017-02-15,1823.000000
2017-02-16,1912.000000
2017-02-17,1989.000000
2017-02-20,1968.000000
2017-02-21,1979.000000
2017-02-22,1950.000000
2017-02-23,1947.000000
2017-02-24,1936.000000
2017-02-27,1940.000000
2017-02-28,1945.000000
2017-03-01,1943.000000
2017-03-02,1949.000000
2017-03-03,1942.000000
2017-03-06,1936.000000
2017-03-07,1951.000000
2017-03-08,1949.000000
2017-03-09,1945.000000
2017-03-10,1948.000000
2017-03-13,1962.000000
2017-03-14,1972.000000
2017-03-15,1971.000000
2017-03-16,1981.000000
2017-03-17,2006.000000
2017-03-20,1991.000000
2017-03-21,2006.000000
2017-03-22,2008.000000
2017-03-23,2031.000000
2017-03-24,2023.000000
2017-03-27,2017.000000
2017-03-28,2025.000000
2017-03-29,2033.000000
2017-03-30,2061.000000
2017-03-31,2061.000000
2017-04-03,2052.000000
2017-04-04,2075.000000
2017-04-05,2080.000000
2017-04-06,2084.000000
2017-04-07,2081.000000
2017-04-10,2060.000000
2017-04-11,2083.000000
2017-04-12,2095.000000
2017-04-13,2097.000000
2017-04-18,2083.000000
2017-04-19,2092.000000
2017-04-20,2098.000000
2017-04-21,2097.000000
2017-04-24,2148.000000
2017-04-25,2158.000000
2017-04-26,2163.000000
2017-04-27,2163.000000
2017-04-28,2142.000000
2017-05-02,2152.000000
2017-05-03,2143.000000
2017-05-04,2163.000000
2017-05-05,2164.000000
2017-05-08,2163.000000
2017-05-09,2195.000000
2017-05-10,2184.000000
2017-05-11,2190.000000
2017-05-12,2184.000000
2017-05-15,2191.000000
2017-05-16,2203.000000
2017-05-17,2197.000000
2017-05-18,2209.000000
2017-05-19,2207.000000
2017-05-22,2231.000000
2017-05-23,2244.000000
2017-05-24,2259.000000
2017-05-25,2271.000000
2017-05-26,2269.000000
2017-05-30,2247.000000
2017-05-31,2253.000000
2017-06-01,2293.000000
2017-06-02,2325.000000
2017-06-05,2314.000000
2017-06-06,2325.000000
2017-06-07,2347.000000
2017-06-08,2317.000000
2017-06-09,2329.000000
2017-06-12,2306.000000
2017-06-13,2292.000000
2017-06-14,2311.000000
2017-06-15,2303.000000
2017-06-16,2369.000000
2017-06-19,2376.000000
2017-06-20,2389.000000
2017-06-21,2393.000000
2017-06-22,2397.000000
2017-06-23,2363.000000
2017-06-26,2372.929932
2017-06-27,2369.850098
2017-06-28,2336.000000
2017-06-29,2251.000000
2017-06-30,2258.000000
2017-07-03,2252.000000
2017-07-04,2239.000000
2017-07-05,2235.000000
2017-07-06,2212.000000
2017-07-07,2221.000000
2017-07-10,2229.000000
2017-07-11,2201.000000
2017-07-12,2251.000000
2017-07-13,2250.000000
2017-07-14,2236.000000
2017-07-17,2243.000000
2017-07-18,2242.000000
2017-07-19,2273.000000
2017-07-20,2275.000000
2017-07-21,2250.000000
2017-07-24,2199.000000
2017-07-25,2213.000000
2017-07-26,2250.000000
2017-07-27,2281.000000
2017-07-28,2285.000000
2017-07-31,2292.000000
2017-08-01,2299.000000
2017-08-02,2289.000000
2017-08-03,2305.000000
2017-08-04,2348.000000
2017-08-07,2390.000000
2017-08-08,2391.000000
2017-08-09,2373.000000
2017-08-10,2592.000000
2017-08-11,2592.000000
2017-08-14,2566.000000
2017-08-15,2561.000000
2017-08-16,2575.000000
2017-08-17,2593.000000
2017-08-18,2554.000000
2017-08-21,2549.000000
2017-08-22,2597.000000
2017-08-23,2606.000000
2017-08-24,2612.000000
2017-08-25,2600.000000
2017-08-29,2625.000000
2017-08-30,2625.000000
2017-08-31,2644.000000
2017-09-01,2671.000000
2017-09-04,2664.000000
2017-09-05,2645.000000
2017-09-06,2635.000000
2017-09-07,2631.000000
2017-09-08,2663.000000
2017-09-11,2665.000000
2017-09-12,2657.000000
2017-09-13,2666.000000
2017-09-14,2608.000000
2017-09-15,2558.000000
2017-09-18,2576.000000
2017-09-19,2540.000000
2017-09-20,2524.000000
2017-09-21,2503.000000
2017-09-22,2537.000000
2017-09-25,2528.000000
2017-09-26,2502.000000
2017-09-27,2484.000000
2017-09-28,2494.000000
2017-09-29,2525.000000
2017-10-02,2557.000000
2017-10-03,2521.000000
2017-10-04,2558.000000
2017-10-05,2539.000000
2017-10-06,2550.000000
2017-10-09,2566.000000
2017-10-10,2577.000000
2017-10-11,2611.000000
2017-10-12,2606.000000
2017-10-13,2600.000000
2017-10-16,2609.000000
2017-10-17,2593.000000
2017-10-18,2647.000000
2017-10-19,2593.000000
2017-10-20,2570.000000
2017-10-23,2585.000000
2017-10-24,2577.000000
2017-10-25,2568.000000
2017-10-26,2570.000000
2017-10-27,2575.000000
2017-10-30,2543.000000
2017-10-31,2545.000000
2017-11-01,2537.000000
2017-11-02,2568.000000
2017-11-03,2638.000000
2017-11-06,2631.000000
2017-11-07,2595.000000
2017-11-08,2561.000000
2017-11-09,2593.000000
2017-11-10,2585.000000
2017-11-13,2470.000000
2017-11-14,2485.000000
2017-11-15,2447.000000
2017-11-16,2453.000000
2017-11-17,2450.000000
2017-11-20,2447.000000
2017-11-21,2438.000000
2017-11-22,2440.000000
2017-11-23,2430.000000
2017-11-24,2418.000000
2017-11-27,2423.000000
2017-11-28,2430.000000
2017-11-29,2387.000000
2017-11-30,2369.000000
2017-12-01,2328.000000
2017-12-04,2353.000000
2017-12-05,2351.000000
2017-12-06,2332.000000
2017-12-07,2325.000000
2017-12-08,2319.000000
2017-12-11,2329.000000
2017-12-12,2331.000000
2017-12-13,2324.000000
2017-12-14,2323.000000
2017-12-15,2325.000000
2017-12-18,2352.000000
2017-12-19,2353.000000
2017-12-20,2353.000000
2017-12-21,2361.000000
2017-12-22,2379.000000
2017-12-27,2409.000000
2017-12-28,2414.000000
2017-12-29,2420.000000
2018-01-02,2379.000000
2018-01-03,2378.000000
2018-01-04,2374.000000
2018-01-05,2383.000000
2018-01-08,2384.000000
2018-01-09,2380.000000
2018-01-10,2381.000000
2018-01-11,2401.000000
2018-01-12,2400.000000
2018-01-15,2377.000000
2018-01-16,2336.000000
2018-01-17,2360.000000
2018-01-18,2412.000000
2018-01-19,2424.000000
2018-01-22,2412.000000
2018-01-23,2433.000000
2018-01-24,2410.000000
2018-01-25,2371.000000
2018-01-26,2418.000000
2018-01-29,2401.000000
2018-01-30,2424.000000
2018-01-31,2366.000000
2018-02-01,2380.000000
2018-02-02,2346.000000
2018-02-05,2296.000000
2018-02-06,2246.000000
2018-02-07,2291.000000
2018-02-08,2232.000000
2018-02-09,2216.000000
2018-02-12,2228.000000
2018-02-13,2236.000000
2018-02-14,2344.000000
2018-02-15,2392.000000
2018-02-16,2459.000000
2018-02-19,2460.000000
2018-02-20,2464.000000
2018-02-21,2475.000000
2018-02-22,2452.000000
2018-02-23,2459.000000
2018-02-26,2472.000000
2018-02-27,2442.000000
2018-02-28,2385.000000
2018-03-01,2368.000000
2018-03-02,2364.000000
2018-03-05,2385.000000
2018-03-06,2414.000000
2018-03-07,2459.000000
2018-03-08,2516.000000
2018-03-09,2518.000000
2018-03-12,2543.000000
2018-03-13,2520.000000
2018-03-14,2528.000000
2018-03-15,2548.000000
2018-03-16,2531.000000
2018-03-19,2491.000000
2018-03-20,2470.000000
2018-03-21,2449.000000
2018-03-22,2529.000000
2018-03-23,2485.000000
2018-03-26,2498.000000
2018-03-27,2533.000000
2018-03-28,2583.000000
2018-03-29,2634.000000
2018-04-03,2650.000000
2018-04-04,2627.000000
2018-04-05,2662.000000
2018-04-06,2707.000000
2018-04-09,2700.000000
2018-04-10,2626.000000
2018-04-11,2510.000000
2018-04-12,2501.000000
2018-04-13,2493.000000
2018-04-16,2468.000000
2018-04-17,2515.000000
2018-04-18,2506.000000
2018-04-19,2502.000000
2018-04-20,2496.000000
2018-04-23,2487.000000
2018-04-24,2472.000000
2018-04-25,2442.000000
2018-04-26,2458.000000
2018-04-27,2479.000000
2018-04-30,2444.000000
2018-05-01,2475.000000
2018-05-02,2453.000000
2018-05-03,2450.000000
2018-05-04,2450.000000
2018-05-08,2468.000000
2018-05-09,2466.000000
2018-05-10,2540.000000
2018-05-11,2520.000000
2018-05-14,2571.000000
2018-05-15,2599.000000
2018-05-16,2598.000000
2018-05-17,2574.000000
2018-05-18,2584.000000
2018-05-21,2620.000000
2018-05-22,2627.000000
2018-05-23,2609.000000
2018-05-24,2632.000000
2018-05-25,2673.000000
2018-05-29,2618.000000
2018-05-30,2607.000000
2018-05-31,2570.000000
2018-06-01,2557.000000
2018-06-04,2603.000000
2018-06-05,2615.000000
2018-06-06,2601.000000
2018-06-07,2599.000000
2018-06-08,2600.000000
2018-06-11,2588.000000
