date,value
2016-02-19,3313.000000
2016-02-22,3417.000000
2016-02-23,3458.000000
2016-02-24,3425.000000
2016-02-25,3539.000000
2016-02-26,3546.000000
2016-02-29,3578.000000
2016-03-01,3599.000000
2016-03-02,3532.000000
2016-03-03,3417.000000
2016-03-04,3460.000000
2016-03-07,3420.000000
2016-03-08,3379.000000
2016-03-09,3354.000000
2016-03-10,3327.000000
2016-03-11,3410.000000
2016-03-14,3477.000000
2016-03-15,3489.000000
2016-03-16,3532.000000
2016-03-17,3464.000000
2016-03-18,3497.000000
2016-03-21,3512.000000
2016-03-22,3456.000000
2016-03-23,3522.000000
2016-03-24,3517.000000
2016-03-29,3550.000000
2016-03-30,3692.000000
2016-03-31,3752.000000
2016-04-01,3791.000000
2016-04-04,3782.000000
2016-04-05,3730.000000
2016-04-06,3779.000000
2016-04-07,3759.000000
2016-04-08,3764.000000
2016-04-11,3711.000000
2016-04-12,3726.000000
2016-04-13,3749.000000
2016-04-14,3754.000000
2016-04-15,3738.000000
2016-04-18,3680.000000
2016-04-19,3669.000000
2016-04-20,3625.000000
2016-04-21,3560.000000
2016-04-22,3462.000000
2016-04-25,3501.000000
2016-04-26,3480.000000
2016-04-27,3482.000000
2016-04-28,3455.000000
2016-04-29,3397.000000
2016-05-03,3483.000000
2016-05-04,3475.000000
2016-05-05,3435.000000
2016-05-06,3452.000000
2016-05-09,3531.000000
2016-05-10,3543.000000
2016-05-11,3610.000000
2016-05-12,3634.000000
2016-05-13,3630.000000
2016-05-16,3582.000000
2016-05-17,3578.000000
2016-05-18,3549.000000
2016-05-19,3485.000000
2016-05-20,3534.000000
2016-05-23,3551.000000
2016-05-24,3584.000000
2016-05-25,3489.000000
2016-05-26,3379.000000
2016-05-27,3446.000000
2016-05-31,3409.000000
2016-06-01,3382.000000
2016-06-02,3394.000000
2016-06-03,3357.000000
2016-06-06,3333.000000
2016-06-07,3364.000000
2016-06-08,3351.000000
2016-06-09,3410.000000
2016-06-10,3359.000000
2016-06-13,3340.000000
2016-06-14,3332.000000
2016-06-15,3400.000000
2016-06-16,3375.000000
2016-06-17,3402.000000
2016-06-20,3427.000000
2016-06-21,3461.000000
2016-06-22,3458.000000
2016-06-23,3490.000000
2016-06-24,3465.000000
2016-06-27,3264.000000
2016-06-28,3259.000000
2016-06-29,3320.000000
2016-06-30,3310.000000
2016-07-01,3425.000000
2016-07-04,3376.000000
2016-07-05,3387.000000
2016-07-06,3391.000000
2016-07-07,3415.000000
2016-07-08,3472.000000
2016-07-11,3528.000000
2016-07-12,3562.000000
2016-07-13,3583.000000
2016-07-14,3554.000000
2016-07-15,3473.000000
2016-07-18,3493.000000
2016-07-19,3519.000000
2016-07-20,3560.000000
2016-07-21,3539.000000
2016-07-22,3563.000000
2016-07-25,3580.000000
2016-07-26,3607.000000
2016-07-27,3594.000000
2016-07-28,3623.000000
2016-07-29,3642.000000
2016-08-01,3640.000000
2016-08-02,3555.000000
2016-08-03,3539.000000
2016-08-04,3609.000000
2016-08-05,3683.000000
2016-08-08,3676.000000
2016-08-09,3589.000000
2016-08-10,3574.000000
2016-08-11,3644.000000
2016-08-12,3629.000000
2016-08-15,3651.000000
2016-08-16,3623.000000
2016-08-17,3646.000000
2016-08-18,3617.000000
2016-08-19,3628.000000
2016-08-22,3633.000000
2016-08-23,3685.000000
2016-08-24,3664.000000
2016-08-25,3622.000000
2016-08-26,3637.000000
2016-08-30,3658.000000
2016-08-31,3654.000000
2016-09-01,3666.000000
2016-09-02,3515.000000
2016-09-05,3502.000000
2016-09-06,3440.000000
2016-09-07,3395.000000
2016-09-08,3389.000000
2016-09-09,3349.000000
2016-09-12,3372.000000
2016-09-13,3453.000000
2016-09-14,3469.000000
2016-09-15,3501.000000
2016-09-16,3500.000000
2016-09-19,3514.000000
2016-09-20,3540.000000
2016-09-21,3502.000000
2016-09-22,3540.000000
2016-09-23,3606.000000
2016-09-26,3555.000000
2016-09-27,3726.000000
2016-09-28,3745.000000
2016-09-29,3743.000000
2016-09-30,3768.000000
2016-10-03,3829.000000
2016-10-04,3855.000000
2016-10-05,3785.000000
2016-10-06,3831.000000
2016-10-07,3833.000000
2016-10-10,3817.000000
2016-10-11,3817.000000
2016-10-12,3760.000000
2016-10-13,3761.000000
2016-10-14,3769.000000
2016-10-17,3756.000000
2016-10-18,3764.000000
2016-10-19,3753.000000
2016-10-20,3773.000000
2016-10-21,3775.000000
2016-10-24,3805.000000
2016-10-25,3779.000000
2016-10-26,3770.000000
2016-10-27,3752.000000
2016-10-28,3877.000000
2016-10-31,3936.000000
2016-11-01,3935.000000
2016-11-02,3905.000000
2016-11-03,3874.000000
2016-11-04,3847.000000
2016-11-07,3901.000000
2016-11-08,3942.000000
2016-11-09,3943.000000
2016-11-10,3943.000000
2016-11-11,3910.000000
2016-11-14,3939.000000
2016-11-15,3997.000000
2016-11-16,3956.000000
2016-11-17,4025.000000
2016-11-18,4084.000000
2016-11-21,4030.000000
2016-11-22,4089.000000
2016-11-23,4136.000000
2016-11-24,4098.000000
2016-11-25,4112.000000
2016-11-28,4100.000000
2016-11-29,4129.000000
2016-11-30,4044.000000
2016-12-01,3925.000000
2016-12-02,3907.000000
2016-12-05,4039.000000
2016-12-06,4026.000000
2016-12-07,4078.000000
2016-12-08,4125.000000
2016-12-09,4122.000000
2016-12-12,4010.000000
2016-12-13,4011.000000
2016-12-14,4045.000000
2016-12-15,4130.000000
2016-12-16,4068.000000
2016-12-19,4023.000000
2016-12-20,4145.000000
2016-12-21,4137.000000
2016-12-22,4132.000000
2016-12-23,4147.000000
2016-12-28,4145.000000
2016-12-29,4115.000000
2016-12-30,4125.000000
2017-01-03,4100.000000
2017-01-04,4131.000000
2017-01-05,4179.000000
2017-01-06,4189.000000
2017-01-09,4243.000000
2017-01-10,4298.000000
2017-01-11,4314.000000
2017-01-12,4215.000000
2017-01-13,4242.000000
2017-01-16,4262.000000
2017-01-17,4113.000000
2017-01-18,4172.000000
2017-01-19,4180.000000
2017-01-20,4168.000000
2017-01-23,4105.000000
2017-01-24,4175.000000
2017-01-25,4233.000000
2017-01-26,4340.000000
2017-01-27,4340.000000
2017-01-30,4324.000000
2017-01-31,4238.000000
2017-02-01,4243.000000
2017-02-02,4268.000000
2017-02-03,4288.000000
2017-02-06,4311.000000
2017-02-07,4302.000000
2017-02-08,4308.000000
2017-02-09,4298.000000
2017-02-10,4336.000000
2017-02-13,4353.000000
2017-02-14,4371.000000
2017-02-15,4354.000000
2017-02-16,4326.000000
2017-02-17,4303.000000
2017-02-20,4340.000000
2017-02-21,4300.000000
2017-02-22,4285.000000
2017-02-23,4358.000000
2017-02-24,4346.000000
2017-02-27,4359.000000
2017-02-28,4399.000000
2017-03-01,4454.000000
2017-03-02,4453.000000
