date,value
2016-02-19,211.500000
2016-02-22,216.199997
2016-02-23,210.399994
2016-02-24,204.500000
2016-02-25,208.899994
2016-02-26,211.199997
2016-02-29,208.000000
2016-03-01,212.199997
2016-03-02,210.500000
2016-03-03,220.000000
2016-03-04,224.199997
2016-03-07,225.600006
2016-03-08,225.000000
2016-03-09,227.000000
2016-03-10,225.800003
2016-03-11,229.800003
2016-03-14,227.500000
2016-03-15,222.800003
2016-03-16,224.800003
2016-03-17,227.300003
2016-03-18,226.199997
2016-03-21,226.800003
2016-03-22,226.000000
2016-03-23,226.699997
2016-03-24,224.100006
2016-03-29,226.899994
2016-03-30,230.500000
2016-03-31,227.699997
2016-04-01,224.899994
2016-04-04,226.699997
2016-04-05,223.600006
2016-04-06,226.600006
2016-04-07,227.100006
2016-04-08,232.300003
2016-04-11,233.699997
2016-04-12,235.100006
2016-04-13,237.500000
2016-04-14,236.800003
2016-04-15,238.300003
2016-04-18,234.600006
2016-04-19,237.300003
2016-04-20,236.100006
2016-04-21,234.100006
2016-04-22,232.199997
2016-04-25,232.300003
2016-04-26,232.199997
2016-04-27,240.100006
2016-04-28,238.899994
2016-04-29,238.399994
2016-05-03,232.399994
2016-05-04,231.100006
2016-05-05,208.500000
2016-05-06,209.899994
2016-05-09,210.000000
2016-05-10,213.100006
2016-05-11,210.000000
2016-05-12,202.300003
2016-05-13,202.399994
2016-05-16,201.500000
2016-05-17,203.000000
2016-05-18,201.699997
2016-05-19,198.699997
2016-05-20,201.500000
2016-05-23,203.000000
2016-05-24,203.100006
2016-05-25,205.800003
2016-05-26,206.399994
2016-05-27,205.300003
2016-05-31,203.800003
2016-06-01,202.000000
2016-06-02,200.899994
2016-06-03,202.100006
2016-06-06,204.000000
2016-06-07,206.000000
2016-06-08,211.199997
2016-06-09,207.899994
2016-06-10,202.899994
2016-06-13,201.899994
2016-06-14,198.300003
2016-06-15,201.600006
2016-06-16,201.199997
2016-06-17,203.600006
2016-06-20,215.500000
