date,value
2016-02-19,1278.160034
2016-02-22,1294.800049
2016-02-23,1278.160034
2016-02-24,1272.959961
2016-02-25,1292.719971
2016-02-26,1298.959961
2016-02-29,1316.640015
2016-03-01,1327.040039
2016-03-02,1310.400024
2016-03-03,1290.640015
2016-03-04,1284.400024
2016-03-07,1268.800049
2016-03-08,1265.680054
2016-03-09,1262.560059
2016-03-10,1242.800049
2016-03-11,1264.640015
2016-03-14,1263.599976
2016-03-15,1270.880005
2016-03-16,1270.880005
2016-03-17,1274.000000
2016-03-18,1269.839966
2016-03-21,1274.000000
2016-03-22,1268.800049
2016-03-23,1263.599976
2016-03-24,1260.479980
2016-03-29,1263.599976
2016-03-30,1279.199951
2016-03-31,1277.119995
2016-04-01,1287.520020
2016-04-04,1295.839966
2016-04-05,1295.839966
2016-04-06,1319.760010
2016-04-07,1318.719971
2016-04-08,1314.560059
2016-04-11,1314.560059
2016-04-12,1313.520020
2016-04-13,1310.400024
2016-04-14,1328.079956
2016-04-15,1331.199951
2016-04-18,1332.239990
2016-04-19,1324.959961
2016-04-20,1320.800049
2016-04-21,1297.920044
2016-04-22,1267.760010
2016-04-25,1271.920044
2016-04-26,1272.959961
2016-04-27,1292.719971
2016-04-28,1281.280029
2016-04-29,1267.760010
2016-05-03,1264.640015
2016-05-04,1268.800049
2016-05-05,1270.880005
2016-05-06,1290.640015
2016-05-09,1308.319946
2016-05-10,1312.479980
2016-05-11,1301.040039
2016-05-12,1321.839966
2016-05-13,1329.119995
2016-05-16,1331.199951
2016-05-17,1320.800049
2016-05-18,1327.040039
2016-05-19,1302.079956
2016-05-20,1331.199951
2016-05-23,1327.040039
2016-05-24,1346.800049
2016-05-25,1341.599976
2016-05-26,1338.479980
2016-05-27,1339.520020
2016-05-31,1338.479980
2016-06-01,1346.800049
2016-06-02,1345.760010
2016-06-03,1352.000000
2016-06-06,1363.439941
2016-06-07,1356.160034
2016-06-08,1352.000000
2016-06-09,1350.959961
2016-06-10,1330.160034
2016-06-13,1329.119995
2016-06-14,1294.800049
2016-06-15,1319.760010
2016-06-16,1310.400024
2016-06-17,1333.280029
2016-06-20,1367.599976
2016-06-21,1358.239990
2016-06-22,1353.040039
2016-06-23,1350.959961
2016-06-24,1404.000000
2016-06-27,1398.800049
2016-06-28,1416.479980
2016-06-29,1468.479980
2016-06-30,1478.880005
2016-07-01,1496.560059
2016-07-04,1494.479980
2016-07-05,1502.800049
2016-07-06,1492.400024
2016-07-07,1503.839966
2016-07-08,1498.640015
2016-07-11,1516.319946
2016-07-12,1520.479980
2016-07-13,1520.479980
2016-07-14,1500.719971
2016-07-15,1504.880005
2016-07-18,1509.040039
2016-07-19,1511.119995
2016-07-20,1522.560059
2016-07-21,1513.199951
2016-07-22,1520.479980
2016-07-25,1522.560059
2016-07-26,1535.040039
2016-07-27,1524.640015
2016-07-28,1491.359985
2016-07-29,1493.439941
2016-08-01,1503.839966
2016-08-02,1493.439941
2016-08-03,1482.000000
2016-08-04,1506.959961
2016-08-05,1525.680054
2016-08-08,1501.760010
2016-08-09,1525.680054
2016-08-10,1531.920044
2016-08-11,1565.199951
2016-08-12,1565.199951
2016-08-15,1575.599976
2016-08-16,1556.880005
2016-08-17,1549.599976
2016-08-18,1560.000000
2016-08-19,1563.119995
2016-08-22,1554.800049
2016-08-23,1555.839966
2016-08-24,1527.760010
2016-08-25,1518.400024
2016-08-26,1517.359985
2016-08-30,1508.000000
2016-08-31,1499.680054
2016-09-01,1509.040039
2016-09-02,1540.239990
2016-09-05,1532.959961
2016-09-06,1518.400024
2016-09-07,1521.520020
2016-09-08,1513.199951
2016-09-09,1487.199951
2016-09-12,1472.640015
2016-09-13,1482.000000
2016-09-14,1497.599976
2016-09-15,1528.800049
2016-09-16,1528.800049
2016-09-19,1538.160034
2016-09-20,1552.719971
2016-09-21,1540.239990
2016-09-22,1550.640015
2016-09-23,1554.800049
2016-09-26,1529.839966
2016-09-27,1537.119995
2016-09-28,1552.719971
2016-09-29,1555.839966
2016-09-30,1554.800049
2016-10-03,1583.920044
2016-10-04,1609.920044
2016-10-05,1556.880005
2016-10-06,1541.280029
2016-10-07,1552.719971
2016-10-10,1557.920044
2016-10-11,1555.839966
2016-10-12,1536.079956
2016-10-13,1551.680054
2016-10-14,1555.839966
2016-10-17,1537.119995
2016-10-18,1537.119995
2016-10-19,1562.079956
2016-10-20,1552.719971
2016-10-21,1544.400024
2016-10-24,1526.719971
2016-10-25,1528.800049
2016-10-26,1518.400024
2016-10-27,1518.400024
2016-10-28,1532.959961
2016-10-31,1540.239990
2016-11-01,1523.599976
2016-11-02,1515.280029
2016-11-03,1477.839966
2016-11-04,1446.640015
2016-11-07,1467.439941
2016-11-08,1478.880005
2016-11-09,1453.920044
2016-11-10,1388.400024
2016-11-11,1382.160034
2016-11-14,1380.079956
2016-11-15,1401.920044
2016-11-16,1411.280029
2016-11-17,1410.239990
2016-11-18,1436.239990
2016-11-21,1446.640015
2016-11-22,1379.040039
2016-11-23,1409.199951
2016-11-24,1420.640015
2016-11-25,1430.000000
2016-11-28,1435.199951
2016-11-29,1447.680054
2016-11-30,1425.839966
2016-12-01,1382.160034
2016-12-02,1394.640015
2016-12-05,1374.880005
2016-12-06,1370.719971
2016-12-07,1386.319946
2016-12-08,1408.160034
2016-12-09,1432.079956
2016-12-12,1407.119995
2016-12-13,1444.560059
2016-12-14,1433.119995
2016-12-15,1466.400024
2016-12-16,1471.599976
2016-12-19,1488.239990
2016-12-20,1492.400024
2016-12-21,1501.760010
2016-12-22,1515.280029
2016-12-23,1514.239990
2016-12-28,1528.800049
2016-12-29,1539.199951
2016-12-30,1561.040039
2017-01-03,1535.040039
2017-01-04,1531.920044
2017-01-05,1519.439941
2017-01-06,1516.319946
2017-01-09,1514.239990
2017-01-10,1522.560059
2017-01-11,1516.319946
2017-01-12,1524.640015
2017-01-13,1518.400024
2017-01-16,1523.599976
2017-01-17,1482.000000
2017-01-18,1506.959961
2017-01-19,1472.640015
2017-01-20,1464.319946
2017-01-23,1462.239990
2017-01-24,1468.479980
2017-01-25,1458.079956
2017-01-26,1447.680054
2017-01-27,1473.680054
2017-01-30,1463.280029
2017-01-31,1468.479980
2017-02-01,1452.880005
2017-02-02,1496.560059
2017-02-03,1501.760010
2017-02-06,1486.160034
2017-02-07,1495.520020
2017-02-08,1508.000000
2017-02-09,1498.640015
2017-02-10,1502.800049
2017-02-13,1503.839966
2017-02-14,1484.079956
2017-02-15,1489.280029
2017-02-16,1505.920044
2017-02-17,1531.920044
2017-02-20,1534.000000
2017-02-21,1525.680054
2017-02-22,1526.719971
2017-02-23,1521.520020
2017-02-24,1525.680054
2017-02-27,1536.079956
2017-02-28,1557.920044
2017-03-01,1553.760010
2017-03-02,1571.439941
2017-03-03,1558.959961
2017-03-06,1552.719971
2017-03-07,1544.400024
