date,value
2016-02-19,5950.200195
2016-02-22,6037.700195
2016-02-23,5962.299805
2016-02-24,5867.200195
2016-02-25,6012.799805
2016-02-26,6096.000000
2016-02-29,6097.100098
2016-03-01,6152.899902
2016-03-02,6147.100098
2016-03-03,6130.500000
2016-03-04,6199.399902
2016-03-07,6182.399902
2016-03-08,6125.399902
2016-03-09,6146.299805
2016-03-10,6036.700195
2016-03-11,6139.799805
2016-03-14,6174.600098
2016-03-15,6140.000000
2016-03-16,6175.500000
2016-03-17,6201.100098
2016-03-18,6189.600098
2016-03-21,6184.600098
2016-03-22,6192.700195
2016-03-23,6199.100098
2016-03-24,6106.500000
2016-03-29,6105.899902
2016-03-30,6203.200195
2016-03-31,6174.899902
2016-04-01,6146.100098
2016-04-04,6164.700195
2016-04-05,6091.200195
2016-04-06,6161.600098
2016-04-07,6136.899902
2016-04-08,6204.399902
2016-04-11,6200.100098
2016-04-12,6242.399902
2016-04-13,6362.899902
2016-04-14,6365.100098
2016-04-15,6343.799805
2016-04-18,6353.500000
2016-04-19,6405.399902
2016-04-20,6410.299805
2016-04-21,6381.399902
2016-04-22,6310.399902
2016-04-25,6260.899902
2016-04-26,6284.500000
2016-04-27,6319.899902
2016-04-28,6322.399902
2016-04-29,6241.899902
2016-05-03,6185.600098
2016-05-04,6112.000000
2016-05-05,6117.299805
2016-05-06,6125.700195
2016-05-09,6114.799805
2016-05-10,6156.700195
2016-05-11,6162.500000
2016-05-12,6104.200195
2016-05-13,6138.500000
2016-05-16,6151.399902
2016-05-17,6167.799805
2016-05-18,6165.799805
2016-05-19,6053.399902
2016-05-20,6156.299805
2016-05-23,6136.399902
2016-05-24,6219.299805
2016-05-25,6262.899902
2016-05-26,6265.700195
2016-05-27,6270.799805
2016-05-31,6230.799805
2016-06-01,6191.899902
2016-06-02,6185.600098
2016-06-03,6209.600098
2016-06-06,6273.399902
2016-06-07,6284.500000
2016-06-08,6301.500000
2016-06-09,6231.899902
2016-06-10,6115.799805
2016-06-13,6045.000000
2016-06-14,5923.500000
