date,value
2016-02-19,1229.500000
2016-02-22,1253.500000
2016-02-23,1220.000000
2016-02-24,1187.000000
2016-02-25,1233.000000
2016-02-26,1246.000000
2016-02-29,1257.500000
2016-03-01,1307.000000
2016-03-02,1329.500000
2016-03-03,1340.500000
2016-03-04,1346.500000
2016-03-07,1326.500000
2016-03-08,1326.500000
2016-03-09,1365.000000
2016-03-10,1319.500000
2016-03-11,1358.500000
2016-03-14,1346.000000
2016-03-15,1317.500000
2016-03-16,1338.500000
2016-03-17,1355.000000
2016-03-18,1371.000000
2016-03-21,1370.500000
2016-03-22,1355.500000
2016-03-23,1346.000000
2016-03-24,1275.500000
2016-03-29,1294.000000
2016-03-30,1302.000000
2016-03-31,1301.000000
2016-04-01,1279.000000
2016-04-04,1290.500000
2016-04-05,1268.000000
2016-04-06,1310.500000
2016-04-07,1281.000000
2016-04-08,1310.500000
2016-04-11,1313.000000
2016-04-12,1345.000000
2016-04-13,1404.000000
2016-04-14,1413.500000
2016-04-15,1395.000000
2016-04-18,1387.500000
2016-04-19,1425.500000
2016-04-20,1436.500000
2016-04-21,1449.000000
2016-04-22,1440.000000
2016-04-25,1413.500000
2016-04-26,1409.500000
2016-04-27,1385.000000
2016-04-28,1375.000000
2016-04-29,1347.500000
2016-05-03,1327.500000
2016-05-04,1312.000000
2016-05-05,1310.000000
2016-05-06,1303.500000
2016-05-09,1301.000000
2016-05-10,1310.000000
2016-05-11,1307.500000
2016-05-12,1275.000000
2016-05-13,1277.000000
2016-05-16,1278.000000
2016-05-17,1287.500000
2016-05-18,1309.500000
2016-05-19,1294.500000
2016-05-20,1334.000000
2016-05-23,1323.500000
2016-05-24,1386.000000
2016-05-25,1403.000000
2016-05-26,1388.000000
2016-05-27,1394.000000
2016-05-31,1380.000000
2016-06-01,1350.000000
2016-06-02,1350.000000
2016-06-03,1330.000000
2016-06-06,1345.500000
2016-06-07,1322.000000
2016-06-08,1316.000000
2016-06-09,1289.500000
2016-06-10,1242.000000
2016-06-13,1224.000000
2016-06-14,1196.500000
2016-06-15,1202.000000
2016-06-16,1196.500000
2016-06-17,1225.000000
2016-06-20,1288.000000
2016-06-21,1309.500000
2016-06-22,1322.000000
2016-06-23,1358.500000
2016-06-24,1235.000000
2016-06-27,1105.000000
2016-06-28,1190.500000
2016-06-29,1256.000000
2016-06-30,1257.000000
2016-07-01,1283.000000
2016-07-04,1260.000000
2016-07-05,1203.500000
2016-07-06,1151.500000
2016-07-07,1179.500000
2016-07-08,1220.000000
2016-07-11,1242.000000
2016-07-12,1284.000000
2016-07-13,1286.000000
2016-07-14,1302.500000
2016-07-15,1288.000000
2016-07-18,1308.000000
2016-07-19,1310.000000
2016-07-20,1336.500000
2016-07-21,1328.500000
2016-07-22,1332.000000
2016-07-25,1341.500000
2016-07-26,1330.000000
2016-07-27,1339.000000
2016-07-28,1307.500000
2016-07-29,1335.000000
2016-08-01,1327.500000
2016-08-02,1312.000000
2016-08-03,1309.000000
2016-08-04,1350.000000
2016-08-05,1377.500000
2016-08-08,1393.500000
2016-08-09,1392.000000
2016-08-10,1423.000000
2016-08-11,1423.500000
2016-08-12,1426.500000
2016-08-15,1442.500000
2016-08-16,1415.500000
2016-08-17,1397.500000
2016-08-18,1396.500000
2016-08-19,1383.000000
2016-08-22,1381.000000
2016-08-23,1397.500000
2016-08-24,1380.000000
2016-08-25,1360.500000
2016-08-26,1353.500000
2016-08-30,1358.000000
2016-08-31,1363.500000
2016-09-01,1364.500000
2016-09-02,1408.500000
2016-09-05,1402.000000
2016-09-06,1401.000000
2016-09-07,1405.000000
2016-09-08,1398.000000
2016-09-09,1400.000000
2016-09-12,1368.000000
2016-09-13,1333.500000
2016-09-14,1346.500000
2016-09-15,1364.500000
2016-09-16,1349.500000
2016-09-19,1376.000000
2016-09-20,1370.500000
2016-09-21,1394.000000
2016-09-22,1415.000000
2016-09-23,1408.000000
2016-09-26,1376.000000
2016-09-27,1360.500000
2016-09-28,1380.000000
2016-09-29,1390.500000
2016-09-30,1366.500000
2016-10-03,1395.000000
2016-10-04,1408.500000
2016-10-05,1428.000000
2016-10-06,1429.500000
2016-10-07,1439.000000
2016-10-10,1442.500000
2016-10-11,1438.000000
2016-10-12,1449.500000
2016-10-13,1382.000000
2016-10-14,1386.500000
2016-10-17,1367.500000
2016-10-18,1377.000000
2016-10-19,1385.000000
2016-10-20,1398.000000
2016-10-21,1385.000000
2016-10-24,1401.000000
2016-10-25,1402.500000
2016-10-26,1396.500000
2016-10-27,1395.500000
2016-10-28,1369.000000
2016-10-31,1334.500000
2016-11-01,1343.000000
2016-11-02,1330.000000
2016-11-03,1341.500000
2016-11-04,1304.500000
2016-11-07,1346.000000
2016-11-08,1353.000000
2016-11-09,1425.500000
2016-11-10,1531.000000
2016-11-11,1477.500000
2016-11-14,1510.000000
2016-11-15,1523.000000
2016-11-16,1520.500000
2016-11-17,1520.000000
2016-11-18,1515.000000
2016-11-21,1512.500000
2016-11-22,1542.000000
2016-11-23,1541.000000
2016-11-24,1559.500000
2016-11-25,1550.000000
2016-11-28,1543.000000
2016-11-29,1546.500000
2016-11-30,1548.500000
2016-12-01,1578.000000
2016-12-02,1561.000000
2016-12-05,1584.000000
2016-12-06,1584.500000
2016-12-07,1649.000000
2016-12-08,1627.500000
2016-12-09,1594.000000
2016-12-12,1564.500000
2016-12-13,1575.000000
2016-12-14,1568.500000
2016-12-15,1586.000000
2016-12-16,1583.000000
2016-12-19,1560.000000
2016-12-20,1592.500000
2016-12-21,1593.000000
2016-12-22,1604.000000
2016-12-23,1605.000000
2016-12-28,1610.500000
2016-12-29,1615.000000
2016-12-30,1627.500000
2017-01-03,1638.000000
2017-01-04,1642.000000
2017-01-05,1601.000000
2017-01-06,1612.500000
2017-01-09,1600.000000
2017-01-10,1580.000000
2017-01-11,1590.500000
2017-01-12,1590.000000
2017-01-13,1612.500000
2017-01-16,1578.000000
2017-01-17,1569.500000
2017-01-18,1553.000000
2017-01-19,1552.000000
2017-01-20,1548.500000
2017-01-23,1538.000000
2017-01-24,1555.000000
2017-01-25,1578.500000
2017-01-26,1586.500000
2017-01-27,1577.000000
2017-01-30,1550.000000
2017-01-31,1532.000000
2017-02-01,1557.500000
2017-02-02,1552.500000
2017-02-03,1600.500000
2017-02-06,1583.500000
2017-02-07,1584.000000
2017-02-08,1567.500000
2017-02-09,1600.500000
2017-02-10,1620.500000
2017-02-13,1622.000000
2017-02-14,1618.000000
2017-02-15,1637.000000
2017-02-16,1629.500000
2017-02-17,1614.000000
2017-02-20,1636.000000
2017-02-21,1621.500000
2017-02-22,1623.500000
2017-02-23,1615.000000
2017-02-24,1609.000000
2017-02-27,1614.000000
