date,value
2016-02-19,374.000000
2016-02-22,371.799988
2016-02-23,376.899994
2016-02-24,377.600006
2016-02-25,391.500000
2016-02-26,377.100006
2016-02-29,393.399994
2016-03-01,406.899994
2016-03-02,399.700012
2016-03-03,393.200012
2016-03-04,391.799988
2016-03-07,391.399994
2016-03-08,383.000000
2016-03-09,388.000000
2016-03-10,378.100006
2016-03-11,385.000000
2016-03-14,392.500000
2016-03-15,396.600006
2016-03-16,400.000000
2016-03-17,399.200012
2016-03-18,400.799988
2016-03-21,402.299988
2016-03-22,408.500000
2016-03-23,414.600006
2016-03-24,415.100006
2016-03-29,419.500000
2016-03-30,425.000000
2016-03-31,421.100006
2016-04-01,415.500000
2016-04-04,414.200012
2016-04-05,413.700012
2016-04-06,418.899994
2016-04-07,416.399994
2016-04-08,415.200012
2016-04-11,399.700012
2016-04-12,397.200012
2016-04-13,399.000000
2016-04-14,394.000000
2016-04-15,387.299988
2016-04-18,388.799988
2016-04-19,399.200012
2016-04-20,387.000000
2016-04-21,386.600006
2016-04-22,386.200012
2016-04-25,390.799988
2016-04-26,388.700012
2016-04-27,398.000000
2016-04-28,392.500000
2016-04-29,385.799988
2016-05-03,400.100006
2016-05-04,399.299988
2016-05-05,398.100006
2016-05-06,397.399994
2016-05-09,399.200012
2016-05-10,398.200012
2016-05-11,399.700012
2016-05-12,397.299988
2016-05-13,391.299988
2016-05-16,393.700012
2016-05-17,399.600006
2016-05-18,405.700012
2016-05-19,402.200012
2016-05-20,406.100006
2016-05-23,410.600006
2016-05-24,415.700012
2016-05-25,422.000000
2016-05-26,422.200012
2016-05-27,422.500000
2016-05-31,422.399994
2016-06-01,421.500000
2016-06-02,422.700012
2016-06-03,421.899994
2016-06-06,423.000000
2016-06-07,422.700012
2016-06-08,424.000000
2016-06-09,422.299988
2016-06-10,418.100006
2016-06-13,411.100006
2016-06-14,389.700012
2016-06-15,392.500000
2016-06-16,380.100006
2016-06-17,392.299988
2016-06-20,413.200012
2016-06-21,418.000000
2016-06-22,417.000000
2016-06-23,422.500000
2016-06-24,363.000000
2016-06-27,336.399994
2016-06-28,364.799988
2016-06-29,371.500000
2016-06-30,364.799988
2016-07-01,373.799988
2016-07-04,350.000000
2016-07-05,336.000000
2016-07-06,317.299988
2016-07-07,337.799988
2016-07-08,349.000000
2016-07-11,368.799988
2016-07-12,371.500000
2016-07-13,367.899994
2016-07-14,369.700012
2016-07-15,362.399994
2016-07-18,368.000000
2016-07-19,371.100006
2016-07-20,376.399994
2016-07-21,374.799988
2016-07-22,372.000000
2016-07-25,377.799988
2016-07-26,379.000000
2016-07-27,412.100006
2016-07-28,407.000000
2016-07-29,405.100006
2016-08-01,402.700012
