date,value
2016-02-19,642.000000
2016-02-22,658.500000
2016-02-23,663.500000
2016-02-24,653.500000
2016-02-25,670.000000
2016-02-26,679.000000
2016-02-29,679.000000
2016-03-01,683.000000
2016-03-02,680.000000
2016-03-03,716.000000
2016-03-04,722.500000
2016-03-07,721.500000
2016-03-08,706.500000
2016-03-09,700.000000
2016-03-10,682.000000
2016-03-11,686.000000
2016-03-14,681.500000
2016-03-15,676.000000
2016-03-16,675.500000
2016-03-17,701.500000
2016-03-18,716.500000
2016-03-21,702.500000
2016-03-22,694.500000
2016-03-23,679.000000
2016-03-24,678.500000
2016-03-29,674.500000
2016-03-30,690.000000
2016-03-31,682.000000
2016-04-01,662.500000
2016-04-04,659.500000
2016-04-05,652.000000
2016-04-06,658.000000
2016-04-07,655.000000
2016-04-08,667.000000
2016-04-11,664.000000
2016-04-12,657.500000
2016-04-13,674.500000
2016-04-14,672.000000
2016-04-15,665.000000
2016-04-18,665.500000
2016-04-19,696.500000
2016-04-20,684.000000
2016-04-21,692.000000
2016-04-22,684.000000
2016-04-25,673.000000
2016-04-26,669.000000
2016-04-27,673.000000
2016-04-28,694.000000
2016-04-29,669.500000
2016-05-03,642.000000
2016-05-04,645.000000
2016-05-05,630.000000
2016-05-06,646.500000
2016-05-09,642.000000
2016-05-10,648.500000
2016-05-11,658.500000
2016-05-12,643.500000
2016-05-13,650.000000
2016-05-16,663.000000
2016-05-17,664.000000
2016-05-18,656.000000
2016-05-19,634.500000
2016-05-20,643.000000
2016-05-23,635.000000
2016-05-24,638.500000
2016-05-25,624.000000
2016-05-26,625.500000
2016-05-27,615.000000
2016-05-31,619.000000
2016-06-01,605.000000
2016-06-02,607.000000
2016-06-03,605.500000
2016-06-06,612.500000
2016-06-07,606.500000
2016-06-08,611.500000
2016-06-09,599.500000
2016-06-10,603.500000
2016-06-13,600.500000
2016-06-14,600.000000
2016-06-15,612.500000
2016-06-16,603.000000
2016-06-17,615.000000
2016-06-20,634.000000
2016-06-21,631.000000
2016-06-22,635.500000
2016-06-23,644.500000
2016-06-24,649.000000
2016-06-27,652.000000
2016-06-28,669.500000
2016-06-29,704.500000
2016-06-30,711.500000
2016-07-01,711.500000
2016-07-04,706.500000
2016-07-05,711.000000
2016-07-06,699.000000
2016-07-07,728.500000
2016-07-08,735.000000
2016-07-11,724.000000
2016-07-12,724.000000
2016-07-13,746.500000
2016-07-14,746.500000
2016-07-15,744.500000
2016-07-18,738.000000
2016-07-19,739.500000
2016-07-20,743.000000
2016-07-21,744.000000
2016-07-22,720.500000
2016-07-25,718.000000
2016-07-26,727.000000
2016-07-27,732.000000
2016-07-28,831.000000
2016-07-29,791.000000
2016-08-01,791.500000
2016-08-02,760.500000
2016-08-03,751.000000
2016-08-04,757.500000
2016-08-05,759.000000
2016-08-08,756.500000
2016-08-09,763.500000
2016-08-10,797.000000
2016-08-11,799.000000
2016-08-12,799.500000
2016-08-15,796.000000
2016-08-16,788.000000
2016-08-17,782.500000
2016-08-18,789.000000
2016-08-19,792.000000
2016-08-22,784.500000
2016-08-23,794.000000
2016-08-24,788.500000
2016-08-25,774.000000
2016-08-26,784.500000
2016-08-30,767.500000
2016-08-31,770.000000
2016-09-01,760.000000
2016-09-02,783.500000
2016-09-05,783.000000
2016-09-06,774.000000
2016-09-07,767.000000
2016-09-08,750.000000
2016-09-09,725.500000
2016-09-12,718.000000
2016-09-13,719.500000
2016-09-14,726.000000
2016-09-15,729.500000
2016-09-16,727.500000
2016-09-19,739.500000
2016-09-20,733.000000
2016-09-21,726.000000
2016-09-22,733.000000
2016-09-23,722.500000
2016-09-26,712.000000
2016-09-27,711.000000
2016-09-28,717.500000
2016-09-29,712.500000
2016-09-30,720.000000
2016-10-03,737.500000
2016-10-04,760.500000
2016-10-05,754.500000
2016-10-06,760.000000
2016-10-07,775.500000
2016-10-10,785.500000
2016-10-11,774.500000
2016-10-12,754.000000
2016-10-13,751.500000
2016-10-14,764.500000
2016-10-17,773.500000
2016-10-18,761.000000
2016-10-19,766.000000
2016-10-20,766.000000
2016-10-21,755.000000
2016-10-24,746.000000
2016-10-25,739.000000
2016-10-26,736.500000
2016-10-27,740.500000
2016-10-28,734.500000
2016-10-31,726.500000
2016-11-01,726.000000
2016-11-02,720.000000
2016-11-03,707.500000
2016-11-04,712.500000
2016-11-07,724.000000
2016-11-08,718.500000
2016-11-09,758.000000
2016-11-10,770.500000
2016-11-11,740.500000
2016-11-14,746.000000
2016-11-15,754.500000
2016-11-16,738.500000
2016-11-17,699.000000
2016-11-18,657.500000
2016-11-21,657.000000
2016-11-22,660.000000
