date,value
2016-02-19,973.000000
2016-02-22,985.000000
2016-02-23,973.000000
2016-02-24,949.000000
2016-02-25,973.000000
2016-02-26,999.500000
2016-02-29,1002.000000
2016-03-01,1005.000000
2016-03-02,998.000000
2016-03-03,1029.000000
2016-03-04,1060.000000
2016-03-07,1047.000000
2016-03-08,1040.000000
2016-03-09,1043.000000
2016-03-10,1027.000000
2016-03-11,1057.000000
2016-03-14,1079.000000
2016-03-15,1077.000000
2016-03-16,1050.000000
2016-03-17,1076.000000
2016-03-18,1106.000000
2016-03-21,1121.000000
2016-03-22,1112.000000
2016-03-23,1094.000000
2016-03-24,1066.000000
2016-03-29,1068.000000
2016-03-30,1087.000000
2016-03-31,1076.000000
2016-04-01,1062.000000
2016-04-04,1066.000000
2016-04-05,1051.000000
2016-04-06,1060.000000
2016-04-07,1056.000000
2016-04-08,1082.000000
2016-04-11,1104.000000
2016-04-12,1099.000000
2016-04-13,1113.000000
2016-04-14,1107.000000
2016-04-15,1093.000000
2016-04-18,1091.000000
2016-04-19,1117.000000
2016-04-20,1108.000000
2016-04-21,1152.000000
2016-04-22,1152.000000
2016-04-25,1132.000000
2016-04-26,1138.000000
2016-04-27,1140.000000
2016-04-28,1137.000000
2016-04-29,1108.000000
2016-05-03,1089.000000
2016-05-04,1080.000000
2016-05-05,1090.000000
2016-05-06,1083.000000
2016-05-09,1083.000000
2016-05-10,1093.000000
2016-05-11,1097.000000
2016-05-12,1081.000000
2016-05-13,1075.000000
2016-05-16,1080.000000
2016-05-17,1095.000000
2016-05-18,1089.000000
2016-05-19,1076.000000
2016-05-20,1095.000000
2016-05-23,1095.000000
2016-05-24,1099.000000
2016-05-25,1111.000000
2016-05-26,1119.000000
2016-05-27,1123.000000
2016-05-31,1122.000000
2016-06-01,1119.000000
2016-06-02,1116.000000
2016-06-03,1117.000000
2016-06-06,1128.000000
2016-06-07,1144.000000
2016-06-08,1131.000000
2016-06-09,1123.000000
2016-06-10,1111.000000
2016-06-13,1093.000000
2016-06-14,1073.000000
2016-06-15,1085.000000
2016-06-16,1066.000000
2016-06-17,1087.000000
2016-06-20,1131.000000
2016-06-21,1133.000000
2016-06-22,1111.000000
2016-06-23,1120.000000
2016-06-24,1086.000000
2016-06-27,1060.000000
2016-06-28,1075.000000
2016-06-29,1100.000000
2016-06-30,1153.000000
