date,value
2016-02-19,1394.000000
2016-02-22,1420.000000
2016-02-23,1383.000000
2016-02-24,1362.000000
2016-02-25,1381.000000
2016-02-26,1389.000000
2016-02-29,1385.000000
2016-03-01,1395.000000
2016-03-02,1391.000000
2016-03-03,1430.000000
2016-03-04,1433.000000
2016-03-07,1430.000000
2016-03-08,1435.000000
2016-03-09,1468.000000
2016-03-10,1445.000000
2016-03-11,1462.000000
2016-03-14,1470.000000
2016-03-15,1464.000000
2016-03-16,1461.000000
2016-03-17,1474.000000
2016-03-18,1470.000000
2016-03-21,1468.000000
2016-03-22,1458.000000
2016-03-23,1460.000000
2016-03-24,1460.000000
2016-03-29,1479.000000
2016-03-30,1508.000000
2016-03-31,1492.000000
2016-04-01,1485.000000
2016-04-04,1491.000000
2016-04-05,1486.000000
2016-04-06,1499.000000
2016-04-07,1499.000000
2016-04-08,1506.000000
2016-04-11,1505.000000
2016-04-12,1521.000000
2016-04-13,1519.000000
2016-04-14,1532.000000
2016-04-15,1526.000000
2016-04-18,1524.000000
2016-04-19,1531.000000
2016-04-20,1524.000000
2016-04-21,1498.000000
2016-04-22,1482.000000
2016-04-25,1488.000000
2016-04-26,1496.000000
2016-04-27,1536.000000
2016-04-28,1523.000000
2016-04-29,1510.000000
2016-05-03,1503.000000
2016-05-04,1486.000000
2016-05-05,1476.000000
2016-05-06,1500.000000
2016-05-09,1507.000000
2016-05-10,1528.000000
2016-05-11,1514.000000
2016-05-12,1532.000000
2016-05-13,1538.000000
2016-05-16,1521.000000
2016-05-17,1547.000000
2016-05-18,1525.000000
2016-05-19,1496.000000
2016-05-20,1535.000000
2016-05-23,1520.000000
2016-05-24,1530.000000
2016-05-25,1540.000000
2016-05-26,1547.000000
2016-05-27,1544.000000
2016-05-31,1532.000000
2016-06-01,1521.000000
2016-06-02,1521.000000
2016-06-03,1540.000000
2016-06-06,1550.000000
2016-06-07,1529.000000
2016-06-08,1542.000000
2016-06-09,1547.000000
2016-06-10,1531.000000
2016-06-13,1509.000000
2016-06-14,1460.000000
2016-06-15,1463.000000
2016-06-16,1458.000000
2016-06-17,1474.000000
2016-06-20,1539.000000
2016-06-21,1547.000000
2016-06-22,1538.000000
2016-06-23,1550.000000
2016-06-24,1420.000000
2016-06-27,1369.000000
2016-06-28,1416.000000
2016-06-29,1472.000000
2016-06-30,1554.000000
2016-07-01,1570.000000
2016-07-04,1586.000000
2016-07-05,1570.000000
2016-07-06,1559.000000
2016-07-07,1551.000000
2016-07-08,1560.000000
2016-07-11,1594.000000
2016-07-12,1578.000000
2016-07-13,1593.000000
2016-07-14,1581.000000
2016-07-15,1586.000000
2016-07-18,1600.000000
2016-07-19,1605.000000
2016-07-20,1625.000000
2016-07-21,1611.000000
2016-07-22,1613.000000
2016-07-25,1628.000000
2016-07-26,1626.000000
2016-07-27,1626.000000
2016-07-28,1541.000000
2016-07-29,1516.000000
2016-08-01,1521.000000
2016-08-02,1503.000000
2016-08-03,1509.000000
2016-08-04,1539.000000
2016-08-05,1538.000000
2016-08-08,1538.000000
2016-08-09,1536.000000
2016-08-10,1526.000000
2016-08-11,1546.000000
2016-08-12,1555.000000
2016-08-15,1555.000000
2016-08-16,1526.000000
2016-08-17,1515.000000
2016-08-18,1523.000000
2016-08-19,1521.000000
2016-08-22,1522.000000
2016-08-23,1526.000000
2016-08-24,1518.000000
2016-08-25,1518.000000
2016-08-26,1520.000000
