date,value
2016-02-19,892.000000
2016-02-22,899.000000
2016-02-23,878.000000
2016-02-24,856.500000
2016-02-25,874.500000
2016-02-26,870.000000
2016-02-29,858.000000
2016-03-01,855.500000
2016-03-02,847.500000
2016-03-03,856.000000
2016-03-04,859.000000
2016-03-07,888.000000
2016-03-08,880.000000
2016-03-09,865.000000
2016-03-10,853.500000
2016-03-11,894.000000
2016-03-14,903.500000
2016-03-15,900.000000
2016-03-16,934.500000
2016-03-17,928.500000
2016-03-18,940.000000
2016-03-21,940.500000
2016-03-22,940.000000
2016-03-23,935.500000
2016-03-24,910.000000
2016-03-29,922.000000
2016-03-30,926.000000
2016-03-31,918.500000
2016-04-01,908.000000
2016-04-04,906.500000
2016-04-05,890.000000
2016-04-06,904.500000
2016-04-07,874.000000
2016-04-08,885.000000
2016-04-11,896.000000
2016-04-12,908.500000
2016-04-13,945.500000
2016-04-14,935.500000
2016-04-15,917.500000
2016-04-18,913.000000
2016-04-19,919.000000
2016-04-20,921.000000
2016-04-21,910.500000
2016-04-22,907.000000
2016-04-25,915.500000
2016-04-26,918.000000
2016-04-27,908.000000
2016-04-28,881.000000
2016-04-29,867.000000
2016-05-03,861.500000
2016-05-04,857.500000
2016-05-05,855.000000
2016-05-06,860.500000
2016-05-09,871.000000
2016-05-10,871.000000
2016-05-11,867.000000
2016-05-12,858.000000
2016-05-13,863.000000
2016-05-16,871.500000
2016-05-17,881.500000
2016-05-18,899.000000
2016-05-19,885.000000
2016-05-20,896.000000
2016-05-23,901.000000
2016-05-24,943.500000
2016-05-25,928.000000
2016-05-26,926.500000
2016-05-27,932.000000
2016-05-31,927.500000
2016-06-01,915.000000
2016-06-02,909.000000
2016-06-03,904.000000
2016-06-06,895.500000
2016-06-07,891.000000
2016-06-08,893.500000
2016-06-09,882.500000
2016-06-10,862.000000
2016-06-13,840.500000
2016-06-14,810.000000
2016-06-15,816.000000
2016-06-16,805.500000
2016-06-17,824.000000
2016-06-20,878.000000
2016-06-21,887.500000
2016-06-22,909.000000
2016-06-23,924.000000
2016-06-24,774.500000
2016-06-27,716.000000
2016-06-28,759.500000
2016-06-29,785.500000
2016-06-30,785.000000
2016-07-01,820.000000
2016-07-04,792.500000
2016-07-05,766.000000
2016-07-06,745.000000
2016-07-07,757.500000
2016-07-08,771.500000
2016-07-11,789.500000
2016-07-12,825.500000
2016-07-13,837.000000
2016-07-14,865.500000
2016-07-15,847.000000
2016-07-18,853.500000
2016-07-19,859.000000
2016-07-20,898.000000
2016-07-21,880.500000
2016-07-22,870.500000
2016-07-25,888.000000
2016-07-26,884.000000
2016-07-27,917.500000
2016-07-28,920.000000
2016-07-29,926.000000
2016-08-01,916.000000
2016-08-02,915.000000
2016-08-03,907.500000
2016-08-04,924.000000
2016-08-05,945.000000
2016-08-08,948.000000
2016-08-09,952.500000
2016-08-10,965.000000
2016-08-11,971.000000
2016-08-12,979.000000
2016-08-15,979.500000
2016-08-16,959.000000
2016-08-17,954.500000
2016-08-18,962.500000
2016-08-19,951.500000
2016-08-22,953.000000
2016-08-23,968.000000
2016-08-24,965.500000
2016-08-25,962.500000
2016-08-26,961.000000
2016-08-30,973.500000
2016-08-31,982.000000
2016-09-01,968.000000
2016-09-02,983.500000
2016-09-05,976.000000
2016-09-06,972.000000
2016-09-07,971.500000
2016-09-08,985.500000
2016-09-09,969.500000
2016-09-12,944.500000
2016-09-13,932.000000
2016-09-14,939.000000
2016-09-15,944.000000
2016-09-16,931.000000
2016-09-19,953.500000
2016-09-20,963.000000
2016-09-21,971.000000
2016-09-22,976.000000
2016-09-23,972.500000
2016-09-26,953.000000
2016-09-27,951.000000
2016-09-28,961.500000
2016-09-29,965.000000
2016-09-30,948.000000
2016-10-03,969.500000
2016-10-04,970.500000
2016-10-05,979.000000
2016-10-06,969.000000
2016-10-07,963.000000
2016-10-10,949.000000
2016-10-11,942.500000
2016-10-12,946.000000
2016-10-13,931.500000
2016-10-14,925.500000
2016-10-17,917.000000
2016-10-18,932.500000
2016-10-19,933.500000
2016-10-20,927.500000
2016-10-21,939.000000
2016-10-24,949.000000
2016-10-25,964.000000
2016-10-26,960.000000
2016-10-27,960.500000
2016-10-28,953.000000
2016-10-31,945.000000
2016-11-01,946.000000
2016-11-02,924.000000
2016-11-03,939.000000
2016-11-04,908.500000
2016-11-07,924.000000
2016-11-08,933.500000
2016-11-09,956.000000
2016-11-10,954.000000
2016-11-11,937.500000
2016-11-14,940.500000
2016-11-15,953.500000
2016-11-16,944.500000
2016-11-17,946.500000
2016-11-18,952.000000
2016-11-21,932.500000
2016-11-22,944.000000
2016-11-23,940.000000
2016-11-24,942.500000
2016-11-25,937.000000
2016-11-28,939.000000
2016-11-29,947.000000
2016-11-30,940.000000
2016-12-01,942.500000
2016-12-02,939.500000
2016-12-05,940.000000
2016-12-06,943.500000
2016-12-07,985.000000
2016-12-08,987.500000
2016-12-09,999.500000
2016-12-12,979.500000
2016-12-13,989.000000
2016-12-14,1010.000000
2016-12-15,1000.000000
2016-12-16,999.000000
2016-12-19,990.500000
2016-12-20,992.000000
2016-12-21,987.500000
2016-12-22,993.500000
2016-12-23,998.500000
2016-12-28,1001.000000
2016-12-29,1004.000000
2016-12-30,1014.000000
2017-01-03,1036.000000
2017-01-04,1047.000000
2017-01-05,1050.000000
2017-01-06,1060.000000
2017-01-09,1057.000000
2017-01-10,1064.000000
2017-01-11,1073.000000
2017-01-12,1059.000000
2017-01-13,1085.000000
2017-01-16,1067.000000
2017-01-17,1058.000000
2017-01-18,1052.000000
2017-01-19,1053.000000
2017-01-20,1060.000000
2017-01-23,1058.000000
2017-01-24,1060.000000
2017-01-25,1093.000000
2017-01-26,1073.000000
2017-01-27,1083.000000
2017-01-30,1069.000000
2017-01-31,1071.000000
2017-02-01,1078.000000
2017-02-02,1071.000000
2017-02-03,1080.000000
2017-02-06,1064.000000
2017-02-07,1068.000000
2017-02-08,1065.000000
2017-02-09,1082.000000
2017-02-10,1083.000000
2017-02-13,1092.000000
2017-02-14,1097.000000
2017-02-15,1106.000000
2017-02-16,1095.000000
2017-02-17,1090.000000
2017-02-20,1102.000000
2017-02-21,1090.000000
2017-02-22,1087.000000
2017-02-23,1087.000000
2017-02-24,1085.000000
2017-02-27,1088.000000
2017-02-28,1055.000000
2017-03-01,1076.000000
2017-03-02,1082.000000
2017-03-03,1080.000000
2017-03-06,1086.000000
2017-03-07,1079.000000
2017-03-08,1082.000000
2017-03-09,1085.000000
2017-03-10,1083.000000
2017-03-13,1093.000000
2017-03-14,1085.000000
2017-03-15,1083.000000
2017-03-16,1080.000000
2017-03-17,1072.000000
2017-03-20,1077.000000
2017-03-21,1057.000000
2017-03-22,1041.000000
2017-03-23,1056.000000
2017-03-24,1061.000000
2017-03-27,1057.000000
2017-03-28,1056.000000
2017-03-29,1061.000000
2017-03-30,1062.000000
2017-03-31,1062.000000
2017-04-03,1055.000000
2017-04-04,1065.000000
2017-04-05,1053.000000
2017-04-06,1034.000000
2017-04-07,1030.000000
2017-04-10,1047.000000
2017-04-11,1053.000000
2017-04-12,1058.000000
2017-04-13,1066.000000
2017-04-18,1061.000000
2017-04-19,1058.000000
2017-04-20,1078.000000
2017-04-21,1086.000000
2017-04-24,1115.000000
2017-04-25,1128.000000
2017-04-26,1131.000000
2017-04-27,1139.000000
2017-04-28,1148.000000
2017-05-02,1152.000000
2017-05-03,1152.000000
2017-05-04,1159.000000
2017-05-05,1169.000000
2017-05-08,1163.000000
2017-05-09,1174.000000
2017-05-10,1172.000000
2017-05-11,1166.000000
2017-05-12,1180.000000
2017-05-15,1178.000000
2017-05-16,1170.000000
2017-05-17,1155.000000
2017-05-18,1168.000000
2017-05-19,1169.000000
2017-05-22,1165.000000
2017-05-23,1177.000000
2017-05-24,1180.000000
2017-05-25,1177.000000
2017-05-26,1172.000000
2017-05-30,1183.000000
2017-05-31,1173.000000
2017-06-01,1186.000000
2017-06-02,1193.000000
2017-06-05,1173.000000
2017-06-06,1159.000000
2017-06-07,1163.000000
2017-06-08,1156.000000
2017-06-09,1185.000000
2017-06-12,1179.000000
2017-06-13,1196.000000
2017-06-14,1202.000000
2017-06-15,1186.000000
2017-06-16,1236.000000
2017-06-19,1238.000000
2017-06-20,1227.000000
2017-06-21,1205.000000
2017-06-22,1195.000000
2017-06-23,1195.000000
2017-06-26,1196.369995
2017-06-27,1182.040039
2017-06-28,1183.000000
2017-06-29,1171.000000
2017-06-30,1182.000000
2017-07-03,1195.000000
2017-07-04,1195.000000
2017-07-05,1196.000000
2017-07-06,1185.000000
2017-07-07,1194.000000
2017-07-10,1194.000000
2017-07-11,1176.000000
2017-07-12,1174.000000
2017-07-13,1176.000000
2017-07-14,1171.000000
2017-07-17,1185.000000
2017-07-18,1209.000000
2017-07-19,1223.000000
2017-07-20,1231.000000
2017-07-21,1219.000000
2017-07-24,1184.000000
2017-07-25,1204.000000
2017-07-26,1220.000000
2017-07-27,1227.000000
2017-07-28,1211.000000
2017-07-31,1217.000000
2017-08-01,1217.000000
2017-08-02,1220.000000
2017-08-03,1222.000000
2017-08-04,1225.000000
2017-08-07,1229.000000
2017-08-08,1228.000000
2017-08-09,1210.000000
2017-08-10,1185.000000
2017-08-11,1166.000000
2017-08-14,1179.000000
2017-08-15,1183.000000
2017-08-16,1200.000000
2017-08-17,1191.000000
2017-08-18,1189.000000
2017-08-21,1173.000000
2017-08-22,1179.000000
2017-08-23,1178.000000
2017-08-24,1179.000000
2017-08-25,1189.000000
2017-08-29,1172.000000
2017-08-30,1170.000000
2017-08-31,1153.000000
2017-09-01,1158.000000
2017-09-04,1148.000000
2017-09-05,1141.000000
2017-09-06,1127.000000
2017-09-07,1118.000000
2017-09-08,1142.000000
2017-09-11,1150.000000
2017-09-12,1135.000000
2017-09-13,1127.000000
2017-09-14,1115.000000
2017-09-15,1108.000000
2017-09-18,1126.000000
2017-09-19,1136.000000
2017-09-20,1123.000000
2017-09-21,1123.000000
2017-09-22,1120.000000
2017-09-25,1118.000000
2017-09-26,1110.000000
2017-09-27,1133.000000
2017-09-28,1143.000000
2017-09-29,1146.000000
2017-10-02,1141.000000
2017-10-03,1131.000000
2017-10-04,1125.000000
2017-10-05,1129.000000
2017-10-06,1132.000000
2017-10-09,1124.000000
2017-10-10,1116.000000
2017-10-11,1130.000000
2017-10-12,1176.000000
2017-10-13,1177.000000
2017-10-16,1183.000000
2017-10-17,1157.000000
2017-10-18,1164.000000
2017-10-19,1167.000000
2017-10-20,1176.000000
2017-10-23,1170.000000
2017-10-24,1193.000000
2017-10-25,1165.000000
2017-10-26,1184.000000
2017-10-27,1176.000000
2017-10-30,1173.000000
2017-10-31,1177.000000
2017-11-01,1182.000000
2017-11-02,1200.000000
2017-11-03,1182.000000
2017-11-06,1182.000000
2017-11-07,1179.000000
2017-11-08,1165.000000
2017-11-09,1146.000000
2017-11-10,1146.000000
2017-11-13,1128.000000
2017-11-14,1143.000000
2017-11-15,1135.000000
2017-11-16,1142.000000
2017-11-17,1155.000000
2017-11-20,1158.000000
2017-11-21,1150.000000
2017-11-22,1170.000000
2017-11-23,1179.000000
2017-11-24,1186.000000
2017-11-27,1190.000000
2017-11-28,1206.000000
2017-11-29,1212.000000
2017-11-30,1214.000000
2017-12-01,1196.000000
2017-12-04,1200.000000
2017-12-05,1175.000000
2017-12-06,1169.000000
2017-12-07,1152.000000
2017-12-08,1157.000000
2017-12-11,1162.000000
2017-12-12,1163.000000
2017-12-13,1160.000000
2017-12-14,1172.000000
2017-12-15,1184.000000
2017-12-18,1194.000000
2017-12-19,1201.000000
2017-12-20,1191.000000
2017-12-21,1201.000000
2017-12-22,1202.000000
2017-12-27,1210.000000
2017-12-28,1216.000000
2017-12-29,1226.000000
2018-01-02,1237.000000
2018-01-03,1237.000000
2018-01-04,1244.000000
2018-01-05,1251.000000
2018-01-08,1244.000000
2018-01-09,1255.500000
2018-01-10,1257.500000
2018-01-11,1239.500000
