date,value
2016-02-19,1060.000000
2016-02-22,1073.000000
2016-02-23,1064.000000
2016-02-24,1040.000000
2016-02-25,1073.000000
2016-02-26,1078.000000
2016-02-29,1072.000000
2016-03-01,1084.000000
2016-03-02,1060.000000
2016-03-03,1026.000000
2016-03-04,1043.000000
2016-03-07,1030.000000
2016-03-08,1026.000000
2016-03-09,1019.000000
2016-03-10,1016.000000
2016-03-11,1035.000000
2016-03-14,1045.000000
2016-03-15,1046.000000
2016-03-16,989.500000
2016-03-17,992.000000
2016-03-18,1025.000000
2016-03-21,1003.000000
2016-03-22,975.000000
2016-03-23,987.500000
2016-03-24,988.500000
2016-03-29,994.500000
2016-03-30,1028.000000
2016-03-31,1079.000000
2016-04-01,1081.000000
2016-04-04,1051.000000
2016-04-05,1048.000000
2016-04-06,1045.000000
2016-04-07,1049.000000
2016-04-08,1044.000000
2016-04-11,1029.000000
2016-04-12,1034.000000
2016-04-13,1052.000000
2016-04-14,1059.000000
2016-04-15,1041.000000
2016-04-18,1065.000000
2016-04-19,1046.000000
2016-04-20,1026.000000
2016-04-21,1005.000000
2016-04-22,986.500000
2016-04-25,981.500000
2016-04-26,1006.000000
2016-04-27,1023.000000
2016-04-28,1024.000000
2016-04-29,991.000000
2016-05-03,982.500000
2016-05-04,986.000000
2016-05-05,1005.000000
2016-05-06,1000.000000
2016-05-09,1037.000000
2016-05-10,1068.000000
2016-05-11,1052.000000
2016-05-12,1057.000000
2016-05-13,1040.000000
2016-05-16,1053.000000
2016-05-17,1029.000000
2016-05-18,1033.000000
2016-05-19,1008.000000
2016-05-20,1039.000000
2016-05-23,1045.000000
2016-05-24,1058.000000
2016-05-25,1057.000000
2016-05-26,1039.000000
2016-05-27,1050.000000
2016-05-31,1057.000000
2016-06-01,1038.000000
2016-06-02,1042.000000
2016-06-03,1049.000000
2016-06-06,1050.000000
2016-06-07,1045.000000
2016-06-08,1027.000000
2016-06-09,1022.000000
2016-06-10,990.000000
2016-06-13,979.000000
2016-06-14,960.500000
2016-06-15,968.000000
2016-06-16,960.500000
2016-06-17,1006.000000
2016-06-20,1029.000000
2016-06-21,1015.000000
2016-06-22,1029.000000
2016-06-23,1042.000000
2016-06-24,954.000000
2016-06-27,855.500000
2016-06-28,878.000000
2016-06-29,844.500000
2016-06-30,851.500000
2016-07-01,903.000000
2016-07-04,895.500000
2016-07-05,888.000000
2016-07-06,888.000000
2016-07-07,921.000000
2016-07-08,954.500000
2016-07-11,994.500000
2016-07-12,1000.000000
2016-07-13,992.500000
2016-07-14,972.500000
2016-07-15,961.500000
2016-07-18,942.500000
2016-07-19,945.000000
2016-07-20,949.500000
2016-07-21,930.500000
2016-07-22,921.000000
2016-07-25,911.000000
2016-07-26,924.500000
2016-07-27,937.000000
2016-07-28,962.500000
2016-07-29,984.500000
2016-08-01,982.500000
2016-08-02,968.500000
2016-08-03,966.000000
2016-08-04,964.000000
2016-08-05,987.000000
2016-08-08,979.500000
2016-08-09,1016.000000
2016-08-10,1012.000000
2016-08-11,1041.000000
2016-08-12,1041.000000
2016-08-15,1036.000000
2016-08-16,1031.000000
2016-08-17,1028.000000
2016-08-18,1032.000000
2016-08-19,1034.000000
2016-08-22,1029.000000
2016-08-23,1047.000000
2016-08-24,1039.000000
2016-08-25,1033.000000
2016-08-26,1044.000000
2016-08-30,1039.000000
2016-08-31,1063.000000
2016-09-01,1048.000000
2016-09-02,1046.000000
2016-09-05,1044.000000
2016-09-06,1046.000000
2016-09-07,1027.000000
2016-09-08,1026.000000
2016-09-09,1020.000000
2016-09-12,1013.000000
2016-09-13,1006.000000
2016-09-14,1015.000000
2016-09-15,1027.000000
2016-09-16,1067.000000
2016-09-19,1062.000000
2016-09-20,1075.000000
2016-09-21,1049.000000
2016-09-22,1093.000000
2016-09-23,1091.000000
2016-09-26,1070.000000
2016-09-27,1086.000000
2016-09-28,1100.000000
2016-09-29,1098.000000
2016-09-30,1097.000000
2016-10-03,1109.000000
2016-10-04,1134.000000
2016-10-05,1114.000000
2016-10-06,1129.000000
2016-10-07,1115.000000
2016-10-10,1090.000000
2016-10-11,1082.000000
2016-10-12,1066.000000
2016-10-13,1072.000000
2016-10-14,1071.000000
2016-10-17,1055.000000
2016-10-18,1059.000000
2016-10-19,1050.000000
2016-10-20,1049.000000
2016-10-21,1047.000000
2016-10-24,1045.000000
2016-10-25,1029.000000
2016-10-26,1020.000000
2016-10-27,1035.000000
2016-10-28,1036.000000
2016-10-31,1037.000000
2016-11-01,1045.000000
2016-11-02,1048.000000
2016-11-03,1058.000000
2016-11-04,1028.000000
2016-11-07,1049.000000
2016-11-08,1050.000000
2016-11-09,1041.000000
2016-11-10,1041.000000
2016-11-11,1010.000000
2016-11-14,1014.000000
2016-11-15,1022.000000
2016-11-16,1030.000000
2016-11-17,1001.000000
2016-11-18,1034.000000
2016-11-21,1042.000000
2016-11-22,1059.000000
2016-11-23,1053.000000
2016-11-24,1057.000000
2016-11-25,1055.000000
2016-11-28,1039.000000
2016-11-29,1053.000000
2016-11-30,1054.000000
2016-12-01,1058.000000
2016-12-02,1035.000000
2016-12-05,1049.000000
2016-12-06,1042.000000
2016-12-07,1064.000000
2016-12-08,1099.000000
2016-12-09,1077.000000
2016-12-12,1051.000000
2016-12-13,1073.000000
2016-12-14,1077.000000
2016-12-15,1095.000000
2016-12-16,1109.000000
2016-12-19,1123.000000
2016-12-20,1129.000000
2016-12-21,1115.000000
2016-12-22,1139.000000
2016-12-23,1148.000000
2016-12-28,1136.000000
2016-12-29,1142.000000
2016-12-30,1163.000000
2017-01-03,1159.000000
2017-01-04,1167.000000
2017-01-05,1171.000000
2017-01-06,1165.000000
2017-01-09,1177.000000
2017-01-10,1191.000000
2017-01-11,1137.000000
2017-01-12,1124.000000
2017-01-13,1141.000000
2017-01-16,1130.000000
2017-01-17,1107.000000
2017-01-18,1128.000000
2017-01-19,1131.000000
2017-01-20,1132.000000
2017-01-23,1145.000000
2017-01-24,1137.000000
2017-01-25,1150.000000
2017-01-26,1152.000000
2017-01-27,1160.000000
2017-01-30,1158.000000
2017-01-31,1162.000000
2017-02-01,1153.000000
2017-02-02,1162.000000
2017-02-03,1179.000000
2017-02-06,1180.000000
2017-02-07,1178.000000
2017-02-08,1189.000000
2017-02-09,1165.000000
2017-02-10,1158.000000
2017-02-13,1157.000000
2017-02-14,1218.000000
2017-02-15,1130.000000
2017-02-16,1121.000000
2017-02-17,1124.000000
2017-02-20,1133.000000
2017-02-21,1124.000000
2017-02-22,1126.000000
2017-02-23,1125.000000
2017-02-24,1125.000000
2017-02-27,1133.000000
2017-02-28,1138.000000
2017-03-01,1145.000000
2017-03-02,1148.000000
2017-03-03,1134.000000
2017-03-06,1130.000000
2017-03-07,1128.000000
2017-03-08,1136.000000
2017-03-09,1153.000000
2017-03-10,1150.000000
2017-03-13,1156.000000
2017-03-14,1156.000000
2017-03-15,1141.000000
2017-03-16,1136.000000
2017-03-17,1142.000000
2017-03-20,1139.000000
2017-03-21,1118.000000
2017-03-22,1093.000000
2017-03-23,1123.000000
2017-03-24,1122.000000
2017-03-27,1121.000000
2017-03-28,1135.000000
2017-03-29,1123.000000
2017-03-30,1126.000000
2017-03-31,1106.000000
2017-04-03,1092.000000
2017-04-04,1093.000000
2017-04-05,1084.000000
2017-04-06,1094.000000
2017-04-07,1094.000000
2017-04-10,1096.000000
2017-04-11,1095.000000
2017-04-12,1097.000000
2017-04-13,1094.000000
2017-04-18,1068.000000
2017-04-19,1092.000000
2017-04-20,1097.000000
2017-04-21,1105.000000
2017-04-24,1144.000000
2017-04-25,1138.000000
2017-04-26,1137.000000
2017-04-27,1131.000000
2017-04-28,1123.000000
2017-05-02,1126.000000
2017-05-03,1131.000000
2017-05-04,1164.000000
2017-05-05,1186.000000
2017-05-08,1182.000000
2017-05-09,1176.000000
2017-05-10,1180.000000
2017-05-11,1180.000000
2017-05-12,1190.000000
2017-05-15,1133.000000
2017-05-16,1119.000000
2017-05-17,1130.000000
2017-05-18,1128.000000
2017-05-19,1131.000000
2017-05-22,1152.000000
2017-05-23,1141.000000
2017-05-24,1173.000000
2017-05-25,1163.000000
2017-05-26,1169.000000
2017-05-30,1192.000000
2017-05-31,1198.000000
2017-06-01,1190.000000
2017-06-02,1198.000000
2017-06-05,1184.000000
2017-06-06,1162.000000
2017-06-07,1158.000000
2017-06-08,1151.000000
2017-06-09,1155.000000
2017-06-12,1142.000000
2017-06-13,1159.000000
2017-06-14,1158.000000
2017-06-15,1131.000000
2017-06-16,1154.000000
2017-06-19,1161.000000
2017-06-20,1142.000000
2017-06-21,1151.000000
2017-06-22,1126.000000
2017-06-23,1133.000000
2017-06-26,1151.699951
2017-06-27,1121.390015
2017-06-28,1124.000000
2017-06-29,1109.000000
2017-06-30,1119.000000
2017-07-03,1116.000000
2017-07-04,1114.000000
2017-07-05,1121.000000
2017-07-06,1120.000000
2017-07-07,1129.000000
2017-07-10,1134.000000
2017-07-11,1142.000000
2017-07-12,1150.000000
2017-07-13,1169.000000
2017-07-14,1148.000000
2017-07-17,1151.000000
2017-07-18,1168.000000
2017-07-19,1193.000000
2017-07-20,1213.000000
2017-07-21,1194.000000
2017-07-24,1177.000000
2017-07-25,1181.000000
2017-07-26,1186.000000
2017-07-27,1206.000000
2017-07-28,1197.000000
2017-07-31,1191.000000
2017-08-01,1219.000000
2017-08-02,1226.000000
2017-08-03,1232.000000
2017-08-04,1244.000000
2017-08-07,1254.000000
2017-08-08,1249.000000
2017-08-09,1247.000000
2017-08-10,1245.000000
2017-08-11,1231.000000
2017-08-14,1290.000000
2017-08-15,1319.000000
2017-08-16,1325.000000
2017-08-17,1334.000000
2017-08-18,1325.000000
2017-08-21,1328.000000
2017-08-22,1340.000000
2017-08-23,1330.000000
2017-08-24,1308.000000
2017-08-25,1306.000000
2017-08-29,1290.000000
2017-08-30,1292.000000
2017-08-31,1308.000000
2017-09-01,1334.000000
2017-09-04,1322.000000
2017-09-05,1319.000000
2017-09-06,1308.000000
2017-09-07,1326.000000
2017-09-08,1321.000000
2017-09-11,1338.000000
2017-09-12,1334.000000
2017-09-13,1333.000000
2017-09-14,1319.000000
2017-09-15,1301.000000
2017-09-18,1316.000000
2017-09-19,1287.000000
2017-09-20,1297.000000
2017-09-21,1288.000000
2017-09-22,1291.000000
2017-09-25,1304.000000
2017-09-26,1284.000000
2017-09-27,1265.000000
2017-09-28,1262.000000
2017-09-29,1266.000000
2017-10-02,1285.000000
2017-10-03,1282.000000
2017-10-04,1298.000000
2017-10-05,1288.000000
2017-10-06,1285.000000
2017-10-09,1295.000000
2017-10-10,1307.000000
2017-10-11,1319.000000
2017-10-12,1344.000000
2017-10-13,1339.000000
2017-10-16,1322.000000
2017-10-17,1320.000000
2017-10-18,1347.000000
2017-10-19,1335.000000
2017-10-20,1334.000000
2017-10-23,1328.000000
2017-10-24,1338.000000
2017-10-25,1335.000000
2017-10-26,1356.000000
2017-10-27,1363.000000
2017-10-30,1365.000000
2017-10-31,1360.000000
2017-11-01,1340.000000
2017-11-02,1352.000000
2017-11-03,1363.000000
2017-11-06,1353.000000
2017-11-07,1340.000000
2017-11-08,1328.000000
2017-11-09,1320.000000
2017-11-10,1318.000000
2017-11-13,1316.000000
2017-11-14,1317.000000
2017-11-15,1308.000000
2017-11-16,1322.000000
2017-11-17,1323.000000
2017-11-20,1326.000000
2017-11-21,1335.000000
2017-11-22,1329.000000
2017-11-23,1332.000000
2017-11-24,1356.000000
2017-11-27,1346.000000
2017-11-28,1345.000000
2017-11-29,1346.000000
2017-11-30,1364.000000
2017-12-01,1356.000000
2017-12-04,1383.000000
2017-12-05,1396.000000
2017-12-06,1389.000000
2017-12-07,1382.000000
2017-12-08,1395.000000
2017-12-11,1395.000000
2017-12-12,1409.000000
2017-12-13,1413.000000
2017-12-14,1433.000000
2017-12-15,1462.000000
2017-12-18,1488.000000
2017-12-19,1510.000000
2017-12-20,1519.000000
2017-12-21,1532.000000
2017-12-22,1532.000000
2017-12-27,1528.000000
2017-12-28,1530.000000
2017-12-29,1540.000000
2018-01-02,1547.500000
2018-01-03,1555.000000
2018-01-04,1553.000000
2018-01-05,1554.500000
2018-01-08,1562.000000
2018-01-09,1562.500000
2018-01-10,1568.500000
2018-01-11,1577.500000
2018-01-12,1587.000000
2018-01-15,1588.000000
2018-01-16,1598.500000
2018-01-17,1600.000000
2018-01-18,1603.000000
2018-01-19,1631.500000
2018-01-22,1632.000000
2018-01-23,1640.500000
2018-01-24,1616.000000
2018-01-25,1613.500000
2018-01-26,1631.500000
2018-01-29,1618.500000
2018-01-30,1615.000000
2018-01-31,1593.000000
2018-02-01,1605.500000
2018-02-02,1588.500000
2018-02-05,1579.000000
2018-02-06,1551.500000
2018-02-07,1592.500000
2018-02-08,1583.000000
2018-02-09,1586.000000
2018-02-12,1594.500000
2018-02-13,1614.000000
2018-02-14,1540.000000
2018-02-15,1529.000000
2018-02-16,1554.000000
2018-02-19,1526.000000
2018-02-20,1542.500000
2018-02-21,1579.000000
2018-02-22,1545.000000
2018-02-23,1546.000000
2018-02-26,1529.500000
2018-02-27,1553.000000
2018-02-28,1544.500000
2018-03-01,1525.000000
2018-03-02,1518.000000
2018-03-05,1506.500000
2018-03-06,1520.000000
2018-03-07,1530.000000
2018-03-08,1542.500000
2018-03-09,1532.000000
2018-03-12,1538.000000
2018-03-13,1528.000000
2018-03-14,1528.500000
2018-03-15,1541.500000
2018-03-16,1545.500000
2018-03-19,1533.000000
2018-03-20,1568.000000
2018-03-21,1541.500000
2018-03-22,1526.500000
2018-03-23,1511.500000
2018-03-26,1520.500000
2018-03-27,1540.500000
2018-03-28,1532.000000
2018-03-29,1528.000000
2018-04-03,1518.000000
2018-04-04,1520.500000
2018-04-05,1535.500000
2018-04-06,1560.500000
2018-04-09,1569.500000
2018-04-10,1599.000000
2018-04-11,1585.000000
2018-04-12,1587.000000
2018-04-13,1572.500000
2018-04-16,1564.500000
2018-04-17,1581.000000
2018-04-18,1608.000000
2018-04-19,1608.500000
2018-04-20,1624.000000
2018-04-23,1647.500000
2018-04-24,1631.000000
2018-04-25,1617.000000
2018-04-26,1624.500000
2018-04-27,1639.500000
2018-04-30,1645.500000
2018-05-01,1651.500000
2018-05-02,1698.500000
2018-05-03,1723.000000
2018-05-04,1729.500000
2018-05-08,1753.000000
2018-05-09,1727.500000
2018-05-10,1738.500000
2018-05-11,1765.500000
2018-05-14,1765.500000
2018-05-15,1782.000000
2018-05-16,1779.500000
2018-05-17,1803.500000
2018-05-18,1789.000000
2018-05-21,1810.500000
2018-05-22,1768.000000
2018-05-23,1731.500000
2018-05-24,1729.000000
2018-05-25,1729.000000
2018-05-29,1713.000000
2018-05-30,1728.500000
2018-05-31,1747.000000
2018-06-01,1742.000000
2018-06-04,1776.000000
2018-06-05,1742.000000
2018-06-06,1748.500000
2018-06-07,1736.000000
2018-06-08,1734.000000
2018-06-11,1745.000000
2018-06-12,1737.500000
2018-06-13,1746.000000
2018-06-14,1764.500000
2018-06-15,1742.500000
2018-06-18,1742.500000
2018-06-19,1730.500000
2018-06-20,1742.500000
2018-06-21,1714.000000
2018-06-22,1732.000000
2018-06-25,1656.500000
2018-06-26,1649.500000
2018-06-27,1685.000000
2018-06-28,1665.500000
2018-06-29,1662.500000
2018-07-02,1653.500000
2018-07-03,1656.500000
2018-07-04,1642.500000
2018-07-05,1658.500000
2018-07-06,1664.000000
2018-07-09,1684.000000
2018-07-10,1695.500000
2018-07-11,1607.500000
2018-07-12,1653.000000
2018-07-13,1641.500000
2018-07-16,1637.829956
2018-07-17,1657.000000
2018-07-18,1668.000000
2018-07-19,1646.500000
2018-07-20,1642.000000
2018-07-23,1612.500000
2018-07-24,1636.000000
2018-07-25,1610.500000
2018-07-26,1611.000000
2018-07-27,1616.500000
2018-07-30,1617.500000
2018-07-31,1631.000000
2018-08-01,1594.000000
2018-08-02,1567.000000
2018-08-03,1575.000000
2018-08-06,1570.000000
2018-08-07,1576.500000
2018-08-08,1582.500000
2018-08-09,1542.500000
2018-08-10,1565.500000
2018-08-13,1526.500000
2018-08-14,1481.500000
2018-08-15,1456.500000
2018-08-16,1479.500000
2018-08-17,1475.500000
2018-08-20,1468.500000
2018-08-21,1446.000000
2018-08-22,1442.000000
2018-08-23,1450.500000
2018-08-24,1458.500000
2018-08-28,1452.500000
2018-08-29,1444.500000
2018-08-30,1428.000000
2018-08-31,1422.000000
2018-09-03,1400.500000
2018-09-04,1408.500000
2018-09-05,1363.500000
2018-09-06,1352.500000
2018-09-07,1334.500000
2018-09-10,1327.500000
2018-09-11,1321.000000
2018-09-12,1331.500000
2018-09-13,1326.500000
2018-09-14,1377.000000
2018-09-17,1376.000000
2018-09-18,1379.000000
2018-09-19,1373.000000
2018-09-20,1369.500000
2018-09-21,1424.000000
2018-09-24,1382.000000
2018-09-25,1392.000000
2018-09-26,1438.000000
2018-09-27,1474.000000
2018-09-28,1473.000000
2018-10-01,1472.500000
2018-10-02,1454.000000
2018-10-03,1451.000000
2018-10-04,1428.000000
2018-10-05,1412.500000
2018-10-08,1405.500000
2018-10-09,1391.000000
2018-10-10,1365.000000
2018-10-11,1348.000000
2018-10-12,1361.500000
2018-10-15,1358.500000
2018-10-16,1382.500000
2018-10-17,1338.000000
2018-10-18,1336.000000
2018-10-19,1310.500000
2018-10-22,1305.500000
2018-10-23,1296.000000
2018-10-24,1282.000000
2018-10-25,1306.500000
2018-10-26,1270.500000
2018-10-29,1290.500000
2018-10-30,1287.500000
2018-10-31,1299.000000
2018-11-01,1308.500000
2018-11-02,1334.500000
2018-11-05,1309.000000
2018-11-06,1286.500000
2018-11-07,1284.500000
2018-11-08,1283.500000
2018-11-09,1283.500000
2018-11-12,1267.500000
2018-11-13,1279.000000
2018-11-14,1284.000000
2018-11-15,1256.500000
2018-11-16,1279.500000
2018-11-19,1267.000000
2018-11-20,1227.000000
2018-11-21,1250.500000
2018-11-22,1234.500000
2018-11-23,1250.500000
2018-11-26,1250.000000
2018-11-27,1219.000000
2018-11-28,1188.500000
2018-11-29,1196.000000
2018-11-30,1117.000000
2018-12-03,1161.500000
2018-12-04,1108.000000
2018-12-05,1121.000000
2018-12-06,1088.000000
2018-12-07,1113.500000
2018-12-10,1097.000000
2018-12-11,1114.500000
2018-12-12,1139.000000
2018-12-13,1190.000000
2018-12-14,1169.500000
2018-12-17,1138.000000
2018-12-18,1145.000000
2018-12-19,1145.500000
2018-12-20,1127.000000
2018-12-21,1125.000000
2018-12-24,1129.500000
2018-12-27,1094.000000
2018-12-28,1123.500000
2018-12-31,1125.500000
2019-01-02,1151.500000
2019-01-03,1124.000000
2019-01-04,1159.000000
2019-01-07,1175.000000
2019-01-08,1200.500000
2019-01-09,1207.500000
2019-01-10,1196.500000
2019-01-11,1178.000000
2019-01-14,1154.000000
2019-01-15,1158.500000
2019-01-16,1160.500000
2019-01-17,1163.000000
2019-01-18,1187.000000
2019-01-21,1190.000000
2019-01-22,1191.000000
2019-01-23,1179.000000
2019-01-24,1195.500000
2019-01-25,1213.500000
2019-01-28,1194.500000
2019-01-29,1169.500000
2019-01-30,1194.500000
2019-01-31,1154.000000
2019-02-01,1161.500000
2019-02-04,1190.000000
2019-02-05,1211.000000
2019-02-06,1184.000000
2019-02-07,954.599976
2019-02-08,913.400024
2019-02-11,958.200012
2019-02-12,886.799988
2019-02-13,830.799988
2019-02-14,809.200012
2019-02-15,809.000000
2019-02-18,826.000000
