date,value
2016-02-19,3034.000000
2016-02-22,3082.000000
2016-02-23,3066.000000
2016-02-24,3038.000000
2016-02-25,3104.000000
2016-02-26,3097.000000
2016-02-29,3092.000000
2016-03-01,3148.500000
2016-03-02,3073.500000
2016-03-03,3057.500000
2016-03-04,3109.000000
2016-03-07,3087.000000
2016-03-08,3110.000000
2016-03-09,3119.500000
2016-03-10,3081.500000
2016-03-11,3096.000000
2016-03-14,3110.500000
2016-03-15,3143.500000
2016-03-16,3124.500000
2016-03-17,3110.000000
2016-03-18,3098.500000
2016-03-21,3100.000000
2016-03-22,3102.500000
2016-03-23,3165.000000
2016-03-24,3141.000000
2016-03-29,3164.500000
2016-03-30,3190.000000
2016-03-31,3152.500000
2016-04-01,3165.000000
2016-04-04,3178.000000
2016-04-05,3189.000000
2016-04-06,3242.000000
2016-04-07,3241.000000
2016-04-08,3238.500000
2016-04-11,3235.500000
2016-04-12,3239.500000
2016-04-13,3263.500000
2016-04-14,3284.500000
2016-04-15,3279.500000
2016-04-18,3279.000000
2016-04-19,3331.000000
2016-04-20,3330.000000
2016-04-21,3269.000000
2016-04-22,3191.000000
2016-04-25,3187.000000
2016-04-26,3147.500000
2016-04-27,3131.000000
2016-04-28,3107.000000
2016-04-29,3054.500000
2016-05-03,3083.500000
2016-05-04,3083.000000
2016-05-05,3095.500000
2016-05-06,3107.500000
2016-05-09,3154.500000
2016-05-10,3157.000000
2016-05-11,3150.500000
2016-05-12,3139.000000
2016-05-13,3165.500000
2016-05-16,3163.000000
2016-05-17,3106.500000
2016-05-18,3090.000000
2016-05-19,3041.500000
2016-05-20,3081.000000
2016-05-23,3070.500000
2016-05-24,3113.500000
2016-05-25,3107.000000
2016-05-26,3127.500000
2016-05-27,3152.500000
2016-05-31,3146.000000
2016-06-01,3177.500000
2016-06-02,3164.000000
2016-06-03,3199.000000
2016-06-06,3228.500000
2016-06-07,3233.500000
2016-06-08,3233.000000
2016-06-09,3212.000000
2016-06-10,3164.500000
2016-06-13,3116.000000
2016-06-14,3068.500000
2016-06-15,3086.500000
2016-06-16,3106.000000
2016-06-17,3069.000000
2016-06-20,3116.500000
2016-06-21,3155.000000
2016-06-22,3159.000000
2016-06-23,3186.500000
2016-06-24,3265.500000
2016-06-27,3310.500000
2016-06-28,3367.000000
2016-06-29,3449.500000
2016-06-30,3579.000000
2016-07-01,3620.000000
2016-07-04,3596.500000
2016-07-05,3678.500000
2016-07-06,3627.000000
2016-07-07,3660.000000
2016-07-08,3651.500000
2016-07-11,3656.000000
2016-07-12,3586.000000
2016-07-13,3602.000000
2016-07-14,3556.000000
2016-07-15,3584.000000
2016-07-18,3577.500000
2016-07-19,3569.500000
2016-07-20,3575.000000
2016-07-21,3534.000000
2016-07-22,3558.500000
2016-07-25,3530.000000
2016-07-26,3556.000000
2016-07-27,3525.000000
2016-07-28,3526.500000
2016-07-29,3533.500000
2016-08-01,3534.000000
2016-08-02,3532.000000
2016-08-03,3478.000000
2016-08-04,3517.000000
2016-08-05,3541.500000
2016-08-08,3519.500000
2016-08-09,3571.500000
2016-08-10,3553.500000
2016-08-11,3641.500000
2016-08-12,3629.000000
2016-08-15,3641.500000
2016-08-16,3610.500000
2016-08-17,3614.000000
2016-08-18,3598.500000
2016-08-19,3606.500000
2016-08-22,3565.500000
2016-08-23,3563.000000
2016-08-24,3526.500000
2016-08-25,3559.500000
2016-08-26,3569.000000
2016-08-30,3569.500000
2016-08-31,3529.000000
2016-09-01,3527.500000
2016-09-02,3663.000000
2016-09-05,3649.500000
2016-09-06,3616.000000
2016-09-07,3621.000000
2016-09-08,3587.500000
2016-09-09,3530.000000
2016-09-12,3505.000000
2016-09-13,3521.500000
2016-09-14,3514.000000
2016-09-15,3546.500000
2016-09-16,3516.500000
2016-09-19,3583.500000
2016-09-20,3579.000000
2016-09-21,3549.000000
2016-09-22,3625.500000
2016-09-23,3631.500000
2016-09-26,3599.500000
2016-09-27,3640.500000
2016-09-28,3655.500000
2016-09-29,3651.500000
2016-09-30,3654.500000
2016-10-03,3708.000000
2016-10-04,3763.500000
2016-10-05,3688.500000
2016-10-06,3694.000000
2016-10-07,3719.500000
2016-10-10,3751.500000
2016-10-11,3754.000000
2016-10-12,3723.500000
2016-10-13,3596.500000
2016-10-14,3547.500000
2016-10-17,3504.500000
2016-10-18,3495.500000
2016-10-19,3467.500000
2016-10-20,3489.000000
2016-10-21,3486.500000
2016-10-24,3471.500000
2016-10-25,3477.500000
2016-10-26,3453.000000
2016-10-27,3438.500000
2016-10-28,3442.500000
2016-10-31,3418.000000
2016-11-01,3443.500000
2016-11-02,3414.000000
2016-11-03,3355.000000
2016-11-04,3318.000000
2016-11-07,3360.500000
2016-11-08,3382.000000
2016-11-09,3311.000000
2016-11-10,3181.000000
2016-11-11,3163.500000
2016-11-14,3131.500000
2016-11-15,3174.500000
2016-11-16,3128.500000
2016-11-17,3120.000000
2016-11-18,3120.000000
2016-11-21,3107.000000
2016-11-22,3126.500000
2016-11-23,3121.500000
2016-11-24,3120.000000
2016-11-25,3173.000000
2016-11-28,3146.500000
2016-11-29,3130.000000
2016-11-30,3196.000000
2016-12-01,3097.000000
2016-12-02,3110.500000
2016-12-05,3122.000000
2016-12-06,3135.000000
2016-12-07,3111.000000
2016-12-08,3092.000000
2016-12-09,3124.500000
2016-12-12,3112.000000
2016-12-13,3193.500000
2016-12-14,3170.500000
2016-12-15,3157.500000
2016-12-16,3152.000000
2016-12-19,3218.500000
2016-12-20,3245.000000
2016-12-21,3234.000000
2016-12-22,3261.500000
2016-12-23,3272.500000
2016-12-28,3278.000000
2016-12-29,3289.500000
2016-12-30,3292.500000
2017-01-03,3275.000000
2017-01-04,3287.500000
2017-01-05,3299.000000
2017-01-06,3294.000000
2017-01-09,3344.500000
2017-01-10,3335.000000
2017-01-11,3353.000000
2017-01-12,3371.000000
2017-01-13,3383.000000
2017-01-16,3402.500000
2017-01-17,3320.500000
2017-01-18,3355.500000
2017-01-19,3340.500000
2017-01-20,3361.000000
2017-01-23,3349.000000
2017-01-24,3353.000000
2017-01-25,3348.500000
2017-01-26,3191.000000
2017-01-27,3233.500000
2017-01-30,3224.000000
2017-01-31,3227.500000
2017-02-01,3203.500000
2017-02-02,3247.500000
2017-02-03,3268.500000
2017-02-06,3263.000000
2017-02-07,3289.000000
2017-02-08,3343.000000
2017-02-09,3330.000000
2017-02-10,3310.500000
2017-02-13,3299.000000
2017-02-14,3285.500000
2017-02-15,3312.500000
2017-02-16,3347.500000
2017-02-17,3797.000000
2017-02-20,3548.000000
2017-02-21,3586.500000
2017-02-22,3791.000000
2017-02-23,3768.500000
2017-02-24,3773.000000
2017-02-27,3831.000000
2017-02-28,3819.000000
2017-03-01,3864.500000
2017-03-02,3858.000000
2017-03-03,3859.500000
2017-03-06,3876.000000
2017-03-07,3916.000000
2017-03-08,3901.500000
2017-03-09,4002.500000
2017-03-10,4035.500000
2017-03-13,3989.500000
2017-03-14,4042.000000
2017-03-15,4040.000000
2017-03-16,4051.500000
2017-03-17,4040.000000
2017-03-20,4067.500000
2017-03-21,4028.500000
2017-03-22,4025.500000
2017-03-23,4016.000000
2017-03-24,4018.000000
2017-03-27,4017.500000
2017-03-28,4006.000000
2017-03-29,4031.000000
2017-03-30,3994.500000
2017-03-31,3939.500000
2017-04-03,3922.000000
2017-04-04,3937.500000
2017-04-05,3939.500000
2017-04-06,3978.000000
2017-04-07,4040.500000
2017-04-10,4054.000000
2017-04-11,4041.500000
2017-04-12,4065.500000
2017-04-13,4033.500000
2017-04-18,3965.500000
2017-04-19,3937.500000
2017-04-20,3950.000000
2017-04-21,3937.500000
2017-04-24,4021.000000
2017-04-25,4014.500000
2017-04-26,4007.500000
2017-04-27,3968.500000
2017-04-28,3972.000000
2017-05-02,4030.000000
2017-05-03,4026.500000
2017-05-04,4005.000000
2017-05-05,3988.000000
2017-05-08,4050.000000
2017-05-09,4046.000000
2017-05-10,4079.000000
2017-05-11,4085.500000
2017-05-12,4102.500000
2017-05-15,4115.500000
2017-05-16,4156.500000
2017-05-17,4154.000000
2017-05-18,4099.500000
2017-05-19,4138.000000
2017-05-22,4194.500000
2017-05-23,4190.000000
2017-05-24,4212.500000
2017-05-25,4269.500000
2017-05-26,4310.500000
2017-05-30,4310.000000
2017-05-31,4331.500000
2017-06-01,4320.000000
2017-06-02,4372.500000
2017-06-05,4354.000000
2017-06-06,4370.000000
2017-06-07,4342.500000
2017-06-08,4269.000000
2017-06-09,4328.500000
2017-06-12,4300.500000
2017-06-13,4256.500000
2017-06-14,4242.000000
2017-06-15,4250.000000
2017-06-16,4276.500000
2017-06-19,4311.000000
2017-06-20,4317.500000
2017-06-21,4306.000000
2017-06-22,4302.000000
