Date,Open,High,Low,Close,Adj Close,Volume
2016-02-19,505.500000,510.000000,501.000000,505.500000,451.356293,6374492
2016-02-22,508.000000,512.500000,507.000000,510.000000,455.374329,3513783
2016-02-23,507.500000,513.249023,506.265991,508.500000,454.034943,5198326
2016-02-24,507.000000,508.500000,501.500000,503.500000,449.570496,6106422
2016-02-25,510.500000,514.000000,506.200012,512.500000,457.606567,6232226
2016-02-26,518.000000,518.500000,510.575012,512.000000,457.160095,4597269
2016-02-29,508.000000,513.000000,506.500000,513.000000,458.052979,6088609
2016-03-01,512.500000,514.500000,506.403015,511.000000,456.267212,6082231
2016-03-02,512.500000,515.500000,503.500000,504.500000,450.463409,6593491
2016-03-03,505.000000,508.000000,496.899994,499.700012,446.177551,8299955
2016-03-04,502.500000,507.500000,498.100006,507.000000,452.695618,6182612
2016-03-07,505.500000,507.500000,498.500000,500.500000,446.891846,4997466
2016-03-08,496.299988,501.000000,495.000000,496.700012,443.498871,5896053
2016-03-09,498.700012,503.500000,495.899994,501.000000,447.338287,4781824
2016-03-10,500.500000,508.500000,494.100006,494.100006,441.177368,10949682
2016-03-11,498.600006,502.000000,496.000000,496.500000,443.320282,5143109
2016-03-14,496.600006,503.000000,495.299988,497.500000,444.213226,8578868
2016-03-15,494.000000,497.299988,488.500000,497.200012,443.945343,4691812
2016-03-16,497.700012,503.000000,496.799988,502.000000,448.231201,6161938
2016-03-17,505.500000,512.000000,500.000000,506.000000,451.802734,7871417
2016-03-18,505.000000,508.000000,496.700012,497.100006,443.856049,9075898
2016-03-21,496.100006,501.149994,494.100006,497.600006,444.302521,5910653
2016-03-22,495.000000,499.799988,492.000000,498.799988,445.373932,6176007
2016-03-23,500.000000,507.500000,498.399994,506.000000,451.802734,5176303
2016-03-24,502.500000,504.500000,498.299988,498.500000,445.106079,4819507
2016-03-29,499.500000,508.000000,499.455994,507.000000,452.695618,6137902
2016-03-30,511.000000,515.750000,510.500000,512.000000,457.160095,6432028
2016-03-31,511.000000,512.500000,507.958008,509.000000,454.481415,5567709
2016-04-01,504.500000,504.684998,495.700012,501.500000,447.784760,5592770
2016-04-04,501.500000,507.000000,499.399994,501.500000,447.784760,4680651
2016-04-05,490.200012,495.899994,489.100006,492.500000,439.748718,8855856
