Date,Open,High,Low,Close,Adj Close,Volume
2016-02-19,465.000000,465.000000,456.750000,460.750000,437.406708,1046254
2016-02-22,461.750000,470.330994,461.500000,468.500000,444.764069,733005
2016-02-23,469.000000,470.000000,463.750000,463.750000,440.254730,343903
2016-02-24,465.000000,469.000000,463.000000,465.750000,442.153412,209827
2016-02-25,469.750000,470.250000,462.000000,465.000000,441.441406,318903
2016-02-26,466.000000,493.000000,463.500000,488.000000,463.276123,1122559
2016-02-29,486.500000,489.940002,471.750000,489.000000,464.225464,681565
2016-03-01,490.000000,511.500000,475.000000,499.250000,473.956177,677953
2016-03-02,499.000000,508.500000,494.500000,494.500000,469.446838,744536
2016-03-03,497.000000,497.000000,485.500000,485.750000,461.140137,311870
2016-03-04,482.250000,486.750000,477.500000,478.000000,453.782806,1072731
2016-03-07,477.500000,487.750000,475.000000,483.750000,459.241455,1507331
2016-03-08,477.000000,484.016998,475.000000,478.250000,454.020111,296829
2016-03-09,483.750000,489.000000,476.750000,487.000000,462.326813,330230
2016-03-10,483.250000,499.750000,483.250000,483.250000,458.766785,583695
2016-03-11,487.750000,498.500000,485.500000,493.000000,468.022797,1477959
2016-03-14,490.750000,500.497009,485.000000,490.750000,465.886810,409252
2016-03-15,483.500000,490.500000,483.500000,486.750000,462.089478,1772397
2016-03-16,485.750000,491.572998,485.250000,486.000000,461.377472,225771
2016-03-17,487.000000,495.700989,484.000000,491.750000,466.836151,2874986
2016-03-18,488.750000,505.000000,484.500000,505.000000,479.414856,2347170
2016-03-21,502.500000,508.019989,495.000000,501.500000,476.092163,544143
2016-03-22,500.000000,509.000000,500.000000,505.500000,479.889526,2462687
2016-03-23,502.000000,506.000000,494.500000,499.000000,473.718842,941418
2016-03-24,497.000000,510.000000,491.500000,501.000000,475.617523,2235716
2016-03-29,501.500000,503.450012,491.250000,495.000000,469.921478,1120698
2016-03-30,502.000000,510.225006,484.437988,504.000000,478.465515,1459716
2016-03-31,504.000000,509.500000,502.000000,505.000000,479.414856,631179
2016-04-01,500.000000,512.500000,500.000000,512.000000,486.060211,307732
2016-04-04,515.000000,518.500000,510.399994,514.000000,487.958893,476401
2016-04-05,511.000000,520.500000,511.000000,515.500000,489.382874,561963
2016-04-06,508.500000,520.557007,508.500000,517.000000,490.806915,1835361
2016-04-07,518.000000,521.000000,513.000000,514.000000,487.958893,725462
2016-04-08,511.000000,514.250000,507.500000,514.000000,487.958893,573932
2016-04-11,515.000000,515.000000,504.500000,514.000000,487.958893,995555
2016-04-12,515.500000,515.500000,505.000000,512.000000,486.060211,163509
2016-04-13,513.000000,517.000000,510.000000,515.000000,488.908234,587832
2016-04-14,513.500000,522.500000,512.625000,520.500000,494.129578,1062936
2016-04-15,523.000000,525.000000,515.000000,520.000000,493.654877,1039264
2016-04-18,515.000000,526.500000,512.500000,524.500000,497.926941,567881
2016-04-19,523.500000,536.552002,522.952026,532.500000,505.521545,673078
2016-04-20,535.000000,535.400024,506.000000,515.000000,488.908234,1719047
2016-04-21,516.000000,523.500000,513.375000,518.000000,491.756226,1032547
2016-04-22,514.000000,527.500000,514.000000,523.500000,496.977570,1872261
2016-04-25,537.000000,549.500000,532.000000,547.500000,519.761597,3626260
2016-04-26,547.000000,560.500000,546.500000,548.500000,520.710999,1610124
2016-04-27,551.000000,552.500000,540.000000,543.500000,515.964355,1097271
2016-04-28,549.000000,549.000000,535.000000,541.500000,514.065674,1709030
2016-04-29,534.000000,553.500000,534.000000,542.000000,514.540283,931052
2016-05-03,548.000000,548.000000,538.875000,545.000000,517.388306,520988
2016-05-04,541.000000,548.500000,538.000000,543.000000,515.489685,754229
2016-05-05,543.000000,562.000000,542.099976,556.500000,528.305725,2363313
2016-05-06,555.500000,564.000000,555.000000,560.500000,532.102966,1072314
2016-05-09,559.875000,566.500000,551.193970,554.500000,526.407043,375375
2016-05-10,556.000000,558.500000,540.000000,543.500000,515.964355,743718
2016-05-11,541.000000,548.500000,541.000000,541.500000,514.065674,352076
2016-05-12,540.000000,548.000000,538.000000,544.000000,516.438965,1192827
2016-05-13,543.000000,555.000000,539.000000,542.500000,515.014954,674457
2016-05-16,543.500000,551.500000,538.000000,549.000000,521.185669,1072801
2016-05-17,546.000000,552.000000,543.500000,549.000000,521.185669,1332815
2016-05-18,549.500000,553.500000,541.500000,543.000000,515.489685,372506
2016-05-19,540.000000,545.000000,533.000000,533.500000,506.470917,377191
